point_index,east_m,north_m,nearest_real_segment_index,nearest_east_m,nearest_north_m,sim_to_real_path_error_m
0,-5.14573568e-05,-1.40661922e-05,10,0.340366963,-0.0272749415,0.341508209
1,-5.14573568e-05,-1.40661922e-05,10,0.340366963,-0.0272749415,0.341508209
2,-5.14573568e-05,-1.40661922e-05,10,0.340366963,-0.0272749415,0.341508209
3,-5.14573568e-05,-1.40661922e-05,10,0.340366963,-0.0272749415,0.341508209
4,-5.14573568e-05,-1.40661922e-05,10,0.340366963,-0.0272749415,0.341508209
5,-5.14573568e-05,-1.40661922e-05,10,0.340366963,-0.0272749415,0.341508209
6,-5.14574404e-05,-0.1055138,11,0.337466776,-0.105513798,0.337518234
7,-5.1457613e-05,-0.527291559,12,0.337466779,-0.527291557,0.337518236
8,-5.1457524e-05,-0.685541159,13,0.318365466,-0.743493406,0.323647648
9,-5.14574018e-05,-3.1639002,22,0.193559372,-3.16390019,0.193610829
10,-5.14575591e-05,-3.69117769,23,0.184215001,-3.69776525,0.184384175
11,-5.14575106e-05,-3.95492702,24,0.166700758,-3.96684988,0.167177917
12,-5.14576351e-05,-5.06223187,28,0.14928017,-5.06223187,0.149331627
13,0.844574445,-6.1696473,32,0.0275123501,-6.1696473,0.817062095
14,0.844574455,-6.85517439,34,0.041323431,-6.94451434,0.808204079
15,0.844574459,-7.11881314,35,0.0795136722,-7.22821754,0.772843664
16,0.844574463,-7.38245189,36,0.0939311635,-7.38245189,0.750643299
17,0.844574471,-7.96247924,38,0.0717915613,-7.96247924,0.772782909
18,0.844574473,-8.12072884,38,0.0717915615,-8.12072884,0.772782912
19,0.844574477,-8.38436759,40,0.144503755,-8.58058468,0.727048942
20,0.844574481,-8.7007562,41,0.246375444,-8.90803351,0.633092389
21,0.844574483,-8.8590058,41,0.293187615,-9.0431327,0.581317635
22,0.844574485,-8.96439495,42,0.303852896,-9.08930244,0.554961007
23,0.844574499,-9.96631065,45,0.373050054,-9.98316776,0.471825672
24,0.844574502,-10.1771995,45,0.380579758,-10.1937875,0.464291161
25,0.844574507,-10.546338,47,0.398251016,-10.5959794,0.449075639
26,0.844574512,-10.9154765,48,0.433459686,-10.9459601,0.412243436
27,1.68908983,-12.6556691,54,0.687150308,-12.8161408,1.01470881
28,1.68908984,-13.0248076,55,0.716359306,-13.0969343,0.975400918
29,1.68908986,-13.604835,57,0.760383157,-13.7081285,0.934433351
30,1.68908987,-14.0267233,59,0.854335511,-14.243359,0.862407008
31,1.68908987,-14.1321125,59,0.87996028,-14.342098,0.835933379
32,1.68908987,-14.1321125,59,0.87996028,-14.342098,0.835933379
33,1.68908989,-14.6595005,61,0.957890179,-14.7640628,0.738638127
34,1.68908989,-14.7121398,61,0.9652668,-14.8156472,0.731186466
35,1.6890899,-14.9231393,61,0.990585281,-14.9926983,0.701959515
36,1.6890899,-15.0285284,62,0.992996548,-15.0553282,0.69660906
37,1.68908991,-15.2922778,63,1.01207895,-15.370473,0.681511808
38,1.68908991,-15.5031666,64,1.03652268,-15.5815535,0.657258318
39,1.68908995,-16.7159712,68,1.11567494,-16.7925035,0.578499757
40,2.533716,-16.8214709,69,1.15303955,-17.0597582,1.40108825
41,2.53371601,-16.8742208,69,1.16188018,-17.1109823,1.39211693
42,2.53371604,-17.7178869,72,1.35744541,-18.025049,1.21571426
43,2.53371605,-18.0342755,73,1.45992706,-18.3762796,1.12693816
44,2.53371615,-20.2489958,80,1.76133054,-20.2776315,0.77291625
45,2.5337162,-21.4091611,91,2.1086357,-21.7274297,0.531025737
46,2.5337162,-21.5673001,91,2.12969826,-21.7695124,0.451796781
47,2.53371621,-21.6727998,89,2.15291492,-21.815899,0.406800947
48,2.53371621,-21.7782995,89,2.15291492,-21.815899,0.382653036
49,2.53371623,-22.0946882,88,2.15291492,-21.8380164,0.459227643
50,2.53371623,-22.2000773,139,2.02007727,-22.2000773,0.513638956
51,3.37823178,-24.2566585,148,2.32124132,-24.3271955,1.05934145
52,3.37823178,-24.3094084,148,2.32474591,-24.3797115,1.05582907
53,3.37823182,-24.9421856,150,2.36342201,-25.0305188,1.018647
54,3.37823183,-25.2058244,151,2.40725924,-25.3613364,0.983347228
55,3.37823187,-25.8913514,153,2.43892828,-25.9289614,0.940056251
56,3.37823189,-26.20774,155,2.49627587,-26.3775178,0.898148592
57,3.3782319,-26.3658791,155,2.52563007,-26.5300061,0.868255462
58,3.37823191,-26.5768785,156,2.56479638,-26.733466,0.828370081
