point_index,east_m,north_m,nearest_sim_segment_index,nearest_east_m,nearest_north_m,real_to_sim_path_error_m
0,0.581002385,1.18613912,0,-5.14573568e-05,-1.40661922e-05,1.32082662
1,0.658490992,1.13084576,0,-5.14573568e-05,-1.40661922e-05,1.30863368
2,0.636351389,1.15296311,0,-5.14573568e-05,-1.40661922e-05,1.3169529
3,0.603141988,1.14190443,0,-5.14573568e-05,-1.40661922e-05,1.29144113
4,0.558862784,1.14190443,0,-5.14573568e-05,-1.40661922e-05,1.27136265
5,0.492443978,1.11978709,0,-5.14573568e-05,-1.40661922e-05,1.22331778
6,0.459234577,1.06449373,0,-5.14573568e-05,-1.40661922e-05,1.15936211
7,0.459234579,0.843320281,0,-5.14573568e-05,-1.40661922e-05,0.960289792
8,0.426025178,0.644264181,0,-5.14573568e-05,-1.40661922e-05,0.772422008
9,0.381745976,0.467325424,0,-5.14573568e-05,-1.40661922e-05,0.603469535
10,0.359606374,0.212975962,0,-5.14573568e-05,-1.40661922e-05,0.417993431
11,0.337466776,-0.0634908441,5,-5.14574071e-05,-0.0634908438,0.337518233
12,0.337466778,-0.33995765,6,-5.14575364e-05,-0.33995765,0.337518235
13,0.337466779,-0.638541801,7,-5.14575504e-05,-0.638541801,0.337518237
14,0.293187575,-0.88183259,8,-5.14575143e-05,-0.88183259,0.293239033
15,0.248908372,-1.12512338,8,-5.14575023e-05,-1.12512338,0.248959829
16,0.248908373,-1.41264886,8,-5.14574881e-05,-1.41264886,0.24895983
17,0.237838573,-1.70017434,8,-5.1457474e-05,-1.70017434,0.23789003
18,0.226768771,-1.9545238,8,-5.14574614e-05,-1.9545238,0.226820229
19,0.248908376,-2.24204928,8,-5.14574473e-05,-2.24204928,0.248959834
20,0.27104798,-2.56275077,8,-5.14574314e-05,-2.56275077,0.271099437
21,0.226768775,-2.86133492,8,-5.14574167e-05,-2.86133492,0.226820232
22,0.193559371,-3.13780173,8,-5.14574031e-05,-3.13780173,0.193610829
23,0.193559373,-3.43638588,9,-5.14574831e-05,-3.43638588,0.19361083
24,0.182489572,-3.7460287,10,-5.1457549e-05,-3.7460287,0.18254103
25,0.16034997,-4.05567152,11,-5.14575219e-05,-4.05567152,0.160401428
26,0.160349971,-4.35425567,11,-5.14575555e-05,-4.35425567,0.160401428
27,0.149280169,-4.65283982,11,-5.14575891e-05,-4.65283982,0.149331626
28,0.149280169,-4.95142398,11,-5.14576227e-05,-4.95142398,0.149331627
29,0.14928017,-5.2610668,12,0.150746808,-5.25994819,0.00184453368
30,0.116070766,-5.55965095,12,0.282510332,-5.43270747,0.209324571
31,0.0607217554,-5.82505908,12,0.390134044,-5.57381628,0.414289029
32,0.02751235,-6.10152589,12,0.5112326,-5.73259239,0.608356153
33,0.0275123504,-6.42222738,12,0.665874628,-5.93534838,0.802843419
34,0.016442547,-6.72081153,13,0.844574453,-6.72081152,0.828131906
35,0.0496519546,-7.01939568,14,0.844574457,-7.01939567,0.794922503
36,0.0939311634,-7.3290385,15,0.844574462,-7.32903849,0.750643298
37,0.0939311639,-7.62762265,16,0.844574466,-7.62762264,0.750643302
38,0.0717915612,-7.91514813,16,0.84457447,-7.91514812,0.772782909
39,0.0717915616,-8.20267361,18,0.844574474,-8.2026736,0.772782913
