run_id,rng_run,mode,frame_rate_hz,official_publications,detector_callbacks,inference_completions,processed_frame_ratio,ground_result_receipts,ground_result_delivery_ratio,median_pipeline_latency_ms,p95_pipeline_latency_ms,latency_sample_count,mean_inference_ms,median_inference_ms,mean_frame_size_bytes,mean_jpeg_size_bytes,tap_uav1_tx_bytes,tap_uav1_tx_packets,tap_gcs_rx_bytes,tap_gcs_rx_packets,uav_tx_bitrate_mbps,gcs_rx_bitrate_mbps,mean_relay_cpu_percent,mean_detector_cpu_percent,mean_combined_cpu_percent,callback_delivery_ratio,decode_success_ratio,source_path
rate_edge_1hz_rng1,1,edge,1,60,60,60,1.0,60,1.0,204.84566688537598,2339.622271060942,60,56.588164965311684,53.29263210296631,2764800.0,,1323376,5057,1173038,4312,0.17645013333333334,0.15640506666666668,3.5660000000000003,55.924166666666665,59.49016666666667,,,results/conference_paper/rate_sweep/processed/rate_summary_rate_edge_1hz_rng1.csv
rate_edge_1hz_rng2,2,edge,1,60,60,60,1.0,60,1.0,196.55632972717285,572.7388262748718,60,63.62360715866089,61.64896488189697,2764800.0,,1235676,4758,1155958,4283,0.16475679999999998,0.15412773333333335,4.383333333333334,61.483333333333334,65.86666666666666,,,results/conference_paper/rate_sweep/processed/rate_summary_rate_edge_1hz_rng2.csv
rate_edge_1hz_rng3,3,edge,1,60,60,60,1.0,51,0.85,357.53536224365234,566.085696220398,51,59.893620014190674,56.36119842529297,2764800.0,,2230909,11654,1095664,4735,0.2974545333333333,0.14608853333333333,4.0495,58.50783333333333,62.55733333333333,,,results/conference_paper/rate_sweep/processed/rate_summary_rate_edge_1hz_rng3.csv
rate_ground_1hz_rng1,1,ground,1,60,39,39,0.65,39,0.65,513.5283470153809,558.3873271942139,39,68.09495656918257,48.74682426452637,19929.45,19929.45,2130067,4299,1902432,3822,0.2840089333333333,0.2536576,4.2325,32.75,36.982499999999995,0.65,0.65,results/conference_paper/rate_sweep/processed/rate_summary_rate_ground_1hz_rng1.csv
rate_ground_1hz_rng2,2,ground,1,60,40,40,0.6666666666666666,40,0.6666666666666666,531.5418243408203,582.1239233016968,40,77.5164544582367,54.895997047424316,19918.633333333335,19918.633333333335,2327454,5407,1874334,3905,0.3103272,0.2499112,4.933333333333334,38.3,43.233333333333334,0.6666666666666666,0.6666666666666666,results/conference_paper/rate_sweep/processed/rate_summary_rate_ground_1hz_rng2.csv
rate_ground_1hz_rng3,3,ground,1,60,32,32,0.5333333333333333,32,0.5333333333333333,525.7530212402344,570.3567028045654,32,84.0773731470108,56.25617504119873,19860.883333333335,19860.883333333335,2530833,6067,1766702,4018,0.33744440000000003,0.23556026666666666,4.966666666666667,32.233333333333334,37.2,0.5333333333333333,0.5333333333333333,results/conference_paper/rate_sweep/processed/rate_summary_rate_ground_1hz_rng3.csv
rate_edge_2hz_rng1,1,edge,2,120,120,120,1.0,120,1.0,215.61741828918457,419.00460720062256,120,55.74520627657572,52.86681652069092,2764800.0,,1277844,4452,1227890,4167,0.1703792,0.16371866666666665,5.033333333333333,109.68333333333334,114.71666666666667,,,results/conference_paper/rate_sweep/processed/rate_summary_rate_edge_2hz_rng1.csv
rate_edge_2hz_rng2,2,edge,2,120,120,120,1.0,120,1.0,211.33697032928467,1848.9087939262383,120,55.34766515096029,53.513288497924805,2764800.0,,1447322,5233,1249603,4229,0.19297626666666667,0.16661373333333335,4.266666666666667,110.7,114.96666666666667,,,results/conference_paper/rate_sweep/processed/rate_summary_rate_edge_2hz_rng2.csv
rate_edge_2hz_rng3,3,edge,2,120,120,120,1.0,120,1.0,219.6253538131714,2029.3273448944078,120,57.0262094338735,54.03614044189453,2764800.0,,1397916,5594,1147521,4400,0.1863888,0.1530028,5.282166666666667,112.84666666666666,118.12883333333333,,,results/conference_paper/rate_sweep/processed/rate_summary_rate_edge_2hz_rng3.csv
rate_ground_2hz_rng1,1,ground,2,120,5,5,0.041666666666666664,5,0.041666666666666664,563.7025833129883,1219.100046157837,5,214.1068935394287,55.76348304748535,19919.708333333332,19919.708333333332,3148138,4289,2605622,3529,0.4197517333333333,0.34741626666666664,5.933333333333334,6.183333333333334,12.116666666666667,0.041666666666666664,0.041666666666666664,results/conference_paper/rate_sweep/processed/rate_summary_rate_ground_2hz_rng1.csv
rate_ground_2hz_rng2,2,ground,2,120,7,7,0.058333333333333334,7,0.058333333333333334,567.2614574432373,1130.4316997528072,7,169.37691824776786,60.32752990722656,19921.275,19921.275,3130545,4460,2515298,3567,0.417406,0.33537306666666666,6.6,8.033333333333333,14.633333333333333,0.058333333333333334,0.058333333333333334,results/conference_paper/rate_sweep/processed/rate_summary_rate_ground_2hz_rng2.csv
rate_ground_2hz_rng3,3,ground,2,120,7,7,0.058333333333333334,7,0.058333333333333334,578.4661769866943,1119.0146207809444,7,174.71620014735632,68.64500045776367,19919.358333333334,19919.358333333334,3386229,5113,2530763,3690,0.4514972,0.33743506666666667,5.583333333333333,7.916666666666667,13.5,0.058333333333333334,0.058333333333333334,results/conference_paper/rate_sweep/processed/rate_summary_rate_ground_2hz_rng3.csv
