representation,jpeg_quality,frames,total_gt,tp,fp,fn,precision,recall,f1,exact_count_accuracy,mean_predicted_count,mean_confidence,mean_payload_bytes,median_payload_bytes,std_payload_bytes,mean_compression_ratio,mean_encode_ms,mean_decode_ms,mean_inference_ms,median_inference_ms
RAW,,60,164,135,19,29,0.876623,0.823171,0.849057,0.566667,2.566667,0.498965,2764800.000000,2764800.000000,0.000000,1.000000,0.000000,0.000000,36.147564,35.491180
Q5,5,60,164,29,0,135,1.000000,0.176829,0.300518,0.433333,0.483333,0.328418,18458.900000,18580.500000,586.232482,149.933836,1.360218,1.374867,34.103085,33.691696
Q10,10,60,164,114,3,50,0.974359,0.695122,0.811388,0.533333,1.950000,0.414473,29469.416667,29282.000000,1406.417296,94.026505,1.542687,1.952698,33.994585,33.933902
Q20,20,60,164,126,18,38,0.875000,0.768293,0.818182,0.583333,2.400000,0.475877,52674.800000,51945.000000,2307.186489,52.585513,1.693965,1.892238,33.900697,33.863729
Q30,30,60,164,131,26,33,0.834395,0.798780,0.816199,0.550000,2.616667,0.494242,72429.483333,71383.000000,2921.452946,38.232533,1.786719,2.259540,33.956977,33.953758
Q40,40,60,164,141,24,23,0.854545,0.859756,0.857143,0.550000,2.750000,0.488485,89069.916667,87764.000000,3395.923808,31.084653,1.868256,2.225222,34.171093,33.987018
Q50,50,60,164,147,29,17,0.835227,0.896341,0.864706,0.550000,2.933333,0.487397,104684.700000,103301.000000,3783.533125,26.444347,1.946986,2.607718,34.555741,34.000119
Q60,60,60,164,141,21,23,0.870370,0.859756,0.865031,0.583333,2.700000,0.497490,121092.316667,119519.500000,4164.002556,22.858506,2.017101,2.491962,33.996997,34.060732
Q70,70,60,164,145,19,19,0.884146,0.884146,0.884146,0.600000,2.733333,0.499739,145726.933333,143881.500000,4760.845324,18.992242,2.132004,2.923621,34.251207,34.026579
Q80,80,60,164,139,20,25,0.874214,0.847561,0.860681,0.550000,2.650000,0.501388,185522.966667,183325.500000,6250.035082,14.919202,2.293604,2.998466,34.443100,34.101668
Q90,90,60,164,138,21,26,0.867925,0.841463,0.854489,0.600000,2.650000,0.508224,284747.233333,282662.500000,10521.859435,9.722453,2.658662,3.929654,34.270814,34.214261
