Linux 5.15.0-186-generic (lenovo) 	08/27/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:24 PM  1002    103365   49.50    3.96    0.00    0.00   53.47     4  16948.51      0.00 9198276  825960   2.54  python3
08:14:24 PM  1002    103511    1.98    0.99    0.00    0.00    2.97     4   1979.21      0.00 2072140  170212   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:25 PM  1002    103365   72.00    7.00    0.00    0.00   79.00     4  17120.00      0.00 9198276  826264   2.54  python3
08:14:25 PM  1002    103511    3.00    2.00    0.00    0.00    5.00     0   1997.00      0.00 2072140  170216   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:26 PM  1002    103365   50.00    3.00    0.00    0.00   53.00     4  15204.00      0.00 9198276  826304   2.54  python3
08:14:26 PM  1002    103511    3.00    2.00    0.00    0.00    5.00     6   1995.00      0.00 2072140  170216   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:27 PM  1002    103365   67.00    4.00    0.00    0.00   71.00     4  15206.00      0.00 9198276  826348   2.54  python3
08:14:27 PM  1002    103511    4.00    1.00    0.00    0.00    5.00     8   1995.00      0.00 2072140  170216   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:28 PM  1002    103365   51.00    1.00    0.00    0.00   52.00     4  16863.00      0.00 9198276  825852   2.54  python3
08:14:28 PM  1002    103511    3.00    1.00    0.00    0.00    4.00     4   1996.00      0.00 2072140  170216   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:29 PM  1002    103365   31.00    9.00    0.00    0.00   40.00     4  16480.00      0.00 9198276  826320   2.54  python3
08:14:29 PM  1002    103511    2.00    2.00    0.00    0.00    4.00     2   1997.00      0.00 2072140  170216   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:30 PM  1002    103365   55.00    1.00    0.00    0.00   56.00     4  16480.00      0.00 9198276  826256   2.54  python3
08:14:30 PM  1002    103511    3.00    1.00    0.00    0.00    4.00     1   1997.00      0.00 2072140  170220   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:31 PM  1002    103365   71.00    3.00    0.00    0.00   74.00     6  17118.00      0.00 9198276  826308   2.54  python3
08:14:31 PM  1002    103511    2.00    3.00    0.00    0.00    5.00    12   1996.00      0.00 2072140  170220   0.52  python3

