Linux 5.15.0-186-generic (lenovo) 	08/27/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:09 PM  1002    107357   85.00    7.00    0.00    0.00   92.00     2  29388.00      0.00 9192876  822624   2.53  python3
08:30:09 PM  1002    107504    3.00    2.00    0.00    0.00    5.00    18   3995.00      0.00 2072160  169932   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:10 PM  1002    107357  105.00    1.00    0.00    0.00  106.00     2  29388.00      0.00 9192876  822320   2.53  python3
08:30:10 PM  1002    107504    3.00    2.00    0.00    0.00    5.00    19   3316.00      0.00 2069292  167028   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:11 PM  1002    107357  120.00    8.00    0.00    0.00  128.00     2  29388.00      0.00 9192876  822808   2.53  python3
08:30:11 PM  1002    107504    4.00    3.00    0.00    0.00    7.00    16   3992.00      0.00 2069292  167028   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:12 PM  1002    107357   92.00    8.00    0.00    0.00  100.00     2  29389.00      0.00 9192876  822772   2.53  python3
08:30:12 PM  1002    107504    2.00    3.00    0.00    0.00    5.00    22   3993.00      0.00 2069292  167028   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:13 PM  1002    107357   93.00    4.00    0.00    0.00   97.00     0  29388.00      0.00 9192876  822732   2.53  python3
08:30:13 PM  1002    107504    4.00    1.00    0.00    0.00    5.00     2   4668.00      0.00 2072160  169932   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:14 PM  1002    107357   91.00    4.00    0.00    0.00   95.00     2  29388.00      0.00 9192876  822428   2.53  python3
08:30:14 PM  1002    107504    3.00    2.00    0.00    0.00    5.00     6   3993.00      0.00 2072160  169936   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:15 PM  1002    107357  107.00    6.00    0.00    0.00  113.00     2  29388.00      0.00 9192876  822388   2.53  python3
08:30:15 PM  1002    107504    3.00    3.00    0.00    0.00    6.00    12   3992.00      0.00 2072160  169936   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:16 PM  1002    107357  111.00    9.00    0.00    0.00  120.00     2  29389.00      0.00 9192876  822612   2.53  python3
08:30:16 PM  1002    107504    2.00    4.00    0.00    0.00    6.00    14   3990.00      0.00 2072160  169936   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:17 PM  1002    107357  127.00    4.00    0.00    0.00  131.00     8  29388.00      0.00 9192876  822576   2.53  python3
08:30:17 PM  1002    107504    3.00    3.00    0.00    0.00    6.00    14   3314.00      0.00 2069292  167032   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:18 PM  1002    107357   93.00    2.00    0.00    0.00   95.00     8  29388.00      0.00 9192876  822276   2.53  python3
08:30:18 PM  1002    107504    3.00    2.00    0.00    0.00    5.00     0   3994.00      0.00 2069292  167032   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:19 PM  1002    107357  140.00    2.00    0.00    0.00  142.00    14  29388.00      0.00 9192876  822500   2.53  python3
08:30:19 PM  1002    107504    3.00    2.00    0.00    0.00    5.00    21   3990.00      0.00 2069292  167032   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:20 PM  1002    107357   92.00    1.00    0.00    0.00   93.00    14  29389.00      0.00 9192876  822460   2.53  python3
08:30:20 PM  1002    107504    4.00    1.00    0.00    0.00    5.00    23   3992.00      0.00 2069292  167032   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:21 PM  1002    107357   80.00    9.00    0.00    0.00   89.00    10  29388.00      0.00 9192876  822688   2.53  python3
08:30:21 PM  1002    107504    2.00    4.00    0.00    0.00    6.00    14   3990.00      0.00 2069292  167032   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:22 PM  1002    107357   87.00    5.00    0.00    0.00   92.00    10  29389.00      0.00 9192876  822380   2.53  python3
08:30:22 PM  1002    107504    4.00    1.00    0.00    0.00    5.00    10   3991.00      0.00 2069292  167036   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:23 PM  1002    107357  110.00    4.00    0.00    0.00  114.00    10  29388.00      0.00 9192876  822340   2.53  python3
08:30:23 PM  1002    107504    3.00    2.00    0.00    0.00    5.00    10   4666.00      0.00 2072160  169940   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:24 PM  1002    107357   85.00    1.00    0.00    0.00   86.00    12  29388.00      0.00 9192876  822564   2.53  python3
