Linux 5.15.0-186-generic (lenovo) 	08/27/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:13 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 8263284  602876   1.86  python3
07:17:13 PM  1002     75454    3.00    1.00    0.00    0.00    4.00     2    676.00      0.00 1866468  170052   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:14 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 8263284  602876   1.86  python3
07:17:14 PM  1002     75454    3.00    1.00    0.00    0.00    4.00    10   1995.00      0.00 1866468  170052   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:15 PM  1002     75308    0.00    1.00    0.00    0.00    1.00    10      0.00      0.00 8262744  602816   1.86  python3
07:17:15 PM  1002     75454    3.00    2.00    0.00    0.00    5.00     8   1996.00      0.00 1866468  170056   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:16 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 8262744  602816   1.86  python3
07:17:16 PM  1002     75454    3.00    0.00    0.00    0.00    3.00    14   1995.00      0.00 1866468  170056   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:17 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 8262744  602816   1.86  python3
07:17:17 PM  1002     75454    2.00    2.00    0.00    0.00    4.00    14   1995.00      0.00 1866468  170056   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:18 PM  1002     75308   74.00    6.00    0.00    0.00   80.00    10  22157.00      1.00 9117264  758972   2.34  python3
07:17:18 PM  1002     75454    3.00    1.00    0.00    0.00    4.00     4   1997.00      0.00 1866468  170064   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:19 PM  1002     75308   75.00    3.00    0.00    0.00   78.00    10  23227.00      5.00 9195656  820204   2.53  python3
07:17:19 PM  1002     75454    3.00    1.00    0.00    0.00    4.00     8   1995.00      0.00 1866468  170064   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:20 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9195656  820204   2.53  python3
07:17:20 PM  1002     75454    2.00    2.00    0.00    0.00    4.00    12   1995.00      0.00 1866468  170064   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:21 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9195656  820204   2.53  python3
07:17:21 PM  1002     75454    2.00    2.00    0.00    0.00    4.00     8   3314.00      0.00 1872036  175076   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:22 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9195656  820204   2.53  python3
07:17:22 PM  1002     75454    2.00    2.00    0.00    0.00    4.00     0    677.00      0.00 1866468  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:23 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9195656  820204   2.53  python3
07:17:23 PM  1002     75454    3.00    0.00    0.00    0.00    3.00     2   1995.00      0.00 1866468  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:24 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9195656  820204   2.53  python3
07:17:24 PM  1002     75454    1.98    2.97    0.00    0.00    4.95    10   3281.19      0.00 1872036  175080   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:25 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9195656  820204   2.53  python3
07:17:25 PM  1002     75454    3.00    1.00    0.00    0.00    4.00    10    676.00      0.00 1866468  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:26 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9195656  820204   2.53  python3
