mode,metric,n,mean,sample_standard_deviation,median,minimum,maximum
edge,processed_frame_ratio,3,1.0000,0.0000,1.0000,1.0000,1.0000
edge,mean_pipeline_latency_ms,3,496.8932,386.9093,335.5532,216.7643,938.3622
edge,median_pipeline_latency_ms,3,259.2833,69.0764,288.6550,180.3750,308.8200
edge,p95_pipeline_latency_ms,3,2090.6273,2704.8023,553.1265,505.0150,5213.7405
edge,mean_inference_ms,3,53.1556,3.0463,51.8417,50.9867,56.6383
edge,mean_detection_count,3,3.1000,0.0764,3.0833,3.0333,3.1833
edge,resource_cpu_mean_percent,3,56.1111,2.3656,55.1833,54.3500,58.8000
edge,resource_cpu_peak_percent,3,79.3333,3.2146,78.0000,77.0000,83.0000
edge,resource_rss_mean_mb,3,972.4139,16.8289,975.1066,954.4010,987.7340
edge,resource_rss_peak_mb,3,988.4518,15.4196,990.7812,972.0000,1002.5742
ground,processed_frame_ratio,3,0.7389,0.1782,0.7000,0.5833,0.9333
ground,mean_pipeline_latency_ms,3,509.5149,2.7862,508.6889,507.2352,512.6207
ground,median_pipeline_latency_ms,3,515.6700,1.5331,516.2100,513.9400,516.8600
ground,p95_pipeline_latency_ms,3,556.9943,6.2377,557.7750,550.4030,562.8050
ground,mean_inference_ms,3,51.3823,3.4046,51.4411,47.9486,54.7571
ground,mean_detection_count,3,0.9242,0.4683,1.0536,0.4048,1.3143
ground,resource_cpu_mean_percent,3,41.2193,9.6647,41.4667,31.4333,50.7580
ground,resource_cpu_peak_percent,3,85.6667,2.0817,85.0000,84.0000,88.0000
ground,resource_rss_mean_mb,3,968.4166,2.8404,968.3861,965.5916,971.2721
ground,resource_rss_peak_mb,3,995.0859,11.4550,997.3164,982.6797,1005.2617
ground,mean_compression_ms,3,2.1887,0.1402,2.1679,2.0600,2.3381
ground,mean_decode_ms,3,1.8306,0.2972,1.6946,1.6257,2.1714
