mode,metric,n,mean,sample_standard_deviation,median,minimum,maximum
edge,processed_frame_ratio,3,1.0000,0.0000,1.0000,1.0000,1.0000
edge,mean_latency_ms,3,197.3043,36.9581,215.1572,154.8091,221.9465
edge,median_latency_ms,3,182.4050,19.2248,174.9800,168.0000,204.2350
edge,p95_latency_ms,3,421.2535,170.2158,483.9485,228.5820,551.2300
edge,mean_inference_ms,3,54.5237,3.1157,55.4310,51.0550,57.0850
edge,mean_detection_count,3,3.0567,0.0524,3.0667,3.0000,3.1034
edge,cpu_mean_percent,3,56.2167,2.5564,54.8333,54.6500,59.1667
edge,cpu_peak_percent,3,83.3333,3.5119,83.0000,80.0000,87.0000
edge,rss_mean_mb,3,952.3228,5.1138,952.6424,947.0567,957.2693
edge,rss_peak_mb,3,974.8424,17.1710,978.8945,956.0078,989.6250
edge,mean_compression_ms,0,,,,,
edge,mean_decode_ms,0,,,,,
ground,processed_frame_ratio,3,0.7667,0.0727,0.8000,0.6833,0.8167
ground,mean_latency_ms,3,502.4494,6.2522,504.2520,495.4939,507.6023
ground,median_latency_ms,3,507.8583,4.3388,509.8600,502.8800,510.8350
ground,p95_latency_ms,3,562.9742,5.4253,560.4640,559.2585,569.2000
ground,mean_inference_ms,3,51.5667,4.9196,48.9979,48.4633,57.2390
ground,mean_detection_count,3,1.1078,0.3585,1.3125,0.6939,1.3171
ground,cpu_mean_percent,3,42.4413,1.4700,43.0000,40.7738,43.5500
ground,cpu_peak_percent,3,93.6667,6.1101,95.0000,87.0000,99.0000
ground,rss_mean_mb,3,963.3388,2.5758,961.9036,961.8003,966.3125
ground,rss_peak_mb,3,987.8060,10.0209,983.5156,980.6445,999.2578
ground,mean_compression_ms,3,2.5076,0.0537,2.5341,2.4458,2.5429
ground,mean_decode_ms,3,2.1362,0.1477,2.0780,2.0265,2.3042
