mode,metric,n,mean,sample_standard_deviation,median,minimum,maximum
edge,processed_frame_ratio,1,1.0000,,1.0000,1.0000,1.0000
edge,mean_pipeline_latency_ms,1,311.2253,,311.2253,311.2253,311.2253
edge,median_pipeline_latency_ms,1,168.8550,,168.8550,168.8550,168.8550
edge,p95_pipeline_latency_ms,1,585.7845,,585.7845,585.7845,585.7845
edge,min_pipeline_latency_ms,1,69.7800,,69.7800,69.7800,69.7800
edge,max_pipeline_latency_ms,1,3330.7400,,3330.7400,3330.7400,3330.7400
edge,mean_inference_ms,1,55.1517,,55.1517,55.1517,55.1517
edge,mean_compression_ms,0,,,,,
edge,mean_decode_ms,0,,,,,
edge,mean_detection_count,1,3.0833,,3.0833,3.0833,3.0833
edge,resource_cpu_mean_percent,1,57.4667,,57.4667,57.4667,57.4667
edge,resource_cpu_peak_percent,1,84.0000,,84.0000,84.0000,84.0000
edge,resource_rss_mean_mb,1,958.9959,,958.9959,958.9959,958.9959
edge,resource_rss_peak_mb,1,999.7969,,999.7969,999.7969,999.7969
ground,processed_frame_ratio,0,,,,,
ground,mean_pipeline_latency_ms,0,,,,,
ground,median_pipeline_latency_ms,0,,,,,
ground,p95_pipeline_latency_ms,0,,,,,
ground,min_pipeline_latency_ms,0,,,,,
ground,max_pipeline_latency_ms,0,,,,,
ground,mean_inference_ms,0,,,,,
ground,mean_compression_ms,0,,,,,
ground,mean_decode_ms,0,,,,,
ground,mean_detection_count,0,,,,,
ground,resource_cpu_mean_percent,0,,,,,
ground,resource_cpu_peak_percent,0,,,,,
ground,resource_rss_mean_mb,0,,,,,
ground,resource_rss_peak_mb,0,,,,,
