time_s,raw_score_array
0.001640,"[1.0, 0.9984934329986572, 1.0, 56.30103302001953, -37.69896697998047, 1.0, 0.9924671053886414, 1.0, 2.0, 0.998216450214386, 1.0, 55.05386734008789, -38.94613265991211, 1.0, 0.9910821914672852, 1.0, 3.0, 0.9984105229377747, 1.0, 56.51626968383789, -37.48373031616211, 1.0, 0.9920527338981628, 1.0]"
0.001649,"[1.0, 0.9992287158966064, 1.0, 59.31947326660156, -34.68052673339844, 1.0, 0.9961435198783875, 1.0, 2.0, 0.9989533424377441, 1.0, 54.86113357543945, -39.13886642456055, 1.0, 0.9947667121887207, 1.0, 3.0, 0.9989144206047058, 1.0, 56.159950256347656, -37.840049743652344, 1.0, 0.9945721626281738, 1.0]"
0.001655,"[1.0, 0.9988997578620911, 1.0, 48.09466552734375, -45.90533447265625, 1.0, 0.9944987297058105, 1.0, 2.0, 0.9991941452026367, 1.0, 49.63454055786133, -44.36545944213867, 1.0, 0.9959707260131836, 1.0, 3.0, 0.9991298317909241, 1.0, 54.562137603759766, -39.437862396240234, 1.0, 0.9956492781639099, 1.0]"
0.001662,"[1.0, 0.9992910027503967, 1.0, 51.605770111083984, -42.394229888916016, 1.0, 0.9964551329612732, 1.0, 2.0, 0.9987605810165405, 1.0, 51.039039611816406, -42.960960388183594, 1.0, 0.9938030242919922, 1.0, 3.0, 0.9993350505828857, 1.0, 55.503170013427734, -38.496829986572266, 1.0, 0.9966753721237183, 1.0]"
0.001668,"[1.0, 0.9973980188369751, 1.0, 52.8617057800293, -41.1382942199707, 1.0, 0.9869900941848755, 1.0, 2.0, 0.9984829425811768, 1.0, 51.3857307434082, -42.6142692565918, 1.0, 0.992414653301239, 1.0, 3.0, 0.9985764622688293, 1.0, 47.12644958496094, -46.87355041503906, 1.0, 0.992882251739502, 1.0]"
0.001675,"[1.0, 0.9986328482627869, 1.0, 50.925899505615234, -43.074100494384766, 1.0, 0.9931641817092896, 1.0, 2.0, 0.9989245533943176, 1.0, 46.59856033325195, -47.40143966674805, 1.0, 0.9946227669715881, 1.0, 3.0, 0.9989519119262695, 1.0, 48.63686752319336, -45.36313247680664, 1.0, 0.9947595000267029, 1.0]"
0.001682,"[1.0, 0.9819751381874084, 1.0, 50.28496551513672, -43.71503448486328, 1.0, 0.9098755717277527, 1.0, 2.0, 0.9660701751708984, 1.0, 44.37651062011719, -49.62348937988281, 1.0, 0.8303508758544922, 1.0, 3.0, 0.9819019436836243, 1.0, 45.216182708740234, -48.783817291259766, 1.0, 0.9095097184181213, 1.0]"
0.001688,"[1.0, 0.9665489792823792, 1.0, 46.0973014831543, -47.9026985168457, 1.0, 0.832744836807251, 1.0, 2.0, 0.9631496071815491, 1.0, 47.912322998046875, -46.087677001953125, 1.0, 0.8157480955123901, 1.0, 3.0, 0.975807249546051, 1.0, 42.37650680541992, -51.62349319458008, 1.0, 0.8790361285209656, 1.0]"
0.001695,"[1.0, 0.9540340304374695, 1.0, 51.60110092163086, -42.39889907836914, 1.0, 0.770170271396637, 1.0, 2.0, 0.9752779006958008, 1.0, 51.01301956176758, -42.98698043823242, 1.0, 0.8763895630836487, 1.0, 3.0, 0.9752262234687805, 1.0, 46.6991081237793, -47.3008918762207, 1.0, 0.8761311769485474, 1.0]"
0.001701,"[1.0, 0.9515480399131775, 1.0, 49.962615966796875, -44.037384033203125, 1.0, 0.7577401399612427, 1.0, 2.0, 0.9566656351089478, 1.0, 49.11022186279297, -44.88977813720703, 1.0, 0.7833281755447388, 1.0, 3.0, 0.9465845823287964, 1.0, 45.65092468261719, -48.34907531738281, 1.0, 0.7329229116439819, 1.0]"
