time_s,assignment
0.001331,"{""assignments"": [{""gcs_snr_db"": 37.1, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9987, ""uav_id"": 1}, {""gcs_snr_db"": 16.16, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8419, ""uav_id"": 2}, {""gcs_snr_db"": 27.11, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9701, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.001340,"{""assignments"": [{""gcs_snr_db"": 42.79, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9943, ""uav_id"": 1}, {""gcs_snr_db"": 8.57, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7507, ""uav_id"": 2}, {""gcs_snr_db"": 34.94, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9845, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.001347,"{""assignments"": [{""gcs_snr_db"": 38.43, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9959, ""uav_id"": 1}, {""gcs_snr_db"": 17.44, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8506, ""uav_id"": 2}, {""gcs_snr_db"": 28.05, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9758, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.001354,"{""assignments"": [{""gcs_snr_db"": 41.37, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9971, ""uav_id"": 1}, {""gcs_snr_db"": 16.39, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8421, ""uav_id"": 2}, {""gcs_snr_db"": 30.87, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9953, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.001361,"{""assignments"": [{""gcs_snr_db"": 39.78, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9976, ""uav_id"": 1}, {""gcs_snr_db"": 21.09, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.889, ""uav_id"": 2}, {""gcs_snr_db"": 30.38, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9962, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.001369,"{""assignments"": [{""gcs_snr_db"": 33.75, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9957, ""uav_id"": 1}, {""gcs_snr_db"": 3.68, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7147, ""uav_id"": 2}, {""gcs_snr_db"": 32.15, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9957, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.001376,"{""assignments"": [{""gcs_snr_db"": 41.42, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9946, ""uav_id"": 1}, {""gcs_snr_db"": 9.69, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7737, ""uav_id"": 2}, {""gcs_snr_db"": 27.92, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9715, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.001385,"{""assignments"": [{""gcs_snr_db"": 40.52, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.999, ""uav_id"": 1}, {""gcs_snr_db"": 14.93, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.829, ""uav_id"": 2}, {""gcs_snr_db"": 35.01, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9988, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.001393,"{""assignments"": [{""gcs_snr_db"": 42.11, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9992, ""uav_id"": 1}, {""gcs_snr_db"": 11.3, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7935, ""uav_id"": 2}, {""gcs_snr_db"": 29.85, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9976, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.001401,"{""assignments"": [{""gcs_snr_db"": 39.78, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9972, ""uav_id"": 1}, {""gcs_snr_db"": 17.5, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8535, ""uav_id"": 2}, {""gcs_snr_db"": 26.64, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9623, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
