time_s,event
0.000787,"{""epoch"": 2, ""new_backup"": 2, ""new_primary"": 1, ""old_backup"": 3, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000796,"{""epoch"": 3, ""new_backup"": 3, ""new_primary"": 1, ""old_backup"": 2, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000811,"{""epoch"": 4, ""new_backup"": 2, ""new_primary"": 1, ""old_backup"": 3, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000821,"{""epoch"": 5, ""new_backup"": 3, ""new_primary"": 1, ""old_backup"": 2, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000838,"{""epoch"": 6, ""new_backup"": 2, ""new_primary"": 1, ""old_backup"": 3, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000847,"{""epoch"": 7, ""new_backup"": 3, ""new_primary"": 1, ""old_backup"": 2, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000854,"{""epoch"": 8, ""new_backup"": 2, ""new_primary"": 1, ""old_backup"": 3, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000861,"{""epoch"": 9, ""new_backup"": 3, ""new_primary"": 1, ""old_backup"": 2, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000868,"{""epoch"": 10, ""new_backup"": 2, ""new_primary"": 1, ""old_backup"": 3, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000876,"{""epoch"": 11, ""new_backup"": 3, ""new_primary"": 1, ""old_backup"": 2, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
