time_s,role,uav_id
0.000488,primary,1
0.000502,primary,1
0.000510,primary,1
0.000517,primary,1
0.000525,primary,1
0.000532,primary,1
0.000540,primary,1
0.000549,primary,1
0.000556,primary,1
0.000564,primary,1
0.001056,backup,3
0.001069,backup,3
0.001076,backup,3
0.001083,backup,3
0.001091,backup,3
0.001099,backup,3
0.001106,backup,3
0.001113,backup,3
0.001121,backup,3
0.001128,backup,3
1.834596,primary,1
1.834602,backup,3
3.834618,primary,1
3.834624,backup,3
5.834590,primary,1
5.834595,backup,3
7.834653,primary,1
7.834656,backup,3
9.834638,primary,1
9.834657,backup,3
11.834542,primary,1
11.834545,backup,3
13.834556,primary,1
13.834577,backup,3
15.834568,primary,1
15.834576,backup,3
17.834856,primary,1
17.834862,backup,3
19.834577,primary,1
19.834582,backup,3
21.834536,primary,1
21.834541,backup,3
23.834620,primary,1
23.834626,backup,3
25.834691,primary,1
25.834694,backup,3
27.834470,primary,1
27.834476,backup,3
29.834668,primary,1
29.834715,backup,3
31.834766,primary,1
31.834772,backup,3
33.834829,primary,1
33.834831,backup,3
35.834589,primary,1
35.834594,backup,3
37.834561,primary,1
37.834563,backup,3
39.834644,primary,1
39.834648,backup,3
41.834690,primary,1
41.834693,backup,3
43.834618,primary,1
43.834624,backup,3
45.834574,primary,1
45.834603,backup,3
47.834600,primary,1
47.834616,backup,3
49.834575,primary,1
49.834580,backup,3
51.834629,primary,1
51.834632,backup,3
53.834580,primary,1
53.834585,backup,3
55.834631,primary,1
55.834634,backup,3
57.834523,primary,1
57.834542,backup,3
59.834633,primary,1
59.834639,backup,3
61.834753,primary,1
61.834760,backup,3
63.834571,primary,1
63.834577,backup,3
65.834577,primary,1
65.834603,backup,3
67.834682,primary,1
67.834688,backup,3
69.834567,primary,1
69.834587,backup,3
71.834686,primary,1
71.834692,backup,3
73.834589,primary,1
73.834609,backup,3
75.834591,primary,1
75.834621,backup,3
77.834642,primary,1
77.834647,backup,3
79.834720,primary,1
79.834727,backup,3
81.834712,primary,1
81.834766,backup,3
83.834592,primary,1
83.834594,backup,3
85.834559,primary,1
85.834561,backup,3
87.834834,primary,1
87.834841,backup,3
89.834576,primary,1
89.834583,backup,3
91.834627,primary,1
91.834633,backup,3
93.834595,primary,1
93.834601,backup,3
95.834614,primary,1
95.834617,backup,3
97.834547,primary,1
97.834555,backup,3
99.834621,primary,1
99.834641,backup,3
101.834732,primary,1
101.834738,backup,3
103.834642,primary,1
103.834648,backup,3
105.834611,primary,1
105.834614,backup,3
107.834582,primary,1
107.834588,backup,3
109.834581,primary,1
109.834583,backup,3
111.834657,primary,1
111.834663,backup,3
113.834561,primary,1
113.834569,backup,3
115.834628,primary,1
115.834634,backup,3
117.834613,primary,1
117.834616,backup,3
119.834652,primary,1
119.834679,backup,3
