time_s,event
0.007883,"{""epoch"": 1, ""new_backup"": 2, ""new_primary"": 3, ""old_backup"": 0, ""old_primary"": 0, ""reason"": ""initial_election""}"
0.007895,"{""epoch"": 2, ""new_backup"": 1, ""new_primary"": 3, ""old_backup"": 2, ""old_primary"": 3, ""reason"": ""backup_reselected""}"
0.007915,"{""epoch"": 3, ""new_backup"": 2, ""new_primary"": 3, ""old_backup"": 1, ""old_primary"": 3, ""reason"": ""backup_reselected""}"
0.007924,"{""epoch"": 4, ""new_backup"": 1, ""new_primary"": 3, ""old_backup"": 2, ""old_primary"": 3, ""reason"": ""backup_reselected""}"
0.007932,"{""epoch"": 5, ""new_backup"": 2, ""new_primary"": 3, ""old_backup"": 1, ""old_primary"": 3, ""reason"": ""backup_reselected""}"
0.007940,"{""epoch"": 6, ""new_backup"": 1, ""new_primary"": 3, ""old_backup"": 2, ""old_primary"": 3, ""reason"": ""backup_reselected""}"
0.007947,"{""epoch"": 7, ""new_backup"": 2, ""new_primary"": 3, ""old_backup"": 1, ""old_primary"": 3, ""reason"": ""backup_reselected""}"
0.007955,"{""epoch"": 8, ""new_backup"": 1, ""new_primary"": 3, ""old_backup"": 2, ""old_primary"": 3, ""reason"": ""backup_reselected""}"
8.661200,"{""epoch"": 9, ""new_backup"": 2, ""new_primary"": 3, ""old_backup"": 1, ""old_primary"": 3, ""reason"": ""backup_reselected""}"
22.661271,"{""epoch"": 10, ""new_backup"": 1, ""new_primary"": 3, ""old_backup"": 2, ""old_primary"": 3, ""reason"": ""backup_reselected""}"
56.661217,"{""epoch"": 11, ""new_backup"": 2, ""new_primary"": 3, ""old_backup"": 1, ""old_primary"": 3, ""reason"": ""backup_reselected""}"
64.661196,"{""epoch"": 12, ""new_backup"": 1, ""new_primary"": 3, ""old_backup"": 2, ""old_primary"": 3, ""reason"": ""backup_reselected""}"
