time_s,role,uav_id
0.000529,backup,2
0.000547,backup,2
0.000556,backup,2
0.000563,backup,2
0.000570,backup,2
0.000578,backup,2
0.000586,backup,2
0.000593,backup,2
0.000601,backup,2
0.000609,backup,2
0.001299,primary,1
0.001327,primary,1
0.001335,primary,1
0.001342,primary,1
0.001349,primary,1
0.001357,primary,1
0.001365,primary,1
0.001372,primary,1
0.001380,primary,1
0.001387,primary,1
0.164110,primary,1
0.164124,backup,2
2.164160,backup,3
2.164165,primary,1
4.164222,backup,3
4.164229,primary,1
6.164092,backup,3
6.164097,primary,1
8.164120,primary,1
8.164154,backup,3
10.164091,backup,3
10.164093,primary,1
12.164092,backup,3
12.164094,primary,1
14.164172,backup,3
14.164183,primary,1
16.164252,primary,1
16.164266,backup,3
18.164135,primary,1
18.164155,backup,3
20.164185,primary,1
20.164197,backup,3
22.164123,primary,1
22.164141,backup,3
24.164187,primary,1
24.164281,backup,3
26.164192,primary,1
26.164207,backup,3
28.164175,primary,1
28.164192,backup,2
30.164256,backup,2
30.164262,primary,1
32.164229,backup,2
32.164241,primary,1
34.164307,backup,2
34.164309,primary,1
36.164267,backup,3
36.164270,primary,1
38.164160,primary,1
38.164168,backup,3
40.164062,backup,3
40.164065,primary,1
42.164316,backup,3
42.164330,primary,1
44.164146,backup,3
44.164151,primary,1
46.164147,primary,1
46.164170,backup,3
48.164232,primary,1
48.164247,backup,3
50.164207,backup,3
50.164218,primary,1
52.164204,backup,3
52.164209,primary,1
54.164150,backup,3
54.164153,primary,1
56.164201,primary,1
56.164222,backup,3
58.164107,backup,3
58.164109,primary,1
60.164344,primary,1
60.164362,backup,3
62.164222,backup,3
62.164227,primary,1
64.164161,backup,3
64.164166,primary,1
66.164232,primary,1
66.164252,backup,3
68.164139,primary,1
68.164158,backup,3
