seq,rtt_ms
1,0.020
2,0.048
3,0.027
4,0.039
5,0.030
6,0.040
7,0.017
8,0.043
9,0.049
10,0.041
11,0.024
12,0.030
13,0.020
14,0.043
15,0.040
16,0.057
17,0.022
18,0.033
19,0.014
20,0.019
21,0.027
22,0.037
23,0.040
24,0.028
25,0.036
26,0.046
27,0.036
28,0.019
29,0.027
30,0.035
31,0.034
32,0.051
33,0.034
34,0.060
35,0.041
36,0.030
37,0.029
38,0.017
39,0.020
40,0.024
41,0.034
42,0.022
43,0.017
44,0.039
45,0.025
46,0.022
47,0.041
48,0.029
49,0.027
50,0.027
51,0.036
52,0.042
53,0.027
54,0.021
55,0.022
56,0.024
57,0.041
58,0.021
59,0.022
60,0.031
61,0.035
62,0.047
63,0.017
64,0.041
65,0.035
66,0.053
67,0.032
68,0.045
69,0.052
70,0.026
71,0.043
72,0.042
73,0.033
74,0.042
75,0.037
76,0.036
77,0.019
78,0.040
79,0.028
80,0.014
81,0.042
82,0.018
83,0.020
84,0.034
85,0.045
86,0.021
87,0.023
88,0.033
89,0.050
90,0.029
91,0.044
92,0.022
93,0.037
94,0.020
95,0.025
96,0.024
97,0.012
98,0.022
99,0.039
100,0.052
