seq,rtt_ms
1,156.000
2,170.000
3,172.000
4,181.000
5,153.000
6,139.000
7,149.000
8,110.000
9,189.000
10,146.000
11,128.000
12,125.000
13,155.000
14,171.000
15,167.000
16,153.000
17,151.000
18,152.000
19,146.000
20,152.000
21,144.000
22,168.000
23,155.000
24,186.000
25,128.000
26,125.000
27,198.000
28,152.000
29,179.000
30,158.000
31,151.000
32,171.000
33,139.000
34,179.000
35,143.000
36,158.000
37,197.000
38,150.000
39,160.000
40,142.000
41,130.000
42,192.000
43,135.000
44,148.000
45,150.000
46,181.000
47,171.000
48,170.000
49,168.000
50,154.000
51,168.000
52,164.000
53,155.000
54,179.000
55,163.000
56,145.000
57,181.000
58,148.000
59,166.000
60,155.000
61,155.000
62,188.000
63,111.000
64,147.000
65,122.000
66,135.000
67,162.000
68,145.000
69,186.000
70,187.000
71,142.000
72,164.000
73,169.000
74,144.000
75,121.000
76,147.000
77,130.000
78,194.000
79,174.000
80,152.000
81,152.000
82,179.000
83,176.000
84,145.000
85,167.000
86,157.000
87,208.000
88,180.000
89,167.000
90,195.000
91,147.000
92,185.000
93,162.000
94,154.000
95,158.000
96,138.000
97,159.000
98,154.000
99,158.000
100,141.000
