seq,rtt_ms
1,145.000
2,154.000
3,172.000
4,144.000
5,177.000
6,129.000
7,155.000
8,193.000
9,119.000
10,169.000
11,174.000
12,164.000
13,151.000
14,131.000
15,139.000
16,127.000
17,142.000
18,183.000
19,169.000
20,142.000
21,174.000
22,164.000
23,150.000
24,151.000
25,153.000
26,154.000
27,163.000
28,163.000
29,136.000
30,190.000
31,150.000
32,172.000
33,171.000
34,160.000
35,134.000
36,163.000
37,135.000
38,167.000
39,158.000
40,166.000
41,170.000
42,177.000
43,176.000
44,161.000
45,187.000
46,140.000
47,157.000
48,150.000
49,163.000
50,172.000
51,205.000
52,170.000
53,173.000
54,145.000
55,193.000
56,158.000
57,156.000
58,179.000
59,128.000
60,140.000
61,168.000
62,176.000
63,174.000
64,149.000
65,160.000
66,169.000
67,163.000
68,165.000
69,176.000
70,159.000
71,170.000
72,153.000
73,159.000
74,142.000
75,153.000
76,156.000
77,155.000
78,164.000
79,162.000
80,151.000
81,189.000
82,163.000
83,173.000
84,136.000
85,156.000
86,172.000
87,147.000
88,176.000
89,161.000
90,191.000
91,200.000
92,165.000
93,160.000
94,161.000
95,163.000
96,166.000
97,145.000
98,170.000
99,151.000
100,148.000
