label,arrival_time_s,gap_from_prev_ms
c0_mission_baseline,1785873136.908655,
c0_mission_baseline,1785873137.927158,1018.50
c0_mission_baseline,1785873138.297479,370.32
c0_mission_baseline,1785873139.115235,817.76
c0_mission_baseline,1785873139.308864,193.63
c0_mission_baseline,1785873140.381170,1072.31
c0_mission_baseline,1785873140.627145,245.98
c0_mission_baseline,1785873141.132536,505.39
c0_mission_baseline,1785873141.299374,166.84
c0_mission_baseline,1785873141.721753,422.38
c0_mission_baseline,1785873142.558509,836.76
c0_mission_baseline,1785873143.423369,864.86
c0_mission_baseline,1785873143.636149,212.78
c0_mission_baseline,1785873144.012775,376.63
c0_mission_baseline,1785873144.799499,786.72
c0_mission_baseline,1785873145.427900,628.40
c0_mission_baseline,1785873146.242400,814.50
c0_mission_baseline,1785873146.988682,746.28
c0_mission_baseline,1785873147.221539,232.86
c0_mission_baseline,1785873147.760110,538.57
c0_mission_baseline,1785873148.983065,1222.96
c0_mission_baseline,1785873149.260342,277.28
c0_mission_baseline,1785873149.407954,147.61
c0_mission_baseline,1785873149.623678,215.72
c0_mission_baseline,1785873149.845272,221.59
c0_mission_baseline,1785873150.024540,179.27
c0_mission_baseline,1785873151.025518,1000.98
c0_mission_baseline,1785873151.218850,193.33
c0_mission_baseline,1785873151.798590,579.74
c0_mission_baseline,1785873152.027992,229.40
c0_mission_baseline,1785873152.229885,201.89
c0_mission_baseline,1785873152.422366,192.48
c0_mission_baseline,1785873152.798891,376.52
c0_mission_baseline,1785873152.969204,170.31
c0_mission_baseline,1785873153.397072,427.87
c0_mission_baseline,1785873153.623573,226.50
c0_mission_baseline,1785873153.993385,369.81
c0_mission_baseline,1785873154.244833,251.45
c0_mission_baseline,1785873154.608881,364.05
c0_mission_baseline,1785873154.942519,333.64
c0_mission_baseline,1785873155.384855,442.34
c0_mission_baseline,1785873155.612826,227.97
c0_mission_baseline,1785873156.598157,985.33
c0_mission_baseline,1785873156.983075,384.92
c0_mission_baseline,1785873157.197994,214.92
c0_mission_baseline,1785873157.561753,363.76
c0_mission_baseline,1785873158.096694,534.94
c0_mission_baseline,1785873158.313748,217.05
c0_mission_baseline,1785873158.895838,582.09
c0_mission_baseline,1785873159.556743,660.91
c0_mission_baseline,1785873160.947573,1390.83
c0_mission_baseline,1785873161.393316,445.74
c0_mission_baseline,1785873161.597182,203.87
c0_mission_baseline,1785873161.766565,169.38
c0_mission_baseline,1785873161.950097,183.53
c0_mission_baseline,1785873162.193326,243.23
c0_mission_baseline,1785873162.406522,213.20
c0_mission_baseline,1785873163.394415,987.89
c0_mission_baseline,1785873163.814166,419.75
