label,arrival_time_s,gap_from_prev_ms
c1_baseline,1785869237.024001,
c1_baseline,1785869237.210442,186.44
c1_baseline,1785869237.774899,564.46
c1_baseline,1785869239.102048,1327.15
c1_baseline,1785869239.324907,222.86
c1_baseline,1785869239.688760,363.85
c1_baseline,1785869240.103775,415.01
c1_baseline,1785869241.120562,1016.79
c1_baseline,1785869241.545418,424.86
c1_baseline,1785869242.801099,1255.68
c1_baseline,1785869242.988988,187.89
c1_baseline,1785869243.138117,149.13
c1_baseline,1785869243.360601,222.48
c1_baseline,1785869244.164387,803.79
c1_baseline,1785869244.352334,187.95
c1_baseline,1785869244.949371,597.04
c1_baseline,1785869245.114861,165.49
c1_baseline,1785869245.560548,445.69
c1_baseline,1785869245.953818,393.27
c1_baseline,1785869247.136170,1182.35
c1_baseline,1785869247.383870,247.70
c1_baseline,1785869247.827058,443.19
c1_baseline,1785869248.047416,220.36
c1_baseline,1785869249.335779,1288.36
c1_baseline,1785869249.975036,639.26
c1_baseline,1785869250.346460,371.42
c1_baseline,1785869250.749070,402.61
c1_baseline,1785869252.292724,1543.65
c1_baseline,1785869252.928716,635.99
c1_baseline,1785869253.086405,157.69
c1_baseline,1785869253.284472,198.07
c1_baseline,1785869253.500111,215.64
c1_baseline,1785869253.925709,425.60
c1_baseline,1785869254.090286,164.58
c1_baseline,1785869254.519899,429.61
c1_baseline,1785869254.753859,233.96
c1_baseline,1785869254.968433,214.57
c1_baseline,1785869255.486812,518.38
c1_baseline,1785869257.290297,1803.49
c1_baseline,1785869257.503312,213.02
c1_baseline,1785869257.738625,235.31
c1_baseline,1785869258.138512,399.89
c1_baseline,1785869258.621679,483.17
c1_baseline,1785869259.175482,553.80
c1_baseline,1785869259.594313,418.83
c1_baseline,1785869260.022680,428.37
c1_baseline,1785869260.220925,198.24
c1_baseline,1785869260.432827,211.90
c1_baseline,1785869260.642385,209.56
c1_baseline,1785869261.371754,729.37
c1_baseline,1785869261.588979,217.22
c1_baseline,1785869262.081367,492.39
c1_baseline,1785869263.378866,1297.50
c1_baseline,1785869264.197654,818.79
c1_baseline,1785869265.432441,1234.79
c1_baseline,1785869265.629943,197.50
c1_baseline,1785869266.211679,581.74
c1_baseline,1785869266.626300,414.62
c1_baseline,1785869267.021396,395.10
c1_baseline,1785869268.603801,1582.41
c1_baseline,1785869268.833903,230.10
c1_baseline,1785869269.578386,744.48
c1_baseline,1785869269.762803,184.42
c1_baseline,1785869270.352288,589.48
