label,arrival_time_s,gap_from_prev_ms
c2_edge_load,1785873490.309170,
c2_edge_load,1785873490.911200,602.03
c2_edge_load,1785873492.358432,1447.23
c2_edge_load,1785873492.604318,245.89
c2_edge_load,1785873492.806858,202.54
c2_edge_load,1785873493.226717,419.86
c2_edge_load,1785873493.636070,409.35
c2_edge_load,1785873493.829656,193.59
c2_edge_load,1785873494.177092,347.44
c2_edge_load,1785873494.538859,361.77
c2_edge_load,1785873495.128710,589.85
c2_edge_load,1785873495.606750,478.04
c2_edge_load,1785873495.782359,175.61
c2_edge_load,1785873496.692233,909.87
c2_edge_load,1785873496.909149,216.92
c2_edge_load,1785873497.306329,397.18
c2_edge_load,1785873497.839225,532.90
c2_edge_load,1785873498.974661,1135.44
c2_edge_load,1785873499.240085,265.42
c2_edge_load,1785873499.415798,175.71
c2_edge_load,1785873499.533070,117.27
c2_edge_load,1785873500.446813,913.74
c2_edge_load,1785873500.991120,544.31
c2_edge_load,1785873501.431576,440.46
c2_edge_load,1785873501.588231,156.66
c2_edge_load,1785873501.969152,380.92
c2_edge_load,1785873502.432528,463.38
c2_edge_load,1785873502.648048,215.52
c2_edge_load,1785873502.897372,249.32
c2_edge_load,1785873503.351149,453.78
c2_edge_load,1785873503.521687,170.54
c2_edge_load,1785873503.676316,154.63
c2_edge_load,1785873504.552097,875.78
c2_edge_load,1785873504.983209,431.11
c2_edge_load,1785873505.318617,335.41
c2_edge_load,1785873505.832697,514.08
c2_edge_load,1785873506.042824,210.13
c2_edge_load,1785873506.252347,209.52
c2_edge_load,1785873506.489839,237.49
c2_edge_load,1785873507.032031,542.19
c2_edge_load,1785873507.499043,467.01
c2_edge_load,1785873507.958797,459.75
c2_edge_load,1785873508.806150,847.35
c2_edge_load,1785873509.712388,906.24
c2_edge_load,1785873509.920218,207.83
c2_edge_load,1785873510.083581,163.36
c2_edge_load,1785873510.285478,201.90
c2_edge_load,1785873510.903530,618.05
c2_edge_load,1785873512.321056,1417.53
c2_edge_load,1785873512.508065,187.01
c2_edge_load,1785873512.742279,234.21
c2_edge_load,1785873513.187760,445.48
c2_edge_load,1785873514.595959,1408.20
c2_edge_load,1785873515.136194,540.24
c2_edge_load,1785873515.364211,228.02
c2_edge_load,1785873515.692933,328.72
c2_edge_load,1785873516.117587,424.65
c2_edge_load,1785873516.347055,229.47
c2_edge_load,1785873517.611458,1264.40
c2_edge_load,1785873517.793164,181.71
c2_edge_load,1785873518.004571,211.41
c2_edge_load,1785873518.321245,316.67
c2_edge_load,1785873519.300903,979.66
c2_edge_load,1785873519.526273,225.37
c2_edge_load,1785873519.725245,198.97
c2_edge_load,1785873520.163886,438.64
c2_edge_load,1785873521.123345,959.46
c2_edge_load,1785873521.742319,618.97
c2_edge_load,1785873522.691624,949.30
c2_edge_load,1785873523.179726,488.10
c2_edge_load,1785873523.392789,213.06
c2_edge_load,1785873523.560567,167.78
c2_edge_load,1785873523.939250,378.68
c2_edge_load,1785873524.151353,212.10
c2_edge_load,1785873524.581489,430.14
c2_edge_load,1785873525.492254,910.77
c2_edge_load,1785873525.928888,436.63
c2_edge_load,1785873526.566883,638.00
c2_edge_load,1785873526.840174,273.29
c2_edge_load,1785873527.147527,307.35
c2_edge_load,1785873527.781407,633.88
c2_edge_load,1785873528.361692,580.29
c2_edge_load,1785873528.742597,380.90
c2_edge_load,1785873528.921785,179.19
c2_edge_load,1785873529.747378,825.59
c2_edge_load,1785873529.911028,163.65
c2_edge_load,1785873530.107105,196.08
c2_edge_load,1785873530.660595,553.49
c2_edge_load,1785873530.917059,256.46
c2_edge_load,1785873531.074838,157.78
c2_edge_load,1785873531.325744,250.91
c2_edge_load,1785873532.565659,1239.92
