label,arrival_time_s,gap_from_prev_ms
c3_ground_load,1785872641.967698,
c3_ground_load,1785872642.929502,961.80
c3_ground_load,1785872643.847986,918.48
c3_ground_load,1785872645.608426,1760.44
c3_ground_load,1785872647.593451,1985.03
c3_ground_load,1785872649.682107,2088.66
c3_ground_load,1785872650.359246,677.14
c3_ground_load,1785872650.740189,380.94
c3_ground_load,1785872651.394290,654.10
c3_ground_load,1785872652.696892,1302.60
c3_ground_load,1785872653.280631,583.74
c3_ground_load,1785872653.625849,345.22
c3_ground_load,1785872654.344939,719.09
c3_ground_load,1785872654.415415,70.48
c3_ground_load,1785872655.604760,1189.35
c3_ground_load,1785872655.772775,168.02
c3_ground_load,1785872656.432840,660.06
c3_ground_load,1785872656.695573,262.73
c3_ground_load,1785872656.846040,150.47
c3_ground_load,1785872658.400423,1554.38
c3_ground_load,1785872658.489682,89.26
c3_ground_load,1785872659.496725,1007.04
c3_ground_load,1785872660.832373,1335.65
c3_ground_load,1785872662.736970,1904.60
c3_ground_load,1785872662.960541,223.57
c3_ground_load,1785872664.293424,1332.88
c3_ground_load,1785872664.603003,309.58
c3_ground_load,1785872664.855865,252.86
c3_ground_load,1785872665.297693,441.83
c3_ground_load,1785872665.495084,197.39
c3_ground_load,1785872665.865589,370.51
c3_ground_load,1785872666.543242,677.65
c3_ground_load,1785872666.744451,201.21
c3_ground_load,1785872666.915494,171.04
c3_ground_load,1785872667.337336,421.84
c3_ground_load,1785872667.486576,149.24
c3_ground_load,1785872667.641984,155.41
c3_ground_load,1785872668.320819,678.83
c3_ground_load,1785872669.336611,1015.79
c3_ground_load,1785872669.444329,107.72
c3_ground_load,1785872670.419243,974.91
c3_ground_load,1785872671.254754,835.51
c3_ground_load,1785872671.452551,197.80
c3_ground_load,1785872671.718113,265.56
c3_ground_load,1785872673.613347,1895.23
c3_ground_load,1785872673.926337,312.99
c3_ground_load,1785872675.397133,1470.80
c3_ground_load,1785872676.458261,1061.13
c3_ground_load,1785872676.621204,162.94
c3_ground_load,1785872676.817421,196.22
c3_ground_load,1785872677.971022,1153.60
c3_ground_load,1785872678.484906,513.88
c3_ground_load,1785872678.594023,109.12
c3_ground_load,1785872678.925073,331.05
c3_ground_load,1785872679.756439,831.37
c3_ground_load,1785872680.352002,595.56
c3_ground_load,1785872680.424174,72.17
c3_ground_load,1785872681.835916,1411.74
c3_ground_load,1785872682.275114,439.20
c3_ground_load,1785872682.799245,524.13
c3_ground_load,1785872684.513792,1714.55
c3_ground_load,1785872685.212371,698.58
c3_ground_load,1785872685.811180,598.81
c3_ground_load,1785872686.236033,424.85
c3_ground_load,1785872686.459939,223.91
c3_ground_load,1785872687.261895,801.96
c3_ground_load,1785872688.295603,1033.71
c3_ground_load,1785872688.552720,257.12
c3_ground_load,1785872688.668147,115.43
c3_ground_load,1785872688.872257,204.11
c3_ground_load,1785872689.829961,957.70
c3_ground_load,1785872690.429615,599.65
c3_ground_load,1785872690.640630,211.01
c3_ground_load,1785872691.256902,616.27
c3_ground_load,1785872691.459258,202.36
c3_ground_load,1785872691.815755,356.50
c3_ground_load,1785872692.297634,481.88
c3_ground_load,1785872692.593968,296.33
c3_ground_load,1785872692.826983,233.02
c3_ground_load,1785872693.768062,941.08
c3_ground_load,1785872693.946457,178.40
c3_ground_load,1785872694.934550,988.09
c3_ground_load,1785872696.484259,1549.71
c3_ground_load,1785872697.723793,1239.53
c3_ground_load,1785872697.910275,186.48
c3_ground_load,1785872698.585314,675.04
c3_ground_load,1785872699.687525,1102.21
c3_ground_load,1785872700.810563,1123.04
c3_ground_load,1785872701.412720,602.16
c3_ground_load,1785872702.478201,1065.48
c3_ground_load,1785872703.484524,1006.32
c3_ground_load,1785872704.207903,723.38
c3_ground_load,1785872704.485300,277.40
c3_ground_load,1785872704.748029,262.73
c3_ground_load,1785872705.603811,855.78
c3_ground_load,1785872705.704232,100.42
c3_ground_load,1785872706.369754,665.52
c3_ground_load,1785872706.492808,123.05
c3_ground_load,1785872707.483925,991.12
c3_ground_load,1785872707.843678,359.75
c3_ground_load,1785872708.466655,622.98
c3_ground_load,1785872708.828479,361.82
c3_ground_load,1785872709.251102,422.62
c3_ground_load,1785872709.482928,231.83
c3_ground_load,1785872710.568244,1085.32
c3_ground_load,1785872710.849211,280.97
c3_ground_load,1785872711.010426,161.21
c3_ground_load,1785872711.785850,775.42
c3_ground_load,1785872712.532203,746.35
c3_ground_load,1785872714.004870,1472.67
c3_ground_load,1785872714.646326,641.46
c3_ground_load,1785872714.855966,209.64
c3_ground_load,1785872715.323149,467.18
c3_ground_load,1785872715.864143,540.99
c3_ground_load,1785872717.743981,1879.84
c3_ground_load,1785872718.567044,823.06
c3_ground_load,1785872718.777072,210.03
c3_ground_load,1785872718.986426,209.35
c3_ground_load,1785872719.488068,501.64
c3_ground_load,1785872719.728439,240.37
c3_ground_load,1785872719.909862,181.42
c3_ground_load,1785872720.358985,449.12
c3_ground_load,1785872720.879537,520.55
c3_ground_load,1785872721.541857,662.32
c3_ground_load,1785872721.671419,129.56
c3_ground_load,1785872721.870522,199.10
c3_ground_load,1785872722.319259,448.74
c3_ground_load,1785872722.639795,320.54
c3_ground_load,1785872722.824282,184.49
c3_ground_load,1785872724.700258,1875.98
c3_ground_load,1785872726.378046,1677.79
c3_ground_load,1785872726.854450,476.40
c3_ground_load,1785872727.876735,1022.28
c3_ground_load,1785872728.368416,491.68
c3_ground_load,1785872728.979172,610.76
c3_ground_load,1785872729.710887,731.71
c3_ground_load,1785872733.499285,3788.40
c3_ground_load,1785872733.624127,124.84
c3_ground_load,1785872734.296649,672.52
c3_ground_load,1785872734.478493,181.84
c3_ground_load,1785872735.389154,910.66
c3_ground_load,1785872736.879151,1490.00
c3_ground_load,1785872737.928927,1049.78
c3_ground_load,1785872738.889724,960.80
c3_ground_load,1785872739.826944,937.22
c3_ground_load,1785872740.296478,469.53
c3_ground_load,1785872740.845848,549.37
c3_ground_load,1785872741.783533,937.69
c3_ground_load,1785872742.254487,470.95
c3_ground_load,1785872743.339541,1085.05
c3_ground_load,1785872743.494364,154.82
c3_ground_load,1785872743.847431,353.07
c3_ground_load,1785872744.337688,490.26
c3_ground_load,1785872744.744655,406.97
c3_ground_load,1785872745.530663,786.01
c3_ground_load,1785872745.870397,339.73
c3_ground_load,1785872747.286960,1416.56
c3_ground_load,1785872747.429195,142.23
c3_ground_load,1785872747.775092,345.90
c3_ground_load,1785872748.418418,643.33
c3_ground_load,1785872749.439237,1020.82
