evaluation_order,filename,capture_time_s,width,height,encoding,gt_count,original_detail_row
1,frame_0001.png,1785947190.039118,1280,720,rgb8,5,2
2,frame_0002.png,1785947191.035872,1280,720,rgb8,5,3
3,frame_0003.png,1785947192.036652,1280,720,rgb8,5,4
4,frame_0004.png,1785947193.040498,1280,720,rgb8,5,5
5,frame_0005.png,1785947194.036236,1280,720,rgb8,5,6
6,frame_0006.png,1785947195.036410,1280,720,rgb8,5,7
7,frame_0007.png,1785947196.036121,1280,720,rgb8,5,8
8,frame_0008.png,1785947197.036886,1280,720,rgb8,5,9
9,frame_0009.png,1785947198.036541,1280,720,rgb8,5,10
10,frame_0010.png,1785947199.038451,1280,720,rgb8,5,11
11,frame_0011.png,1785947200.036174,1280,720,rgb8,5,12
12,frame_0012.png,1785947201.037289,1280,720,rgb8,5,13
13,frame_0013.png,1785947202.036017,1280,720,rgb8,5,14
14,frame_0014.png,1785947203.036684,1280,720,rgb8,5,15
15,frame_0015.png,1785947204.036788,1280,720,rgb8,4,16
16,frame_0016.png,1785947205.036234,1280,720,rgb8,4,17
17,frame_0017.png,1785947206.038271,1280,720,rgb8,1,18
18,frame_0018.png,1785947207.036370,1280,720,rgb8,5,19
19,frame_0019.png,1785947208.035913,1280,720,rgb8,5,20
20,frame_0020.png,1785947209.036507,1280,720,rgb8,5,21
21,frame_0021.png,1785947210.035559,1280,720,rgb8,5,22
22,frame_0022.png,1785947211.039035,1280,720,rgb8,5,23
23,frame_0023.png,1785947212.036070,1280,720,rgb8,5,24
24,frame_0024.png,1785947213.037150,1280,720,rgb8,5,25
25,frame_0025.png,1785947214.038015,1280,720,rgb8,5,26
26,frame_0026.png,1785947215.036973,1280,720,rgb8,5,27
27,frame_0027.png,1785947216.039623,1280,720,rgb8,5,28
28,frame_0028.png,1785947217.035486,1280,720,rgb8,5,29
29,frame_0029.png,1785947218.036716,1280,720,rgb8,5,30
30,frame_0030.png,1785947219.038218,1280,720,rgb8,5,31
31,frame_0031.png,1785947220.036131,1280,720,rgb8,5,32
32,frame_0032.png,1785947221.040178,1280,720,rgb8,5,33
33,frame_0033.png,1785947222.035618,1280,720,rgb8,5,34
34,frame_0034.png,1785947223.037071,1280,720,rgb8,0,36
35,frame_0035.png,1785947224.035909,1280,720,rgb8,0,37
36,frame_0036.png,1785947225.038297,1280,720,rgb8,0,38
37,frame_0037.png,1785947226.034789,1280,720,rgb8,0,39
38,frame_0038.png,1785947227.035751,1280,720,rgb8,5,40
39,frame_0039.png,1785947228.035306,1280,720,rgb8,0,41
40,frame_0040.png,1785947229.035050,1280,720,rgb8,0,42
41,frame_0041.png,1785947230.034420,1280,720,rgb8,0,43
42,frame_0042.png,1785947231.036226,1280,720,rgb8,0,44
43,frame_0043.png,1785947232.035662,1280,720,rgb8,0,45
44,frame_0044.png,1785947233.036568,1280,720,rgb8,0,46
45,frame_0045.png,1785947234.035145,1280,720,rgb8,0,47
46,frame_0046.png,1785947235.038433,1280,720,rgb8,0,48
47,frame_0047.png,1785947236.039666,1280,720,rgb8,0,49
48,frame_0048.png,1785947237.035337,1280,720,rgb8,0,50
49,frame_0049.png,1785947238.034217,1280,720,rgb8,0,51
50,frame_0050.png,1785947239.034979,1280,720,rgb8,0,52
51,frame_0051.png,1785947240.035762,1280,720,rgb8,0,53
52,frame_0052.png,1785947241.034992,1280,720,rgb8,0,54
53,frame_0053.png,1785947242.034795,1280,720,rgb8,0,55
54,frame_0054.png,1785947243.035224,1280,720,rgb8,0,56
55,frame_0055.png,1785947244.036343,1280,720,rgb8,0,57
56,frame_0056.png,1785947245.037554,1280,720,rgb8,0,58
57,frame_0057.png,1785947246.035466,1280,720,rgb8,0,59
58,frame_0058.png,1785947247.034833,1280,720,rgb8,0,60
59,frame_0059.png,1785947248.035242,1280,720,rgb8,0,61
60,frame_0060.png,1785947249.039163,1280,720,rgb8,0,62
