label,duration_s,uav1_to_gcs_bytes,uav1_to_gcs_pkts,uav1_to_gcs_mbps,gcs_to_uav1_bytes,gcs_to_uav1_pkts,gcs_to_uav1_mbps,mean_pkt_size_bytes,pkt_rate_per_sec
d1_edge_run1,60.0,1304470,3962,0.1739,288556,4027,0.0385,329.2,66.03
d1_ground_run1,60.0,7895959,8185,1.0528,289819,3282,0.0386,964.7,136.42
d1_ground_q50,180.0,21076467,16581,0.9367,535286,3336,0.0238,1271.1,92.12
d1_ground_q20,180.0,11074932,9869,0.4922,532391,3257,0.0237,1122.2,54.83
d1_ground_q10,180.0,6481237,6670,0.2881,517124,3181,0.0230,971.7,37.06
d1_ground_q5,180.0,4240391,5221,0.1885,433894,3098,0.0193,812.2,29.01
d1_ground_q50_clean,120.0,13949068,11724,0.9299,371326,2361,0.0248,1189.8,97.70
d1_ground_q20_clean,120.0,7292293,6929,0.4862,358334,2251,0.0239,1052.4,57.74
d1_ground_q10_clean,120.0,4195389,4377,0.2797,343137,2042,0.0229,958.5,36.48
d1_ground_q10_clean,120.0,2762595,3517,0.1842,298894,2062,0.0199,785.5,29.31
