label,timestamp,sent_bytes,sent_pkts,arrived_bytes,arrived_pkts,byte_delivery_pct,pkt_delivery_pct
d1_edge_run1,20260805_023058,1304470,3962,1304582,3962,100.01,100.00
d1_ground_q10,20260805_143220,6481237,6670,6204138,6444,95.72,96.61
d1_ground_q10_clean,20260805_151148,4195389,4377,4083703,4206,97.34,96.09
d1_ground_q10_clean,20260805_151508,2762595,3517,2753869,3529,99.68,100.34
d1_ground_q20,20260805_142723,11074932,9869,6248682,6601,56.42,66.89
d1_ground_q20_clean,20260805_150755,7292293,6929,4091249,4392,56.10,63.39
d1_ground_q50,20260805_142239,21076467,16581,6229075,6549,29.55,39.50
d1_ground_q50_clean,20260805_150436,13949068,11724,4182887,4522,29.99,38.57
d1_ground_q5,20260805_143837,4240391,5221,4240509,5223,100.00,100.04
d1_ground_run1,20260805_023421,7895959,8185,2118839,3854,26.83,47.09
