run_id,filename,gt_count,notes,raw_pred_count,raw_tp,raw_fp,raw_fn,raw_mean_confidence,raw_inference_ms,q5_pred_count,q5_tp,q5_fp,q5_fn,q5_mean_confidence,q5_inference_ms,q5_size_bytes,q5_encode_ms,q5_decode_ms,original_png_bytes
d4_raw_vs_q5_01,frame_0001.png,5,,5,5,0,0,0.4215,45.5281,2,2,0,3,0.3182,43.9573,18564,1.3630,1.2804,1667525
d4_raw_vs_q5_01,frame_0002.png,5,,3,3,0,2,0.5025,47.2325,1,1,0,4,0.3240,46.0497,18564,1.3537,1.3598,1667897
d4_raw_vs_q5_01,frame_0003.png,5,,4,4,0,1,0.4710,47.9276,2,2,0,3,0.3587,45.6840,18596,1.3764,1.3131,1667741
d4_raw_vs_q5_01,frame_0004.png,5,,4,4,0,1,0.4925,40.7192,0,0,0,5,0.0000,31.4914,18631,1.3621,1.3655,1668087
d4_raw_vs_q5_01,frame_0005.png,5,,4,4,0,1,0.3901,35.9801,0,0,0,5,0.0000,33.1025,18583,1.3267,1.4661,1667646
d4_raw_vs_q5_01,frame_0006.png,5,,3,3,0,2,0.3988,46.3619,1,1,0,4,0.2936,45.8330,18598,1.3504,1.3306,1668148
d4_raw_vs_q5_01,frame_0007.png,5,,2,2,0,3,0.4636,47.6937,2,2,0,3,0.3155,44.8239,18578,1.3683,1.4266,1667700
d4_raw_vs_q5_01,frame_0008.png,5,,3,3,0,2,0.4304,43.0321,2,2,0,3,0.3153,33.2769,18561,1.3461,1.3237,1667778
d4_raw_vs_q5_01,frame_0009.png,5,,7,5,2,0,0.5516,35.6546,0,0,0,5,0.0000,33.1839,18538,1.3603,1.3550,1667696
d4_raw_vs_q5_01,frame_0010.png,5,,7,5,2,0,0.5411,45.1059,1,1,0,4,0.2820,32.2671,18499,1.3347,1.3839,1670390
d4_raw_vs_q5_01,frame_0011.png,5,,9,5,4,0,0.4041,49.5892,0,0,0,5,0.0000,46.8071,18541,1.3381,1.4414,1677730
d4_raw_vs_q5_01,frame_0012.png,5,,6,5,1,0,0.5068,47.5371,1,1,0,4,0.2684,47.4787,18663,1.3436,1.3741,1684873
d4_raw_vs_q5_01,frame_0013.png,5,,6,5,1,0,0.5407,49.9654,2,2,0,3,0.3735,33.0088,18724,1.3518,1.3469,1687248
d4_raw_vs_q5_01,frame_0014.png,5,,5,5,0,0,0.6200,46.3276,1,1,0,4,0.3076,32.4290,18919,1.3654,1.3465,1690701
d4_raw_vs_q5_01,frame_0015.png,4,one human not partially hidden,4,4,0,0,0.7405,44.4647,0,0,0,4,0.0000,45.5885,19112,1.3533,1.5464,1689729
d4_raw_vs_q5_01,frame_0016.png,4,4 human partially hidden,0,0,0,4,0.0000,47.2448,0,0,0,4,0.0000,38.8854,19045,1.3558,1.3412,1692046
d4_raw_vs_q5_01,frame_0017.png,1,4 human partially hidden,1,1,0,0,0.2940,51.0999,0,0,0,1,0.0000,46.1344,18918,1.3886,1.3484,1694634
d4_raw_vs_q5_01,frame_0018.png,5,,2,2,0,3,0.7806,40.9683,0,0,0,5,0.0000,33.3938,19024,1.3610,1.3300,1690519
d4_raw_vs_q5_01,frame_0019.png,5,,5,5,0,0,0.6437,36.3548,0,0,0,5,0.0000,33.8072,18928,1.3980,1.3577,1690009
d4_raw_vs_q5_01,frame_0020.png,5,,6,5,1,0,0.4760,41.7579,1,1,0,4,0.3378,43.6512,18737,1.3205,1.3555,1688124
d4_raw_vs_q5_01,frame_0021.png,5,,6,5,1,0,0.4619,45.8922,1,1,0,4,0.3279,44.1349,18671,1.3552,1.3332,1685757
d4_raw_vs_q5_01,frame_0022.png,5,,5,5,0,0,0.5125,37.0861,3,3,0,2,0.3060,34.3497,18696,1.3547,1.4111,1685867
d4_raw_vs_q5_01,frame_0023.png,5,,6,5,1,0,0.5520,35.2369,1,1,0,4,0.2669,32.5954,18589,1.3407,1.3350,1682056
d4_raw_vs_q5_01,frame_0024.png,5,,7,5,2,0,0.4432,47.4379,0,0,0,5,0.0000,44.1177,18499,1.3336,1.3268,1670571
d4_raw_vs_q5_01,frame_0025.png,5,,7,5,2,0,0.4702,40.2865,0,0,0,5,0.0000,32.3763,18554,1.3511,1.3538,1667770
d4_raw_vs_q5_01,frame_0026.png,5,,3,3,0,2,0.5846,45.2553,0,0,0,5,0.0000,35.9733,18634,1.3122,1.3433,1668182
d4_raw_vs_q5_01,frame_0027.png,5,,3,3,0,2,0.5424,43.5291,3,3,0,2,0.3025,43.6366,18594,1.3350,1.3381,1667858
d4_raw_vs_q5_01,frame_0028.png,5,,6,5,1,0,0.5044,49.5205,0,0,0,5,0.0000,43.7858,18644,1.3572,1.3859,1667871
d4_raw_vs_q5_01,frame_0029.png,5,,3,3,0,2,0.4101,45.5017,1,1,0,4,0.2726,35.0794,18823,1.3487,1.3692,1674933
d4_raw_vs_q5_01,frame_0030.png,5,,6,5,1,0,0.5180,36.0130,0,0,0,5,0.0000,33.8181,18941,1.3482,1.3747,1680600
d4_raw_vs_q5_01,frame_0031.png,5,,4,4,0,1,0.4283,53.8586,0,0,0,5,0.0000,47.5317,18902,1.3882,1.4715,1682176
d4_raw_vs_q5_01,frame_0032.png,5,,5,5,0,0,0.3556,49.0811,0,0,0,5,0.0000,47.4395,19005,1.3883,1.3573,1695100
d4_raw_vs_q5_01,frame_0033.png,5,,2,2,0,3,0.4061,50.4309,0,0,0,5,0.0000,41.6854,18420,1.3568,1.3212,1747790
d4_raw_vs_q5_01,frame_0033.png,5,,2,2,0,3,0.4061,47.1438,0,0,0,5,0.0000,46.0621,18420,1.4137,1.3493,1747790
d4_raw_vs_q5_01,frame_0034.png,0,,0,0,0,0,0.0000,45.5069,0,0,0,0,0.0000,33.4700,17879,1.3397,1.3212,1755988
d4_raw_vs_q5_01,frame_0035.png,0,,0,0,0,0,0.0000,44.1190,0,0,0,0,0.0000,41.5142,17949,1.3247,1.3145,1693057
d4_raw_vs_q5_01,frame_0036.png,0,,0,0,0,0,0.0000,45.1182,0,0,0,0,0.0000,36.6187,17406,1.5127,1.3231,1724411
d4_raw_vs_q5_01,frame_0037.png,0,,0,0,0,0,0.0000,36.5480,0,0,0,0,0.0000,33.4300,17767,1.3950,1.3234,1708098
d4_raw_vs_q5_01,frame_0038.png,5,,5,5,0,0,0.5492,34.8083,4,4,0,1,0.4139,37.9285,18263,1.3189,1.3954,1647016
d4_raw_vs_q5_01,frame_0039.png,0,,0,0,0,0,0.0000,45.7208,0,0,0,0,0.0000,32.7390,17137,1.3455,1.3330,1589831
d4_raw_vs_q5_01,frame_0040.png,0,,0,0,0,0,0.0000,35.7349,0,0,0,0,0.0000,34.2126,17417,1.3377,1.3141,1709984
d4_raw_vs_q5_01,frame_0041.png,0,,0,0,0,0,0.0000,45.9712,0,0,0,0,0.0000,36.9212,19837,1.4198,1.3770,1829178
d4_raw_vs_q5_01,frame_0042.png,0,,0,0,0,0,0.0000,41.6210,0,0,0,0,0.0000,34.8000,19186,1.3709,1.3235,1805144
d4_raw_vs_q5_01,frame_0043.png,0,,0,0,0,0,0.0000,46.4166,0,0,0,0,0.0000,46.5570,18577,1.3842,1.3931,1787097
d4_raw_vs_q5_01,frame_0044.png,0,,0,0,0,0,0.0000,40.3520,0,0,0,0,0.0000,35.1227,18711,1.3507,1.3704,1793513
d4_raw_vs_q5_01,frame_0045.png,0,,0,0,0,0,0.0000,44.5712,0,0,0,0,0.0000,42.0516,18807,1.3813,1.3193,1795229
d4_raw_vs_q5_01,frame_0046.png,0,,0,0,0,0,0.0000,37.0631,0,0,0,0,0.0000,31.1237,18793,1.3749,1.3679,1794106
d4_raw_vs_q5_01,frame_0047.png,0,,0,0,0,0,0.0000,46.9809,0,0,0,0,0.0000,42.3254,18713,1.3890,1.3536,1793118
