Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:02:34 AM  1002     41747   49.00    1.00    0.00    0.00   50.00    10  15900.00      0.00 9212544  841348   2.59  python3
12:02:34 AM  1002     43133    1.00    1.00    0.00    0.00    2.00     0      2.00      0.00 2072088  169448   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:02:35 AM  1002     41747   41.00    1.00    0.00    0.00   42.00    12  13674.00      0.00 9206424  835372   2.57  python3
12:02:35 AM  1002     43133    1.00    1.00    0.00    0.00    2.00     0      2.00      0.00 2072088  169448   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:02:36 AM  1002     41747   36.00    5.00    0.00    0.00   41.00     8  15204.00      0.00 9226824  855364   2.63  python3
12:02:36 AM  1002     43133    2.00    0.00    0.00    0.00    2.00     2      3.00      0.00 2072088  169448   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:02:37 AM  1002     41747   61.00    0.00    0.00    0.00   61.00    10  10268.00      0.00 9206424  834632   2.57  python3
12:02:37 AM  1002     43133    1.00    1.00    0.00    0.00    2.00     0      5.00      0.00 2072088  169448   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:02:38 AM  1002     41747   40.00    0.00    0.00    0.00   40.00    10  15204.00      0.00 9226824  854892   2.63  python3
12:02:38 AM  1002     43133    2.00    1.00    0.00    0.00    3.00    14      2.00      0.00 2072088  169448   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:02:39 AM  1002     41747   48.00    4.00    0.00    0.00   52.00     8  10832.00      0.00 9206424  835064   2.57  python3
12:02:39 AM  1002     43133    2.00    1.00    0.00    0.00    3.00    12     10.00      0.00 2072088  169448   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:02:40 AM  1002     41747   54.00    5.00    0.00    0.00   59.00    10  15205.00      0.00 9226824  855056   2.63  python3
12:02:40 AM  1002     43133    2.00    1.00    0.00    0.00    3.00    12      1.00      0.00 2072088  169448   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:02:41 AM  1002     41747   53.00    0.00    0.00    0.00   53.00    10  10141.00      0.00 9206424  835108   2.57  python3
12:02:41 AM  1002     43133    2.00    0.00    0.00    0.00    2.00    14      0.00      0.00 2072088  169448   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:02:42 AM  1002     41747   53.00    3.00    0.00    0.00   56.00    10  15205.00      0.00 9226824  855104   2.63  python3
12:02:42 AM  1002     43133    2.00    0.00    0.00    0.00    2.00    12      7.00      0.00 2072088  169448   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:02:43 AM  1002     41747   40.00    5.00    0.00    0.00   45.00    10  10137.00      0.00 9206424  835152   2.57  python3
12:02:43 AM  1002     43133    2.00    0.00    0.00    0.00    2.00     6      1.00      0.00 2072088  169448   0.52  python3
