Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:38 AM  1002     43897   77.00    4.00    0.00    0.00   81.00    14  16077.00      0.00 9178596  807632   2.49  python3
12:04:38 AM  1002     44595    1.00    1.00    0.00    0.00    2.00     4      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:39 AM  1002     43897   53.00    0.00    0.00    0.00   53.00    14  15591.00      0.00 9175896  804892   2.48  python3
12:04:39 AM  1002     44595    1.00    0.00    0.00    0.00    1.00     4      5.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:40 AM  1002     43897   38.00    6.00    0.00    0.00   44.00    14  16734.00      0.00 9175896  804964   2.48  python3
12:04:40 AM  1002     44595    2.00    1.00    0.00    0.00    3.00     4      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:41 AM  1002     43897   50.00    0.00    0.00    0.00   50.00    10  13706.00      0.00 9175896  804924   2.48  python3
12:04:41 AM  1002     44595    1.00    0.00    0.00    0.00    1.00    10      2.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:42 AM  1002     43897   53.00    4.00    0.00    0.00   57.00    10  16734.00      0.00 9175896  805256   2.48  python3
12:04:42 AM  1002     44595    2.00    1.00    0.00    0.00    3.00     4      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:43 AM  1002     43897   43.00    2.00    0.00    0.00   45.00    10  14726.00      0.00 9173028  802208   2.47  python3
12:04:43 AM  1002     44595    1.00    0.00    0.00    0.00    1.00     4      5.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:44 AM  1002     43897   69.00    4.00    0.00    0.00   73.00    12  17410.00      0.00 9182016  811100   2.50  python3
12:04:44 AM  1002     44595    1.00    0.00    0.00    0.00    1.00     4      1.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:45 AM  1002     43897   52.00    5.00    0.00    0.00   57.00    12  16224.00      0.00 9175896  804888   2.48  python3
12:04:45 AM  1002     44595    2.00    1.00    0.00    0.00    3.00     6      3.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:46 AM  1002     43897   56.00    0.00    0.00    0.00   56.00    12  16735.00      0.00 9175896  804960   2.48  python3
12:04:46 AM  1002     44595    2.00    0.00    0.00    0.00    2.00    10      1.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:47 AM  1002     43897   55.00    4.00    0.00    0.00   59.00    12  16734.00      0.00 9175896  805292   2.48  python3
12:04:47 AM  1002     44595    2.00    1.00    0.00    0.00    3.00     6      1.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:48 AM  1002     43897   78.00    1.00    0.00    0.00   79.00    12  13707.00      0.00 9175896  805252   2.48  python3
12:04:48 AM  1002     44595    1.00    2.00    0.00    0.00    3.00     0      2.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:49 AM  1002     43897   71.00    1.00    0.00    0.00   72.00    12  14401.00      0.00 9175896  805608   2.48  python3
12:04:49 AM  1002     44595    1.00    0.00    0.00    0.00    1.00     6      1.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:50 AM  1002     43897   54.00    2.00    0.00    0.00   56.00    12  13706.00      0.00 9175896  805568   2.48  python3
12:04:50 AM  1002     44595    1.00    1.00    0.00    0.00    2.00     8      2.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:51 AM  1002     43897   52.00    4.00    0.00    0.00   56.00    12  16734.00      0.00 9175896  805372   2.48  python3
12:04:51 AM  1002     44595    1.00    1.00    0.00    0.00    2.00    14      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:52 AM  1002     43897   45.00    3.00    0.00    0.00   48.00    10  16734.00      0.00 9175896  804912   2.48  python3
12:04:52 AM  1002     44595    2.00    0.00    0.00    0.00    2.00     4      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:53 AM  1002     43897   47.00    1.00    0.00    0.00   48.00    10  13706.00      0.00 9175896  805136   2.48  python3
12:04:53 AM  1002     44595    1.00    0.00    0.00    0.00    1.00     4      1.00      0.00 2072144  169288   0.52  python3

