Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:55 AM  1002     50770   39.00    4.00    0.00    0.00   43.00    12  10264.00      0.00 9207684  836716   2.58  python3
12:29:55 AM  1002     52545    2.00    2.00    0.00    0.00    4.00     3   1996.00      0.00 2072120  169472   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:56 AM  1002     50770   61.00    5.00    0.00    0.00   66.00    10  15204.00      0.00 9228084  856692   2.64  python3
12:29:56 AM  1002     52545    2.00    0.00    0.00    0.00    2.00     2   1996.00      0.00 2072120  169472   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:57 AM  1002     50770   46.00    2.00    0.00    0.00   48.00    10  10137.00      0.00 9207684  837000   2.58  python3
12:29:57 AM  1002     52545    1.00    2.00    0.00    0.00    3.00     0   1997.00      0.00 2072120  169472   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:58 AM  1002     50770   51.00    3.00    0.00    0.00   54.00    10  15204.00      0.00 9228084  856984   2.64  python3
12:29:58 AM  1002     52545    1.00    1.00    0.00    0.00    2.00     6   1996.00      0.00 2072120  169476   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:59 AM  1002     50770   42.00    0.00    0.00    0.00   42.00    10   8129.00      0.00 9210000  838556   2.58  python3
12:29:59 AM  1002     52545    1.00    1.00    0.00    0.00    2.00     4   1996.00      0.00 2072120  169476   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:00 AM  1002     50770   54.00    1.00    0.00    0.00   55.00    10  14790.00      0.00 9201552  830356   2.56  python3
12:30:00 AM  1002     52545    2.00    1.00    0.00    0.00    3.00     2   1997.00      0.00 2072120  169480   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:01 AM  1002     50770   54.00    1.00    0.00    0.00   55.00    10  17248.00      0.00 9201564  830404   2.56  python3
12:30:01 AM  1002     52545    1.00    0.00    0.00    0.00    1.00     2   1996.00      0.00 2072120  169480   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:02 AM  1002     50770   40.00    2.00    0.00    0.00   42.00    10  16225.00      0.00 9201564  830312   2.56  python3
12:30:02 AM  1002     52545    1.00    2.00    0.00    0.00    3.00     8   1996.00      0.00 2072120  169484   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:03 AM  1002     50770   43.00    8.00    0.00    0.00   51.00    10  14599.00      0.00 9201564  830604   2.56  python3
12:30:03 AM  1002     52545    2.00    1.00    0.00    0.00    3.00     0   1996.00      0.00 2072120  169484   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:04 AM  1002     50770   43.00    0.00    0.00    0.00   43.00    10  14727.00      0.00 9207684  836716   2.58  python3
12:30:04 AM  1002     52545    2.00    1.00    0.00    0.00    3.00     4   1996.00      0.00 2072120  169484   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:05 AM  1002     50770   38.00    5.00    0.00    0.00   43.00    10  15332.00      0.00 9207684  836536   2.58  python3
12:30:05 AM  1002     52545    2.00    1.00    0.00    0.00    3.00     8   1997.00      0.00 2072120  169484   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:06 AM  1002     50770   51.00    1.00    0.00    0.00   52.00    10  13069.00      0.00 9207684  836904   2.58  python3
12:30:06 AM  1002     52545    1.00    1.00    0.00    0.00    2.00     6   1996.00      0.00 2072120  169488   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:07 AM  1002     50770   69.00    7.00    0.00    0.00   76.00    12  15204.00      0.00 9207600  836616   2.58  python3
12:30:07 AM  1002     52545    2.00    0.00    0.00    0.00    2.00     2   2001.00      0.00 2072120  169488   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:08 AM  1002     50770   47.00    3.00    0.00    0.00   50.00     4  13217.00      0.00 9207684  837032   2.58  python3
12:30:08 AM  1002     52545    2.00    1.00    0.00    0.00    3.00     6   1997.00      0.00 2072120  169492   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:09 AM  1002     50770   51.00    0.00    0.00    0.00   51.00     4  15204.00      0.00 9228084  857012   2.64  python3
12:30:09 AM  1002     52545    1.00    1.00    0.00    0.00    2.00     6   1996.00      0.00 2072120  169492   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:10 AM  1002     50770   45.00    2.00    0.00    0.00   47.00     4  10264.00      0.00 9207684  836816   2.58  python3
12:30:10 AM  1002     52545    1.00    1.00    0.00    0.00    2.00    14   1997.00      0.00 2072120  169492   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:11 AM  1002     50770   38.00    5.00    0.00    0.00   43.00    10  15205.00      0.00 9228084  856792   2.64  python3
12:30:11 AM  1002     52545    2.00    0.00    0.00    0.00    2.00    14   2002.00      0.00 2072120  169760   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:12 AM  1002     50770   50.00    0.00    0.00    0.00   50.00    10  10263.00      0.00 9207684  836600   2.58  python3
12:30:12 AM  1002     52545    1.00    1.00    0.00    0.00    2.00    14   1998.00      0.00 2072120  169760   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
