Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:17:19 AM  1002     97079   78.00    1.00    0.00    0.00   79.00    12  13963.00      0.00 9191712  821932   2.53  python3
02:17:19 AM  1002     97383    3.00    0.00    0.00    0.00    3.00     2      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:17:20 AM  1002     97079   51.00    4.00    0.00    0.00   55.00    13  11852.00      0.00 9191712  821884   2.53  python3
02:17:20 AM  1002     97383    1.00    1.00    0.00    0.00    2.00     2      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:17:21 AM  1002     97079   49.00    4.00    0.00    0.00   53.00    12  19794.00      0.00 9169912  799832   2.46  python3
02:17:21 AM  1002     97383    2.00    0.00    0.00    0.00    2.00     2      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:17:22 AM  1002     97079   67.00    3.00    0.00    0.00   70.00    12  14271.00      0.00 9161968  791916   2.44  python3
02:17:22 AM  1002     97383    1.00    0.00    0.00    0.00    1.00     2      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:17:23 AM  1002     97079    0.00    0.00    0.00    0.00    0.00    12      0.00      0.00 9161968  791916   2.44  python3
02:17:23 AM  1002     97383    1.00    1.00    0.00    0.00    2.00    16      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:17:24 AM  1002     97079   48.00    3.00    0.00    0.00   51.00    12  16257.00      0.00 9159268  789168   2.43  python3
02:17:24 AM  1002     97383    2.00    1.00    0.00    0.00    3.00    16      1.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:17:25 AM  1002     97079   50.00    3.00    0.00    0.00   53.00    12  15898.00      0.00 9161968  792040   2.44  python3
02:17:25 AM  1002     97383    2.00    0.00    0.00    0.00    2.00    20      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:17:26 AM  1002     97079   53.00    3.00    0.00    0.00   56.00    12  15223.00      0.00 9172680  802660   2.47  python3
02:17:26 AM  1002     97383    1.00    1.00    0.00    0.00    2.00    23      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:17:27 AM  1002     97079   41.00    0.00    0.00    0.00   41.00    12  17430.00      0.00 9161968  792044   2.44  python3
02:17:27 AM  1002     97383    2.00    0.00    0.00    0.00    2.00    10      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:17:28 AM  1002     97079   43.00    1.00    0.00    0.00   44.00    12  16257.00      0.00 9159268  789108   2.43  python3
02:17:28 AM  1002     97383    2.00    0.00    0.00    0.00    2.00     2      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:17:29 AM  1002     97079   45.00    5.00    0.00    0.00   50.00    10  15898.00      0.00 9161968  791980   2.44  python3
02:17:29 AM  1002     97383    1.00    0.00    0.00    0.00    1.00     2      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:17:30 AM  1002     97079   38.00    2.00    0.00    0.00   40.00     8  15223.00      0.00 9194556  824720   2.54  python3
02:17:30 AM  1002     97383    2.00    0.00    0.00    0.00    2.00     2      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:17:31 AM  1002     97079   40.00    1.00    0.00    0.00   41.00     8   7759.00      0.00 9161968  792152   2.44  python3
02:17:31 AM  1002     97383    2.00    0.00    0.00    0.00    2.00     8      0.00      0.00 2072020  177460   0.55  python3

