Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:45:50 PM  1002     10730   42.00   13.00    0.00    0.00   55.00     6  15899.00      0.00 9214500  843836   2.60  python3
12:45:50 PM  1002     13145    1.00    1.00    0.00    0.00    2.00    18   1996.00      0.00 2072032  169540   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:45:51 PM  1002     10730   41.00    0.00    0.00    0.00   41.00     8  13674.00      0.00 9210528  840252   2.59  python3
12:45:51 PM  1002     13145    2.00    2.00    0.00    0.00    4.00    14   1998.00      0.00 2072032  169544   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:45:52 PM  1002     10730   48.00    6.00    0.00    0.00   54.00    12  14184.00      0.00 9193436  823336   2.54  python3
12:45:52 PM  1002     13145    2.00    2.00    0.00    0.00    4.00    14   1996.00      0.00 2072032  169544   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:45:53 PM  1002     10730   48.00    3.00    0.00    0.00   51.00    12  10568.00      0.00 9172940  802592   2.47  python3
12:45:53 PM  1002     13145    1.00    1.00    0.00    0.00    2.00    14   1998.00      0.00 2072032  169544   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:45:54 PM  1002     10730   49.00    3.00    0.00    0.00   52.00    12  18431.00      0.00 9175808  805248   2.48  python3
12:45:54 PM  1002     13145    3.00    0.00    0.00    0.00    3.00    10   2000.00      0.00 2072032  169544   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:45:55 PM  1002     10730   53.00    1.00    0.00    0.00   54.00    12  14725.00      0.00 9181760  811468   2.50  python3
12:45:55 PM  1002     13145    2.00    1.00    0.00    0.00    3.00    10   1997.00      0.00 2072032  169544   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
