Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:25 AM  1002     71914   78.00    3.00    0.00    0.00   81.00     8  10137.00      0.00 9213120  840876   2.59  python3
01:13:25 AM  1002     72908    2.00    0.00    0.00    0.00    2.00     0      0.00      0.00 2072052  169760   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:26 AM  1002     71914   62.00    4.00    0.00    0.00   66.00     8  10137.00      0.00 9213120  841628   2.59  python3
01:13:26 AM  1002     72908    2.00    1.00    0.00    0.00    3.00     4      2.00      0.00 2072052  169760   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:27 AM  1002     71914   48.00    3.00    0.00    0.00   51.00     8  10136.00      0.00 9213120  841328   2.59  python3
01:13:27 AM  1002     72908    2.00    1.00    0.00    0.00    3.00     4      2.00      0.00 2072052  169760   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:28 AM  1002     71914   61.00    0.00    0.00    0.00   61.00     8  10136.00      0.00 9213120  841288   2.59  python3
01:13:28 AM  1002     72908    1.00    2.00    0.00    0.00    3.00     0      3.00      0.00 2072052  169760   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:29 AM  1002     71914   40.00    0.00    0.00    0.00   40.00     8  10136.00      0.00 9213120  841248   2.59  python3
01:13:29 AM  1002     72908    3.00    0.00    0.00    0.00    3.00     6      1.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:30 AM  1002     71914   53.00    3.00    0.00    0.00   56.00    12  10136.00      0.00 9213120  841472   2.59  python3
01:13:30 AM  1002     72908    0.00    1.00    0.00    0.00    1.00     6      1.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:31 AM  1002     71914   53.00    3.00    0.00    0.00   56.00    12  10136.00      0.00 9213120  841168   2.59  python3
01:13:31 AM  1002     72908    1.00    1.00    0.00    0.00    2.00     6      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:32 AM  1002     71914   42.00    2.00    0.00    0.00   44.00    12  10137.00      0.00 9213120  841392   2.59  python3
01:13:32 AM  1002     72908    2.00    1.00    0.00    0.00    3.00     6      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:33 AM  1002     71914   74.00    3.00    0.00    0.00   77.00    12  10136.00      0.00 9213120  841620   2.59  python3
01:13:33 AM  1002     72908    2.00    0.00    0.00    0.00    2.00     2      1.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:34 AM  1002     71914   55.00    3.00    0.00    0.00   58.00    12  10136.00      0.00 9213120  841052   2.59  python3
01:13:34 AM  1002     72908    2.00    0.00    0.00    0.00    2.00    10      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:35 AM  1002     71914   51.00    3.00    0.00    0.00   54.00    12  10136.00      0.00 9213120  841540   2.59  python3
01:13:35 AM  1002     72908    2.00    1.00    0.00    0.00    3.00     2      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:36 AM  1002     71914   48.00    1.00    0.00    0.00   49.00    12  10136.00      0.00 9213120  841236   2.59  python3
01:13:36 AM  1002     72908    1.00    2.00    0.00    0.00    3.00     2      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:37 AM  1002     71914   39.00    8.00    0.00    0.00   47.00     8  10136.00      0.00 9213120  841460   2.59  python3
01:13:37 AM  1002     72908    0.00    1.00    0.00    0.00    1.00     2      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:38 AM  1002     71914   51.00    0.00    0.00    0.00   51.00     8  10136.00      0.00 9213120  841420   2.59  python3
01:13:38 AM  1002     72908    2.00    0.00    0.00    0.00    2.00    14      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:39 AM  1002     71914   43.00    7.00    0.00    0.00   50.00    10  10136.00      0.00 9213120  841380   2.59  python3
01:13:39 AM  1002     72908    1.00    1.00    0.00    0.00    2.00    14      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:40 AM  1002     71914   55.00    5.00    0.00    0.00   60.00    12  10137.00      0.00 9213120  841076   2.59  python3
01:13:40 AM  1002     72908    2.00    1.00    0.00    0.00    3.00    10      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:41 AM  1002     71914   61.00    6.00    0.00    0.00   67.00    12  10136.00      0.00 9213120  841568   2.59  python3
01:13:41 AM  1002     72908    1.00    1.00    0.00    0.00    2.00    14      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:42 AM  1002     71914   54.00    0.00    0.00    0.00   54.00    12  10136.00      0.00 9213120  841528   2.59  python3
01:13:42 AM  1002     72908    2.00    0.00    0.00    0.00    2.00    10      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:43 AM  1002     71914   68.00    5.00    0.00    0.00   73.00    12  10136.00      0.00 9213120  840960   2.59  python3
