Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:22 PM  1002     17388   51.00    0.00    0.00    0.00   51.00     8  13197.00      0.00 9181924  811796   2.50  python3
12:55:22 PM  1002     19073    1.00    1.00    0.00    0.00    2.00     8      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:23 PM  1002     17388   44.00    5.00    0.00    0.00   49.00     8  13196.00      0.00 9181924  811668   2.50  python3
12:55:23 PM  1002     19073    2.00    1.00    0.00    0.00    3.00    12      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:24 PM  1002     17388   50.00    3.00    0.00    0.00   53.00     8  13819.00      0.00 9181924  811432   2.50  python3
12:55:24 PM  1002     19073    2.00    1.00    0.00    0.00    3.00    23      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:25 PM  1002     17388   66.00    3.00    0.00    0.00   69.00    12  12176.00      0.00 9181924  811436   2.50  python3
12:55:25 PM  1002     19073    1.00    0.00    0.00    0.00    1.00    23      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:26 PM  1002     17388   52.00    0.00    0.00    0.00   52.00    12  14656.00      0.00 9181924  811620   2.50  python3
12:55:26 PM  1002     19073    2.00    1.00    0.00    0.00    3.00     8      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:27 PM  1002     17388   42.00    0.00    0.00    0.00   42.00    12  13197.00      0.00 9181924  811752   2.50  python3
12:55:27 PM  1002     19073    2.00    0.00    0.00    0.00    2.00     7      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:28 PM  1002     17388   49.00    0.00    0.00    0.00   49.00    12  13196.00      0.00 9181924  811624   2.50  python3
12:55:28 PM  1002     19073    3.00    0.00    0.00    0.00    3.00     4      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:29 PM  1002     17388   59.00    1.00    0.00    0.00   60.00    12  13196.00      0.00 9181924  811492   2.50  python3
12:55:29 PM  1002     19073    1.00    1.00    0.00    0.00    2.00     4      1.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:30 PM  1002     17388   50.00    4.00    0.00    0.00   54.00    12  13196.00      0.00 9181924  811360   2.50  python3
12:55:30 PM  1002     19073    2.00    1.00    0.00    0.00    3.00    10      0.00      0.00 2072052  170068   0.52  python3

