Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:13 AM  1002     82461   39.00    2.00    0.00    0.00   41.00     8  18354.00      0.00 9189660  818916   2.52  python3
01:53:13 AM  1002     82777    2.00    0.00    0.00    0.00    2.00     4   1996.00      0.00 2072044  177240   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:14 AM  1002     82461   55.00    3.00    0.00    0.00   58.00     8  15623.00      0.00 9175440  804412   2.48  python3
01:53:14 AM  1002     82777    2.00    1.00    0.00    0.00    3.00    16   1995.00      0.00 2072044  177244   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:15 AM  1002     82461   81.00    3.00    0.00    0.00   84.00     8  13610.00      0.00 9175440  804856   2.48  python3
01:53:15 AM  1002     82777    2.00    2.00    0.00    0.00    4.00    10   1995.00      0.00 2072044  177244   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:16 AM  1002     82461   62.00    2.00    0.00    0.00   64.00     8  15198.00      0.00 9177328  806752   2.48  python3
01:53:16 AM  1002     82777    3.00    1.00    0.00    0.00    4.00    14   1995.00      0.00 2072044  177244   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:17 AM  1002     82461   53.00    3.00    0.00    0.00   56.00     8  14728.00      0.00 9179368  808440   2.49  python3
01:53:17 AM  1002     82777    2.00    1.00    0.00    0.00    3.00     4   1995.00      0.00 2072044  177244   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:18 AM  1002     82461   56.00    2.00    0.00    0.00   58.00     8   8513.00      0.00 9193276  822020   2.53  python3
01:53:18 AM  1002     82777    3.00    0.00    0.00    0.00    3.00     6   1996.00      0.00 2072044  177244   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:19 AM  1002     82461   55.00    2.00    0.00    0.00   57.00     8  10779.00      0.00 9171208  800528   2.46  python3
01:53:19 AM  1002     82777    2.00    1.00    0.00    0.00    3.00     8   1995.00      0.00 2072044  177248   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:20 AM  1002     82461   48.00    4.00    0.00    0.00   52.00     8  16259.00      0.00 9177328  806732   2.48  python3
01:53:20 AM  1002     82777    2.00    3.00    0.00    0.00    5.00    12   1995.00      0.00 2072044  177248   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:21 AM  1002     82461   48.00    4.00    0.00    0.00   52.00    12  14726.00      0.00 9171208  800524   2.46  python3
01:53:21 AM  1002     82777    3.00    1.00    0.00    0.00    4.00    12   1995.00      0.00 2072044  177248   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:22 AM  1002     82461   51.00    3.00    0.00    0.00   54.00    14  16260.00      0.00 9177328  806488   2.48  python3
01:53:22 AM  1002     82777    2.00    0.00    0.00    0.00    2.00     0   1995.00      0.00 2072044  177248   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:23 AM  1002     82461   45.00    5.00    0.00    0.00   50.00    14  14727.00      0.00 9171208  800540   2.46  python3
01:53:23 AM  1002     82777    3.00    1.00    0.00    0.00    4.00     0   1995.00      0.00 2072044  177248   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:24 AM  1002     82461   75.00    4.00    0.00    0.00   79.00    14  16256.00      0.00 9177328  806764   2.48  python3
01:53:24 AM  1002     82777    1.00    1.00    0.00    0.00    2.00     0   1996.00      0.00 2072044  177248   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:25 AM  1002     82461   38.00    3.00    0.00    0.00   41.00    14  14728.00      0.00 9179368  808716   2.49  python3
01:53:25 AM  1002     82777    2.00    2.00    0.00    0.00    4.00     0   1995.00      0.00 2072044  177252   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:26 AM  1002     82461   53.00    0.00    0.00    0.00   53.00    14   9148.00      0.00 9177328  806420   2.48  python3
01:53:26 AM  1002     82777    2.00    1.00    0.00    0.00    3.00    20   1995.00      0.00 2072044  177252   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:27 AM  1002     82461   59.00    0.00    0.00    0.00   59.00    14  14726.00      0.00 9171208  800508   2.46  python3
01:53:27 AM  1002     82777    3.00    2.00    0.00    0.00    5.00     2   1995.00      0.00 2072044  177252   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:28 AM  1002     82461   46.00    4.00    0.00    0.00   50.00    14  16256.00      0.00 9177328  806468   2.48  python3
01:53:28 AM  1002     82777    2.00    1.00    0.00    0.00    3.00     3   1995.00      0.00 2072044  177252   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:29 AM  1002     82461   53.00    8.00    0.00    0.00   61.00    12  14726.00      0.00 9171208  800264   2.46  python3
01:53:29 AM  1002     82777    3.00    2.00    0.00    0.00    5.00    16   1995.00      0.00 2072044  177252   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:30 AM  1002     82461   81.00    6.00    0.00    0.00   87.00    12  16257.00      0.00 9177328  806492   2.48  python3
01:53:30 AM  1002     82777    2.00    1.00    0.00    0.00    3.00    17   1995.00      0.00 2072044  177252   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:31 AM  1002     82461   49.00    1.00    0.00    0.00   50.00    14  15332.00      0.00 9171208  800632   2.47  python3
01:53:31 AM  1002     82777    2.00    2.00    0.00    0.00    4.00    14   1995.00      0.00 2072044  177252   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:32 AM  1002     82461   89.00    4.00    0.00    0.00   93.00    14  17244.00      0.00 9177328  806540   2.48  python3
01:53:32 AM  1002     82777    1.00    2.00    0.00    0.00    3.00    16   1996.00      0.00 2072044  177256   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:33 AM  1002     82461   58.00    3.00    0.00    0.00   61.00    14  14694.00      0.00 9171208  800160   2.46  python3
01:53:33 AM  1002     82777    3.00    1.00    0.00    0.00    4.00     3   1995.00      0.00 2072044  177256   0.55  python3

