Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:22 PM  1002     13138   24.00    0.00    0.00    0.00   24.00    10  15204.00      0.00 9219844  848380   2.61  python3
12:29:22 PM  1002     13449    3.00    1.00    0.00    0.00    4.00     6   1995.00      0.00 2069392  174860   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:23 PM  1002     13138   64.00    1.00    0.00    0.00   65.00    10   2518.00      0.00 9200816  829644   2.55  python3
12:29:23 PM  1002     13449    3.00    0.00    0.00    0.00    3.00     6   1995.00      0.00 2069392  174860   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:24 PM  1002     13138   38.00    0.00    0.00    0.00   38.00    10   1020.00      0.00 9163904  793060   2.44  python3
12:29:24 PM  1002     13449    3.00    1.00    0.00    0.00    4.00    10   1995.00      0.00 2069392  174860   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:25 PM  1002     13138   34.00    3.00    0.00    0.00   37.00    10  15005.00      0.00 9172724  801448   2.47  python3
12:29:25 PM  1002     13449    1.00    1.00    0.00    0.00    2.00    16   1995.00      0.00 2069392  174860   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:26 PM  1002     13138   50.00    2.00    0.00    0.00   52.00    10  16224.00      0.00 9178844  807744   2.49  python3
12:29:26 PM  1002     13449    2.00    1.00    0.00    0.00    3.00     8   1996.00      0.00 2069392  174864   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:27 PM  1002     13138   36.00    2.00    0.00    0.00   38.00    10  14694.00      0.00 9172724  801348   2.47  python3
12:29:27 PM  1002     13449    2.00    1.00    0.00    0.00    3.00    10   1319.00      0.00 2066524  171960   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:28 PM  1002     13138   12.00    3.00    0.00    0.00   15.00    10  13674.00      0.00 9187004  815516   2.51  python3
12:29:28 PM  1002     13449    3.00    0.00    0.00    0.00    3.00     2   2671.00      0.00 2069392  174864   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:29 PM  1002     13138   76.00    4.00    0.00    0.00   80.00    10  17244.00      0.00 9172724  801512   2.47  python3
12:29:29 PM  1002     13449    2.00    2.00    0.00    0.00    4.00     6   1995.00      0.00 2069392  174864   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:30 PM  1002     13138   48.00    0.00    0.00    0.00   48.00    12  16224.00      0.00 9197204  825712   2.54  python3
12:29:30 PM  1002     13449    2.00    2.00    0.00    0.00    4.00    18   1995.00      0.00 2069392  174864   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:31 PM  1002     13138   58.00    0.00    0.00    0.00   58.00    12   1020.00      0.00 9201280  829936   2.56  python3
12:29:31 PM  1002     13449    2.00    0.00    0.00    0.00    2.00     8   1995.00      0.00 2069392  174864   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:32 PM  1002     13138   63.00    0.00    0.00    0.00   63.00    12      0.00      0.00 9201280  829936   2.56  python3
12:29:32 PM  1002     13449    3.00    1.00    0.00    0.00    4.00    20   1995.00      0.00 2069392  174864   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:33 PM  1002     13138   54.00    0.00    0.00    0.00   54.00    12      0.00      0.00 9201280  829936   2.56  python3
12:29:33 PM  1002     13449    2.00    1.00    0.00    0.00    3.00     2   1995.00      0.00 2069392  174864   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:34 PM  1002     13138   44.00    0.00    0.00    0.00   44.00    10   1007.00      0.00 9205308  833632   2.57  python3
12:29:34 PM  1002     13449    4.00    1.00    0.00    0.00    5.00    20   1995.00      0.00 2069392  174864   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:35 PM  1002     13138   45.00    0.00    0.00    0.00   45.00    10      0.00      0.00 9173844  802556   2.47  python3
12:29:35 PM  1002     13449    1.00    1.00    0.00    0.00    2.00    14   1995.00      0.00 2069392  174864   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:36 PM  1002     13138   49.00    3.00    0.00    0.00   52.00    10  11780.00      0.00 9172724  801488   2.47  python3
12:29:36 PM  1002     13449    2.00    2.00    0.00    0.00    4.00     8   1996.00      0.00 2069392  174868   0.54  python3

