Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:29 PM  1002      6927    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9197988  824028   2.54  python3
12:40:29 PM  1002      7278    2.00    1.00    0.00    0.00    3.00    14   1996.00      0.00 2069388  174504   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:30 PM  1002      6927   43.00    1.00    0.00    0.00   44.00    10  15168.00      0.00 9195288  821252   2.53  python3
12:40:30 PM  1002      7278    4.00    0.00    0.00    0.00    4.00    20   1990.00      0.00 2069388  174528   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:31 PM  1002      6927    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9195288  821252   2.53  python3
12:40:31 PM  1002      7278    2.00    2.00    0.00    0.00    4.00    12   1990.00      0.00 2069388  174528   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:32 PM  1002      6927   62.00    1.00    0.00    0.00   63.00    10  14764.00      0.00 9189160  814888   2.51  python3
12:40:32 PM  1002      7278    3.00    2.00    0.00    0.00    5.00    10   1990.00      0.00 2069388  174528   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:33 PM  1002      6927   52.00    0.00    0.00    0.00   52.00    10  13674.00      0.00 9203440  829096   2.55  python3
12:40:33 PM  1002      7278    2.00    0.00    0.00    0.00    2.00    16   1995.00      0.00 2069388  174508   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:34 PM  1002      6927   55.00    0.00    0.00    0.00   55.00    12   4048.00      1.00 9203440  829144   2.55  python3
12:40:34 PM  1002      7278    3.00    1.00    0.00    0.00    4.00    21   1995.00      0.00 2069388  174508   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:35 PM  1002      6927    0.00    0.00    0.00    0.00    0.00    12      0.00      0.00 9203440  829144   2.55  python3
12:40:35 PM  1002      7278    2.00    1.00    0.00    0.00    3.00    14   1990.00      0.00 2069388  174528   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:36 PM  1002      6927   51.00    0.00    0.00    0.00   51.00     0   4048.00      0.00 9203440  829652   2.55  python3
12:40:36 PM  1002      7278    2.00    2.00    0.00    0.00    4.00    10   1990.00      0.00 2069388  174528   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:37 PM  1002      6927   38.00    1.00    0.00    0.00   39.00     0  15318.00      0.00 9180908  807040   2.48  python3
12:40:37 PM  1002      7278    2.00    1.00    0.00    0.00    3.00    10   1991.00      0.00 2069388  174532   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:38 PM  1002      6927   38.00    4.00    0.00    0.00   42.00     8  15389.00      0.00 9180908  806976   2.48  python3
12:40:38 PM  1002      7278    2.00    0.00    0.00    0.00    2.00     4   1990.00      0.00 2069388  174532   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:39 PM  1002      6927   38.00    3.00    0.00    0.00   41.00     8  15317.00      0.00 9180908  806940   2.48  python3
12:40:39 PM  1002      7278    1.00    1.00    0.00    0.00    2.00    10   1990.00      0.00 2069388  174532   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:40 PM  1002      6927    0.00    0.00    0.00    0.00    0.00     8      0.00      0.00 9180908  806940   2.48  python3
12:40:40 PM  1002      7278    2.00    1.00    0.00    0.00    3.00    10   1990.00      0.00 2069388  174532   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:41 PM  1002      6927    1.00    0.00    0.00    0.00    1.00     8      0.00      0.00 9180908  806940   2.48  python3
12:40:41 PM  1002      7278    2.00    1.00    0.00    0.00    3.00     8   1990.00      0.00 2069388  174532   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:42 PM  1002      6927   38.00    1.00    0.00    0.00   39.00     8  15318.00      0.00 9181932  807432   2.49  python3
12:40:42 PM  1002      7278    2.00    1.00    0.00    0.00    3.00     0   1990.00      0.00 2069388  174532   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:43 PM  1002      6927   54.00    6.00    0.00    0.00   60.00     8  14694.00      0.00 9181932  806976   2.48  python3
12:40:43 PM  1002      7278    3.00    2.00    0.00    0.00    5.00     0   1990.00      0.00 2069388  174532   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:44 PM  1002      6927   53.00    1.00    0.00    0.00   54.00     8  15389.00      0.00 9181932  807184   2.49  python3
12:40:44 PM  1002      7278    4.00    1.00    0.00    0.00    5.00    14   1991.00      0.00 2069388  174536   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:45 PM  1002      6927   52.00    0.00    0.00    0.00   52.00     8  15317.00      0.00 9181932  806880   2.48  python3
12:40:45 PM  1002      7278    2.00    1.00    0.00    0.00    3.00    14   1990.00      0.00 2069388  174536   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:46 PM  1002      6927   48.00    1.00    0.00    0.00   49.00     8  14018.00      0.00 9181932  807040   2.48  python3
12:40:46 PM  1002      7278    2.00    2.00    0.00    0.00    4.00    23   1990.00      0.00 2069388  174536   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:47 PM  1002      6927   43.00    0.00    0.00    0.00   43.00     8  15317.00      0.00 9181932  806736   2.48  python3
12:40:47 PM  1002      7278    4.00    0.00    0.00    0.00    4.00     8   1990.00      0.00 2069388  174536   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:48 PM  1002      6927   48.00    3.00    0.00    0.00   51.00    10  15317.00      0.00 9181932  806964   2.48  python3
12:40:48 PM  1002      7278    3.00    1.00    0.00    0.00    4.00    10   1991.00      0.00 2069388  174536   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:49 PM  1002      6927   39.00    7.00    0.00    0.00   46.00     8  14694.00      0.00 9181932  807036   2.48  python3
