Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:15:56 AM  1002     74590   39.00    2.00    0.00    0.00   41.00    12  16098.00      0.00 9192948  822712   2.53  python3
01:15:56 AM  1002     74904    3.00    1.00    0.00    0.00    4.00     8   1990.00      0.00 2071968  177364   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:15:57 AM  1002     74590   70.00    7.00    0.00    0.00   77.00    12  16920.00      0.00 9192948  822512   2.53  python3
01:15:57 AM  1002     74904    3.00    2.00    0.00    0.00    5.00     0   1990.00      0.00 2071968  177364   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:15:58 AM  1002     74590    0.00    0.00    0.00    0.00    0.00    12      0.00      0.00 9192948  822512   2.53  python3
01:15:58 AM  1002     74904    2.00    2.00    0.00    0.00    4.00     0   1990.00      0.00 2071968  177364   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:15:59 AM  1002     74590   56.00    1.00    0.00    0.00   57.00    12  15167.00      0.00 9199068  828736   2.55  python3
01:15:59 AM  1002     74904    3.00    1.00    0.00    0.00    4.00     0   1990.00      0.00 2071968  177364   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:00 AM  1002     74590   52.00    5.00    0.00    0.00   57.00    12  15204.00      0.00 9199068  828556   2.55  python3
01:16:00 AM  1002     74904    3.00    1.00    0.00    0.00    4.00     8   1990.00      0.00 2071968  177364   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:01 AM  1002     74590    0.00    0.00    0.00    0.00    0.00    12      0.00      0.00 9199068  828556   2.55  python3
01:16:01 AM  1002     74904    3.00    1.00    0.00    0.00    4.00    12   1991.00      0.00 2071968  177364   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:02 AM  1002     74590    0.00    0.00    0.00    0.00    0.00    12      0.00      0.00 9199068  828556   2.55  python3
01:16:02 AM  1002     74904    2.00    2.00    0.00    0.00    4.00     6   1990.00      0.00 2071968  177368   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:03 AM  1002     74590   55.00    4.00    0.00    0.00   59.00    12  15391.00      0.00 9192948  822572   2.53  python3
01:16:03 AM  1002     74904    3.00    1.00    0.00    0.00    4.00     5   1990.00      0.00 2071968  177368   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:04 AM  1002     74590   80.00    2.00    0.00    0.00   82.00    12  14402.00      0.00 9192948  822584   2.53  python3
01:16:04 AM  1002     74904    4.00    1.00    0.00    0.00    5.00    10   1990.00      0.00 2071968  177368   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:05 AM  1002     74590   55.00    0.00    0.00    0.00   55.00    10  16920.00      0.00 9192948  822652   2.53  python3
01:16:05 AM  1002     74904    1.00    2.00    0.00    0.00    3.00     0   1990.00      0.00 2071968  177368   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:06 AM  1002     74590   52.00    3.00    0.00    0.00   55.00     8  13706.00      0.00 9192948  822804   2.53  python3
01:16:06 AM  1002     74904    2.00    2.00    0.00    0.00    4.00    10   1991.00      0.00 2071968  177368   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:07 AM  1002     74590    1.00    0.00    0.00    0.00    1.00     8      0.00      0.00 9192948  822804   2.53  python3
01:16:07 AM  1002     74904    2.00    3.00    0.00    0.00    5.00    14   1990.00      0.00 2071968  177372   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
