Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:57 AM  1002    103203   49.00    7.00    0.00    0.00   56.00    10  16224.00      0.00 9172172  802312   2.47  python3
02:26:57 AM  1002    103544    1.00    1.00    0.00    0.00    2.00     2   1995.00      0.00 2069468  174684   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:58 AM  1002    103203   58.00    0.00    0.00    0.00   58.00    10  16224.00      0.00 9196652  826512   2.54  python3
02:26:58 AM  1002    103544    2.00    1.00    0.00    0.00    3.00     2   1995.00      0.00 2069468  174684   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:59 AM  1002    103203   49.00    0.00    0.00    0.00   49.00    10   5054.00      0.00 9174872  804964   2.48  python3
02:26:59 AM  1002    103544    2.00    0.00    0.00    0.00    2.00     6   1995.00      0.00 2069468  174684   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:27:00 AM  1002    103203   61.00    3.00    0.00    0.00   64.00    10  11851.00      0.00 9172172  802252   2.47  python3
02:27:00 AM  1002    103544    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 2069468  174684   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:27:01 AM  1002    103203    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9172172  802252   2.47  python3
02:27:01 AM  1002    103544    1.00    0.00    0.00    0.00    1.00    14   1995.00      0.00 2069468  174684   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:27:02 AM  1002    103203    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9172172  802252   2.47  python3
02:27:02 AM  1002    103544    2.00    2.00    0.00    0.00    4.00     8   1995.00      0.00 2069468  174684   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:27:03 AM  1002    103203    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9172172  802252   2.47  python3
02:27:03 AM  1002    103544    2.00    0.00    0.00    0.00    2.00     8   1319.00      0.00 2066600  171780   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:27:04 AM  1002    103203    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9172172  802252   2.47  python3
02:27:04 AM  1002    103544    2.00    1.00    0.00    0.00    3.00    18   2671.00      0.00 2069468  174684   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:27:05 AM  1002    103203   57.00    3.00    0.00    0.00   60.00    14  16225.00      0.00 9172172  802152   2.47  python3
02:27:05 AM  1002    103544    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 2069468  174684   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:27:06 AM  1002    103203   52.00    4.00    0.00    0.00   56.00    17  16224.00      0.00 9172172  802320   2.47  python3
02:27:06 AM  1002    103544    2.00    0.00    0.00    0.00    2.00     8   1995.00      0.00 2069468  174684   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:27:07 AM  1002    103203   52.00    1.00    0.00    0.00   53.00    14  16224.00      0.00 9172172  802492   2.47  python3
02:27:07 AM  1002    103544    1.00    1.00    0.00    0.00    2.00    19   1995.00      0.00 2069468  174684   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:27:08 AM  1002    103203    0.00    0.00    0.00    0.00    0.00    14      0.00      0.00 9172172  802492   2.47  python3
02:27:08 AM  1002    103544    2.00    1.00    0.00    0.00    3.00    17   1319.00      0.00 2066600  171780   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:27:09 AM  1002    103203   52.00    0.00    0.00    0.00   52.00    14  16224.00      0.00 9172172  802388   2.47  python3
02:27:09 AM  1002    103544    1.00    1.00    0.00    0.00    2.00    14   1995.00      0.00 2066600  171780   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:27:10 AM  1002    103203   72.00    5.00    0.00    0.00   77.00    14  16224.00      0.00 9172172  802292   2.47  python3
02:27:10 AM  1002    103544    1.00    2.00    0.00    0.00    3.00    14   1995.00      0.00 2066600  171780   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:27:11 AM  1002    103203   50.00    3.00    0.00    0.00   53.00    14  16224.00      0.00 9172172  802196   2.47  python3
02:27:11 AM  1002    103544    1.00    1.00    0.00    0.00    2.00     8   1995.00      0.00 2066600  171780   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:27:12 AM  1002    103203   45.00    3.00    0.00    0.00   48.00    14  16224.00      0.00 9172172  801840   2.47  python3
02:27:12 AM  1002    103544    2.00    0.00    0.00    0.00    2.00    10   1995.00      0.00 2066600  171780   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:27:13 AM  1002    103203    0.00    0.00    0.00    0.00    0.00    14      0.00      0.00 9172172  801840   2.47  python3
02:27:13 AM  1002    103544    1.00    1.00    0.00    0.00    2.00    12   2672.00      0.00 2069468  174688   0.54  python3

