Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:38 AM  1002    108250   48.00    3.00    0.00    0.00   51.00     8  16665.00      0.00 9201256  829764   2.55  python3
02:31:38 AM  1002    109461    2.00    0.00    0.00    0.00    2.00     8      1.00      0.00 2072096  169816   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:39 AM  1002    108250   62.00    0.00    0.00    0.00   62.00     8  15586.00      0.00 9195132  823744   2.54  python3
02:31:39 AM  1002    109461    3.00    1.00    0.00    0.00    4.00     2      1.00      0.00 2072096  169816   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:40 AM  1002    108250   70.00    3.00    0.00    0.00   73.00    10  10415.00      0.00 9204364  832572   2.56  python3
02:31:40 AM  1002    109461    3.00    1.00    0.00    0.00    4.00    14      4.00      0.00 2072096  169816   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:41 AM  1002    108250   45.00    0.00    0.00    0.00   45.00     8  16862.00      0.00 9183788  812676   2.50  python3
02:31:41 AM  1002    109461    3.00    1.00    0.00    0.00    4.00    17      2.00      0.00 2072096  169816   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:42 AM  1002    108250   56.00    1.00    0.00    0.00   57.00     8  14694.00      0.00 9171548  800448   2.46  python3
02:31:42 AM  1002    109461    3.00    1.00    0.00    0.00    4.00    23      2.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:43 AM  1002    108250   43.00    1.00    0.00    0.00   44.00     8  12669.00      0.00 9174420  803212   2.47  python3
02:31:43 AM  1002    109461    3.00    0.00    0.00    0.00    3.00    10      3.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:44 AM  1002    108250   55.00    3.00    0.00    0.00   58.00     8  14775.00      0.00 9174408  803012   2.47  python3
02:31:44 AM  1002    109461    2.00    2.00    0.00    1.00    4.00    10      1.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:45 AM  1002    108250   40.00    3.00    0.00    0.00   43.00     8  14730.00      0.00 9180528  809212   2.49  python3
02:31:45 AM  1002    109461    1.00    1.00    0.00    0.00    2.00    10      2.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:46 AM  1002    108250   74.00    1.00    0.00    0.00   75.00     8  13196.00      0.00 9174248  803104   2.47  python3
02:31:46 AM  1002    109461    2.00    1.00    0.00    0.00    3.00     4      3.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:47 AM  1002    108250   47.00    3.00    0.00    0.00   50.00    10  14727.00      0.00 9186488  815204   2.51  python3
02:31:47 AM  1002    109461    2.00    2.00    0.00    0.00    4.00     0      6.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
