run_id,timestamp_s,mode,uav_id,frame_num,size_bytes,detection_count,latency_ms,inference_ms,compression_ms,decode_ms,pipeline_latency_ms,wireless_transit_ms,overhead_ms,navsat_age_ms
edge_final_smoke_02,1785954745.863536,edge,1,1,547,6,1359.48,852.6,-1.0,-1.0,1359.48,506.88,506.88,10869.0
edge_final_smoke_02,1785954746.022653,edge,1,2,547,6,518.61,51.5,-1.0,-1.0,518.61,467.11,467.11,11028.1
edge_final_smoke_02,1785954747.043520,edge,1,3,547,6,539.53,51.4,-1.0,-1.0,539.53,488.13,488.13,531.5
edge_final_smoke_02,1785954747.960797,edge,1,4,402,4,456.83,42.3,-1.0,-1.0,456.83,414.53,414.53,1448.8
edge_final_smoke_02,1785954749.043342,edge,1,5,547,6,539.35,45.8,-1.0,-1.0,539.35,493.55,493.55,2531.3
edge_final_smoke_02,1785954749.986711,edge,1,6,546,6,482.34,74.9,-1.0,-1.0,482.34,407.44,407.44,3474.7
edge_final_smoke_02,1785954751.025249,edge,1,7,547,6,521.22,51.5,-1.0,-1.0,521.22,469.72,469.72,4513.2
edge_final_smoke_02,1785954752.048823,edge,1,8,546,6,544.74,52.6,-1.0,-1.0,544.74,492.14,492.14,5536.8
edge_final_smoke_02,1785954753.080206,edge,1,9,402,4,576.18,79.1,-1.0,-1.0,576.18,497.08,497.08,6568.2
edge_final_smoke_02,1785954753.987613,edge,1,10,475,5,483.63,47.9,-1.0,-1.0,483.63,435.73,435.73,7475.6
edge_final_smoke_02,1785954755.014002,edge,1,11,475,5,509.98,37.4,-1.0,-1.0,509.98,472.58,472.58,8502.0
edge_final_smoke_02,1785954755.926638,edge,1,12,403,4,422.63,38.9,-1.0,-1.0,422.63,383.73,383.73,9414.6
edge_final_smoke_02,1785954757.024760,edge,1,13,403,4,520.72,60.8,-1.0,-1.0,520.72,459.92,459.92,10512.8
edge_final_smoke_02,1785954757.964755,edge,1,14,402,4,460.63,37.0,-1.0,-1.0,460.63,423.63,423.63,11452.8
edge_final_smoke_02,1785954759.054759,edge,1,15,546,6,550.74,49.9,-1.0,-1.0,550.74,500.84,500.84,12542.7
edge_final_smoke_02,1785954760.037806,edge,1,16,472,5,533.80,58.5,-1.0,-1.0,533.80,475.30,475.30,21.9
edge_final_smoke_02,1785954761.046602,edge,1,17,547,6,542.61,53.6,-1.0,-1.0,542.61,489.01,489.01,1030.7
edge_final_smoke_02,1785954762.024419,edge,1,18,403,4,520.44,53.4,-1.0,-1.0,520.44,467.04,467.04,2008.5
edge_final_smoke_02,1785954762.879226,edge,1,19,402,4,375.24,43.4,-1.0,-1.0,375.24,331.84,331.84,2863.3
