run_id,timestamp_s,mode,uav_id,frame_num,size_bytes,detection_count,latency_ms,inference_ms,compression_ms,decode_ms,pipeline_latency_ms,wireless_transit_ms,overhead_ms,navsat_age_ms
f_edge_01,1785953544.864999,edge,1,1,474,5,470.11,36.2,-1.0,-1.0,470.11,433.91,433.91,5364.9
f_edge_01,1785953545.917244,edge,1,2,403,4,522.43,49.6,-1.0,-1.0,522.43,472.83,472.83,6417.2
f_edge_01,1785953546.811038,edge,1,3,402,4,416.23,38.2,-1.0,-1.0,416.23,378.03,378.03,7311.0
f_edge_01,1785953547.923935,edge,1,4,401,4,529.12,57.7,-1.0,-1.0,529.12,471.42,471.42,770.9
f_edge_01,1785953548.913596,edge,1,5,401,4,518.70,37.8,-1.0,-1.0,518.70,480.90,480.90,1760.6
f_edge_01,1785953549.629268,edge,1,6,402,4,234.46,59.8,-1.0,-1.0,234.46,174.66,174.66,394.5
f_edge_01,1785953550.918244,edge,1,7,403,4,523.42,48.5,-1.0,-1.0,523.42,474.92,474.92,1683.5
f_edge_01,1785953564.776083,edge,1,8,401,4,381.20,73.4,-1.0,-1.0,381.20,307.80,307.80,6917.6
f_edge_01,1785953566.576848,edge,1,9,475,5,181.97,53.8,-1.0,-1.0,181.97,128.17,128.17,256.5
f_edge_01,1785953567.527432,edge,1,10,401,4,132.61,56.1,-1.0,-1.0,132.61,76.51,76.51,62.0
f_edge_01,1785953578.583419,edge,1,11,475,5,188.55,46.7,-1.0,-1.0,188.55,141.85,141.85,306.6
f_edge_01,1785953579.533534,edge,1,12,403,4,138.69,49.0,-1.0,-1.0,138.69,89.69,89.69,206.2
f_edge_01,1785953580.561129,edge,1,13,402,4,166.26,40.7,-1.0,-1.0,166.26,125.56,125.56,119.0
f_edge_01,1785953581.532928,edge,1,14,475,5,138.11,52.9,-1.0,-1.0,138.11,85.21,85.21,700.1
f_edge_01,1785953582.525391,edge,1,15,474,5,130.56,41.5,-1.0,-1.0,130.56,89.06,89.06,204.1
f_edge_01,1785953583.494327,edge,1,16,400,4,99.51,38.0,-1.0,-1.0,99.51,61.51,61.51,272.7
f_edge_01,1785953584.629168,edge,1,17,403,4,234.40,53.2,-1.0,-1.0,234.40,181.20,181.20,87.4
f_edge_01,1785953586.486266,edge,1,18,402,4,91.41,50.7,-1.0,-1.0,91.41,40.71,40.71,238.2
