run_id,timestamp_s,mode,uav_id,frame_num,size_bytes,detection_count,latency_ms,inference_ms,compression_ms,decode_ms,pipeline_latency_ms,wireless_transit_ms,overhead_ms,navsat_age_ms
f_edge_01_final_v3,1785961175.288862,edge,1,1,335,3,10250.61,64.2,-1.0,-1.0,10250.61,10186.41,10186.41,6435.6
f_edge_01_final_v3,1785961175.290200,edge,1,2,334,3,9251.94,81.9,-1.0,-1.0,9251.94,9170.04,9170.04,6436.9
f_edge_01_final_v3,1785961175.291161,edge,1,3,336,3,8252.91,61.0,-1.0,-1.0,8252.91,8191.91,8191.91,6437.8
f_edge_01_final_v3,1785961175.292032,edge,1,4,336,3,7253.72,56.4,-1.0,-1.0,7253.72,7197.32,7197.32,6438.7
f_edge_01_final_v3,1785961175.300382,edge,1,5,336,3,6262.12,50.6,-1.0,-1.0,6262.12,6211.52,6211.52,6447.1
f_edge_01_final_v3,1785961175.301201,edge,1,6,408,4,5262.95,38.3,-1.0,-1.0,5262.95,5224.65,5224.65,6447.9
f_edge_01_final_v3,1785961175.301752,edge,1,7,336,3,4263.49,56.3,-1.0,-1.0,4263.49,4207.19,4207.19,6448.4
f_edge_01_final_v3,1785961176.094312,edge,1,8,336,3,4056.04,83.0,-1.0,-1.0,4056.04,3973.04,3973.04,7241.0
f_edge_01_final_v3,1785961176.094855,edge,1,9,335,3,3056.63,47.3,-1.0,-1.0,3056.63,3009.33,3009.33,7241.5
f_edge_01_final_v3,1785961176.095190,edge,1,10,333,3,2056.92,73.3,-1.0,-1.0,2056.92,1983.62,1983.62,7241.8
f_edge_01_final_v3,1785961176.095512,edge,1,11,335,3,1057.26,51.7,-1.0,-1.0,1057.26,1005.56,1005.56,7242.2
f_edge_01_final_v3,1785961176.616483,edge,1,12,335,3,578.21,70.2,-1.0,-1.0,578.21,508.01,508.01,7763.2
f_edge_01_final_v3,1785961177.622170,edge,1,13,336,3,583.94,57.6,-1.0,-1.0,583.94,526.34,526.34,8768.9
f_edge_01_final_v3,1785961178.603722,edge,1,14,336,3,565.41,50.8,-1.0,-1.0,565.41,514.61,514.61,9750.4
f_edge_01_final_v3,1785961179.610856,edge,1,15,336,3,572.60,84.5,-1.0,-1.0,572.60,488.10,488.10,895.7
f_edge_01_final_v3,1785961180.603340,edge,1,16,336,3,565.07,54.9,-1.0,-1.0,565.07,510.17,510.17,1888.2
f_edge_01_final_v3,1785961181.612026,edge,1,17,336,3,573.80,72.7,-1.0,-1.0,573.80,501.10,501.10,2896.9
f_edge_01_final_v3,1785961184.341114,edge,1,18,336,3,2302.78,45.3,-1.0,-1.0,2302.78,2257.48,2257.48,5626.0
f_edge_01_final_v3,1785961185.256508,edge,1,19,336,3,2218.15,67.8,-1.0,-1.0,2218.15,2150.35,2150.35,6541.4
f_edge_01_final_v3,1785961186.146867,edge,1,20,334,3,2108.63,84.6,-1.0,-1.0,2108.63,2024.03,2024.03,7431.7
f_edge_01_final_v3,1785961187.007864,edge,1,21,335,3,1969.56,84.6,-1.0,-1.0,1969.56,1884.96,1884.96,8292.7
f_edge_01_final_v3,1785961187.008378,edge,1,22,336,3,970.09,69.7,-1.0,-1.0,970.09,900.39,900.39,8293.2
f_edge_01_final_v3,1785961187.624513,edge,1,23,335,3,586.26,90.3,-1.0,-1.0,586.26,495.96,495.96,8909.4
f_edge_01_final_v3,1785961188.615463,edge,1,24,335,3,577.21,89.3,-1.0,-1.0,577.21,487.91,487.91,9900.3
f_edge_01_final_v3,1785961189.607101,edge,1,25,334,3,568.76,74.7,-1.0,-1.0,568.76,494.06,494.06,10892.0
f_edge_01_final_v3,1785961190.601506,edge,1,26,335,3,563.30,56.2,-1.0,-1.0,563.30,507.10,507.10,11886.4
f_edge_01_final_v3,1785961191.559695,edge,1,27,336,3,521.46,54.6,-1.0,-1.0,521.46,466.86,466.86,12844.6
f_edge_01_final_v3,1785961192.192330,edge,1,28,336,3,154.08,59.3,-1.0,-1.0,154.08,94.78,94.78,244.5
f_edge_01_final_v3,1785961193.604172,edge,1,29,335,3,565.94,58.4,-1.0,-1.0,565.94,507.54,507.54,1656.4
f_edge_01_final_v3,1785961194.505680,edge,1,30,335,3,467.46,58.9,-1.0,-1.0,467.46,408.56,408.56,2557.9
f_edge_01_final_v3,1785961195.499822,edge,1,31,335,3,461.60,52.8,-1.0,-1.0,461.60,408.80,408.80,3552.0
f_edge_01_final_v3,1785961196.482523,edge,1,32,336,3,444.23,78.4,-1.0,-1.0,444.23,365.83,365.83,4534.7
f_edge_01_final_v3,1785961197.331571,edge,1,33,335,3,293.18,73.9,-1.0,-1.0,293.18,219.28,219.28,5383.8
f_edge_01_final_v3,1785961198.638303,edge,1,34,335,3,600.04,87.9,-1.0,-1.0,600.04,512.14,512.14,6690.5
f_edge_01_final_v3,1785961199.248043,edge,1,35,335,3,209.83,67.2,-1.0,-1.0,209.83,142.63,142.63,7300.2
f_edge_01_final_v3,1785961200.115493,edge,1,36,482,5,77.25,60.1,-1.0,-1.0,77.25,17.15,17.15,758.6
f_edge_01_final_v3,1785961201.155051,edge,1,37,336,3,116.81,47.4,-1.0,-1.0,116.81,69.41,69.41,1798.1
