run_id,timestamp_s,mode,uav_id,frame_num,size_bytes,detection_count,latency_ms,inference_ms,compression_ms,decode_ms,pipeline_latency_ms,wireless_transit_ms,overhead_ms,navsat_age_ms
f_edge_01_primary1,1785999211.411908,edge,1,1,338,3,7112.43,1155.3,-1.0,-1.0,7112.43,5957.13,5957.13,610.6
f_edge_01_primary1,1785999211.412426,edge,1,2,336,3,6113.67,54.7,-1.0,-1.0,6113.67,6058.97,6058.97,611.1
f_edge_01_primary1,1785999211.412743,edge,1,3,335,3,5113.93,41.4,-1.0,-1.0,5113.93,5072.53,5072.53,611.5
f_edge_01_primary1,1785999211.431624,edge,1,4,336,3,4132.91,43.8,-1.0,-1.0,4132.91,4089.11,4089.11,630.3
f_edge_01_primary1,1785999211.432131,edge,1,5,336,3,3133.41,70.7,-1.0,-1.0,3133.41,3062.71,3062.71,630.8
f_edge_01_primary1,1785999211.432486,edge,1,6,336,3,2133.74,58.8,-1.0,-1.0,2133.74,2074.94,2074.94,631.2
f_edge_01_primary1,1785999212.338897,edge,1,7,336,3,2040.09,55.7,-1.0,-1.0,2040.09,1984.39,1984.39,507.5
f_edge_01_primary1,1785999212.339698,edge,1,8,335,3,1040.98,72.1,-1.0,-1.0,1040.98,968.88,968.88,508.3
f_edge_01_primary1,1785999212.852368,edge,1,9,334,3,553.59,38.4,-1.0,-1.0,553.59,515.19,515.19,1021.0
f_edge_01_primary1,1785999213.847449,edge,1,10,336,3,548.66,74.8,-1.0,-1.0,548.66,473.86,473.86,143.7
f_edge_01_primary1,1785999214.815542,edge,1,11,334,3,516.81,56.6,-1.0,-1.0,516.81,460.21,460.21,1111.8
f_edge_01_primary1,1785999215.844544,edge,1,12,335,3,545.81,51.4,-1.0,-1.0,545.81,494.41,494.41,2140.8
f_edge_01_primary1,1785999216.838339,edge,1,13,336,3,539.58,48.4,-1.0,-1.0,539.58,491.18,491.18,3134.6
f_edge_01_primary1,1785999217.870800,edge,1,14,336,3,572.05,56.3,-1.0,-1.0,572.05,515.75,515.75,4167.0
f_edge_01_primary1,1785999218.834670,edge,1,15,335,3,535.93,54.7,-1.0,-1.0,535.93,481.23,481.23,5130.9
f_edge_01_primary1,1785999219.844002,edge,1,16,336,3,545.27,39.2,-1.0,-1.0,545.27,506.07,506.07,6140.2
f_edge_01_primary1,1785999220.831625,edge,1,17,335,3,532.90,45.4,-1.0,-1.0,532.90,487.50,487.50,7127.8
f_edge_01_primary1,1785999224.871847,edge,1,18,336,3,3573.12,54.4,-1.0,-1.0,3573.12,3518.72,3518.72,2475.1
f_edge_01_primary1,1785999224.872366,edge,1,19,335,3,2573.58,81.5,-1.0,-1.0,2573.58,2492.08,2492.08,2475.6
f_edge_01_primary1,1785999224.872675,edge,1,20,336,3,1573.95,73.0,-1.0,-1.0,1573.95,1500.95,1500.95,2475.9
f_edge_01_primary1,1785999224.872958,edge,1,21,336,3,574.25,52.9,-1.0,-1.0,574.25,521.35,521.35,2476.2
f_edge_01_primary1,1785999225.829963,edge,1,22,336,3,531.19,52.0,-1.0,-1.0,531.19,479.19,479.19,3433.2
f_edge_01_primary1,1785999226.821830,edge,1,23,336,3,523.10,46.3,-1.0,-1.0,523.10,476.80,476.80,598.8
f_edge_01_primary1,1785999227.838257,edge,1,24,335,3,539.54,50.8,-1.0,-1.0,539.54,488.74,488.74,585.6
f_edge_01_primary1,1785999228.837270,edge,1,25,335,3,538.56,36.8,-1.0,-1.0,538.56,501.76,501.76,1584.6
f_edge_01_primary1,1785999229.819277,edge,1,26,336,3,520.55,50.6,-1.0,-1.0,520.55,469.95,469.95,2566.6
f_edge_01_primary1,1785999230.850163,edge,1,27,336,3,551.34,41.9,-1.0,-1.0,551.34,509.44,509.44,3597.5
f_edge_01_primary1,1785999233.893771,edge,1,28,336,3,2595.02,86.4,-1.0,-1.0,2595.02,2508.62,2508.62,6641.1
f_edge_01_primary1,1785999233.894542,edge,1,29,336,3,1595.83,56.4,-1.0,-1.0,1595.83,1539.43,1539.43,6641.9
f_edge_01_primary1,1785999233.895095,edge,1,30,336,3,596.33,86.5,-1.0,-1.0,596.33,509.83,509.83,6642.5
f_edge_01_primary1,1785999236.733090,edge,1,31,336,3,2434.34,54.5,-1.0,-1.0,2434.34,2379.84,2379.84,9480.5
f_edge_01_primary1,1785999236.733722,edge,1,32,335,3,1434.95,32.3,-1.0,-1.0,1434.95,1402.65,1402.65,9481.1
f_edge_01_primary1,1785999236.832929,edge,1,33,335,3,534.10,67.7,-1.0,-1.0,534.10,466.40,466.40,9580.3
f_edge_01_primary1,1785999237.801033,edge,1,34,336,3,502.30,52.9,-1.0,-1.0,502.30,449.40,449.40,277.1
f_edge_01_primary1,1785999238.846005,edge,1,35,336,3,547.28,61.2,-1.0,-1.0,547.28,486.08,486.08,1322.1
f_edge_01_primary1,1785999242.120380,edge,1,36,335,3,2821.65,51.0,-1.0,-1.0,2821.65,2770.65,2770.65,745.2
f_edge_01_primary1,1785999242.120900,edge,1,37,336,3,1822.13,58.6,-1.0,-1.0,1822.13,1763.53,1763.53,745.7
f_edge_01_primary1,1785999242.121237,edge,1,38,336,3,822.48,54.0,-1.0,-1.0,822.48,768.48,768.48,746.0
f_edge_01_primary1,1785999242.450999,edge,1,39,335,3,152.27,53.2,-1.0,-1.0,152.27,99.07,99.07,1075.8
f_edge_01_primary1,1785999243.369346,edge,1,40,336,3,70.56,53.0,-1.0,-1.0,70.56,17.56,17.56,1994.1
f_edge_01_primary1,1785999244.376023,edge,1,41,409,4,77.24,61.9,-1.0,-1.0,77.24,15.34,15.34,429.0
f_edge_01_primary1,1785999245.475702,edge,1,42,334,3,177.00,49.2,-1.0,-1.0,177.00,127.80,127.80,1528.7
f_edge_01_primary1,1785999246.481497,edge,1,43,409,4,182.72,53.3,-1.0,-1.0,182.72,129.42,129.42,665.3
f_edge_01_primary1,1785999247.483992,edge,1,44,335,3,185.18,53.0,-1.0,-1.0,185.18,132.18,132.18,52.9
