run_id,timestamp_s,mode,uav_id,frame_num,size_bytes,detection_count,latency_ms,inference_ms,compression_ms,decode_ms,pipeline_latency_ms,wireless_transit_ms,overhead_ms,navsat_age_ms
f_edge_03_final,1785959004.659332,edge,1,1,335,3,10484.78,47.2,-1.0,-1.0,10484.78,10437.58,10437.58,1794.9
f_edge_03_final,1785959004.660382,edge,1,2,335,3,9485.85,51.2,-1.0,-1.0,9485.85,9434.65,9434.65,1795.9
f_edge_03_final,1785959004.661103,edge,1,3,335,3,8486.57,80.3,-1.0,-1.0,8486.57,8406.27,8406.27,1796.6
f_edge_03_final,1785959004.661743,edge,1,4,335,3,7487.16,52.0,-1.0,-1.0,7487.16,7435.16,7435.16,1797.2
f_edge_03_final,1785959004.700980,edge,1,5,336,3,6526.43,47.9,-1.0,-1.0,6526.43,6478.53,6478.53,1836.5
f_edge_03_final,1785959004.702216,edge,1,6,335,3,5527.70,71.5,-1.0,-1.0,5527.70,5456.20,5456.20,1837.7
f_edge_03_final,1785959004.703036,edge,1,7,334,3,4528.48,74.3,-1.0,-1.0,4528.48,4454.18,4454.18,1838.5
f_edge_03_final,1785959004.703576,edge,1,8,335,3,3528.94,61.2,-1.0,-1.0,3528.94,3467.74,3467.74,1839.1
f_edge_03_final,1785959004.704055,edge,1,9,335,3,2529.52,42.5,-1.0,-1.0,2529.52,2487.02,2487.02,1839.5
f_edge_03_final,1785959004.704574,edge,1,10,336,3,1529.93,79.7,-1.0,-1.0,1529.93,1450.23,1450.23,1840.1
f_edge_03_final,1785959004.743259,edge,1,11,334,3,568.71,55.0,-1.0,-1.0,568.71,513.71,513.71,1878.8
f_edge_03_final,1785959005.678822,edge,1,12,335,3,504.16,90.2,-1.0,-1.0,504.16,413.96,413.96,2814.3
f_edge_03_final,1785959006.605606,edge,1,13,336,3,431.05,67.2,-1.0,-1.0,431.05,363.85,363.85,3741.1
f_edge_03_final,1785959007.437911,edge,1,14,335,3,263.41,50.0,-1.0,-1.0,263.41,213.41,213.41,4573.4
f_edge_03_final,1785959008.416485,edge,1,15,335,3,241.90,62.1,-1.0,-1.0,241.90,179.80,179.80,495.5
f_edge_03_final,1785959009.373641,edge,1,16,336,3,199.11,35.9,-1.0,-1.0,199.11,163.21,163.21,1452.6
f_edge_03_final,1785959010.586267,edge,1,17,334,3,411.69,54.1,-1.0,-1.0,411.69,357.59,357.59,27.8
f_edge_03_final,1785959011.695837,edge,1,18,334,3,521.26,57.8,-1.0,-1.0,521.26,463.46,463.46,1137.4
f_edge_03_final,1785959012.409036,edge,1,19,336,3,234.49,39.7,-1.0,-1.0,234.49,194.79,194.79,1850.6
f_edge_03_final,1785959013.302513,edge,1,20,336,3,127.81,81.5,-1.0,-1.0,127.81,46.31,46.31,197.0
f_edge_03_final,1785959014.387052,edge,1,21,335,3,212.52,59.0,-1.0,-1.0,212.52,153.52,153.52,35.9
f_edge_03_final,1785959015.443822,edge,1,22,334,3,269.27,55.0,-1.0,-1.0,269.27,214.27,214.27,399.2
f_edge_03_final,1785959016.356254,edge,1,23,335,3,181.72,47.4,-1.0,-1.0,181.72,134.32,134.32,772.7
f_edge_03_final,1785959017.387779,edge,1,24,336,3,213.25,42.8,-1.0,-1.0,213.25,170.45,170.45,207.1
f_edge_03_final,1785959018.326109,edge,1,25,336,3,151.56,51.6,-1.0,-1.0,151.56,99.96,99.96,315.0
f_edge_03_final,1785959019.300993,edge,1,26,336,3,126.37,49.1,-1.0,-1.0,126.37,77.27,77.27,115.2
f_edge_03_final,1785959020.378258,edge,1,27,336,3,203.75,60.0,-1.0,-1.0,203.75,143.75,143.75,253.7
f_edge_03_final,1785959021.332945,edge,1,28,335,3,158.34,68.9,-1.0,-1.0,158.34,89.44,89.44,503.5
f_edge_03_final,1785959022.293705,edge,1,29,336,3,119.15,53.2,-1.0,-1.0,119.15,65.95,65.95,299.4
f_edge_03_final,1785959023.399032,edge,1,30,335,3,224.48,76.1,-1.0,-1.0,224.48,148.38,148.38,182.1
f_edge_03_final,1785959024.306800,edge,1,31,336,3,132.24,61.8,-1.0,-1.0,132.24,70.44,70.44,137.6
f_edge_03_final,1785959025.291598,edge,1,32,336,3,117.02,61.7,-1.0,-1.0,117.02,55.32,55.32,74.7
f_edge_03_final,1785959026.405671,edge,1,33,336,3,231.20,49.9,-1.0,-1.0,231.20,181.30,181.30,182.5
f_edge_03_final,1785959027.336831,edge,1,34,335,3,162.28,42.4,-1.0,-1.0,162.28,119.88,119.88,180.7
f_edge_03_final,1785959028.352491,edge,1,35,334,3,177.92,41.9,-1.0,-1.0,177.92,136.02,136.02,87.5
f_edge_03_final,1785959029.413375,edge,1,36,336,3,238.79,70.5,-1.0,-1.0,238.79,168.29,168.29,117.8
f_edge_03_final,1785959030.290725,edge,1,37,336,3,116.14,50.8,-1.0,-1.0,116.14,65.34,65.34,482.9
f_edge_03_final,1785959031.273686,edge,1,38,336,3,99.14,44.9,-1.0,-1.0,99.14,54.24,54.24,20.9
f_edge_03_final,1785959032.373695,edge,1,39,336,3,199.23,59.3,-1.0,-1.0,199.23,139.93,139.93,97.6
f_edge_03_final,1785959033.310750,edge,1,40,333,3,136.25,52.6,-1.0,-1.0,136.25,83.65,83.65,81.5
f_edge_03_final,1785959034.258481,edge,1,41,335,3,83.91,38.0,-1.0,-1.0,83.91,45.91,45.91,83.9
f_edge_03_final,1785959035.340537,edge,1,42,335,3,166.01,53.8,-1.0,-1.0,166.01,112.21,112.21,72.8
f_edge_03_final,1785959036.278524,edge,1,43,336,3,103.94,41.2,-1.0,-1.0,103.94,62.74,62.74,417.7
f_edge_03_final,1785959037.285151,edge,1,44,336,3,110.64,54.5,-1.0,-1.0,110.64,56.14,56.14,819.9
f_edge_03_final,1785959038.371202,edge,1,45,336,3,196.44,44.4,-1.0,-1.0,196.44,152.04,152.04,213.6
f_edge_03_final,1785959039.322746,edge,1,46,336,3,148.17,81.8,-1.0,-1.0,148.17,66.37,66.37,108.4
f_edge_03_final,1785959040.252534,edge,1,47,336,3,78.02,60.2,-1.0,-1.0,78.02,17.82,17.82,68.2
f_edge_03_final,1785959041.357104,edge,1,48,336,3,182.49,42.5,-1.0,-1.0,182.49,139.99,139.99,41.5
f_edge_03_final,1785959042.347922,edge,1,49,334,3,173.40,55.9,-1.0,-1.0,173.40,117.50,117.50,241.1
f_edge_03_final,1785959043.356319,edge,1,50,334,3,181.75,41.0,-1.0,-1.0,181.75,140.75,140.75,216.4
f_edge_03_final,1785959044.387855,edge,1,51,336,3,213.34,34.2,-1.0,-1.0,213.34,179.14,179.14,22.5
f_edge_03_final,1785959045.285976,edge,1,52,336,3,111.40,44.6,-1.0,-1.0,111.40,66.80,66.80,207.5
f_edge_03_final,1785959046.353587,edge,1,53,335,3,179.03,51.6,-1.0,-1.0,179.03,127.43,127.43,42.4
f_edge_03_final,1785959047.365441,edge,1,54,336,3,190.90,49.1,-1.0,-1.0,190.90,141.80,141.80,481.2
f_edge_03_final,1785959048.363037,edge,1,55,335,3,188.34,51.3,-1.0,-1.0,188.34,137.04,137.04,292.9
f_edge_03_final,1785959049.343574,edge,1,56,335,3,169.08,66.1,-1.0,-1.0,169.08,102.98,102.98,106.3
f_edge_03_final,1785959050.394050,edge,1,57,336,3,219.43,58.1,-1.0,-1.0,219.43,161.33,161.33,133.9
f_edge_03_final,1785959051.272933,edge,1,58,336,3,98.27,70.1,-1.0,-1.0,98.27,28.17,28.17,103.0
f_edge_03_final,1785959052.269001,edge,1,59,336,3,94.47,51.9,-1.0,-1.0,94.47,42.57,42.57,59.0
f_edge_03_final,1785959053.382689,edge,1,60,336,3,208.03,75.0,-1.0,-1.0,208.03,133.03,133.03,256.1
f_edge_03_final,1785959054.299968,edge,1,61,409,4,125.46,43.2,-1.0,-1.0,125.46,82.26,82.26,98.8
f_edge_03_final,1785959055.277549,edge,1,62,334,3,102.95,81.7,-1.0,-1.0,102.95,21.25,21.25,67.6
f_edge_03_final,1785959056.402793,edge,1,63,335,3,228.26,86.2,-1.0,-1.0,228.26,142.06,142.06,154.7
f_edge_03_final,1785959057.236618,edge,1,64,335,3,62.09,40.5,-1.0,-1.0,62.09,21.59,21.59,744.5
f_edge_03_final,1785959058.342477,edge,1,65,334,3,167.92,53.8,-1.0,-1.0,167.92,114.12,114.12,285.0
f_edge_03_final,1785959059.351125,edge,1,66,335,3,176.37,65.6,-1.0,-1.0,176.37,110.77,110.77,64.8
f_edge_03_final,1785959060.293701,edge,1,67,335,3,119.06,66.7,-1.0,-1.0,119.06,52.36,52.36,296.7
f_edge_03_final,1785959061.380882,edge,1,68,410,4,206.36,69.5,-1.0,-1.0,206.36,136.86,136.86,326.6
f_edge_03_final,1785959062.390894,edge,1,69,334,3,216.19,53.7,-1.0,-1.0,216.19,162.49,162.49,257.5
f_edge_03_final,1785959063.317900,edge,1,70,334,3,143.34,53.4,-1.0,-1.0,143.34,89.94,89.94,646.2
f_edge_03_final,1785959064.327695,edge,1,71,336,3,153.17,60.2,-1.0,-1.0,153.17,92.97,92.97,83.7
