run_id,timestamp_s,mode,uav_id,frame_num,size_bytes,detection_count,latency_ms,inference_ms,compression_ms,decode_ms,pipeline_latency_ms,wireless_transit_ms,overhead_ms,navsat_age_ms
f_edge_02_final_v2,1785962803.548151,ground,1,1,188,1,1247.98,863.5,1.9,2.9,1249.88,381.58,384.48,1710.6
f_edge_02_final_v2,1785962809.768459,ground,1,2,115,0,468.63,56.2,1.9,1.5,470.53,410.93,412.43,3141.5
f_edge_02_final_v2,1785962810.823605,ground,1,3,115,0,518.16,53.5,3.0,1.5,521.16,463.16,464.66,4196.6
f_edge_02_final_v2,1785962811.806800,ground,1,4,186,1,506.93,62.1,1.9,1.6,508.83,443.23,444.83,5179.8
f_edge_02_final_v2,1785962813.785308,ground,1,5,185,1,484.82,70.7,2.1,1.7,486.92,412.42,414.12,4.1
f_edge_02_final_v2,1785962814.817684,ground,1,6,115,0,516.91,56.1,2.1,1.7,519.01,459.11,460.81,1036.5
f_edge_02_final_v2,1785962815.818552,ground,1,7,115,0,518.30,48.0,2.0,1.5,520.30,468.80,470.30,994.8
f_edge_02_final_v2,1785962817.799424,ground,1,8,187,1,499.57,36.4,1.9,1.4,501.47,461.77,463.17,391.0
f_edge_02_final_v2,1785962818.765498,ground,1,9,185,1,464.56,40.7,2.1,1.4,466.66,422.46,423.86,830.4
f_edge_02_final_v2,1785962819.807371,ground,1,10,114,0,507.19,46.1,1.9,1.5,509.09,459.59,461.09,512.6
f_edge_02_final_v2,1785962820.789892,ground,1,11,185,1,488.80,34.7,2.2,1.4,491.00,452.70,454.10,556.6
f_edge_02_final_v2,1785962821.804001,ground,1,12,184,1,504.02,41.6,1.9,1.4,505.92,461.02,462.42,958.7
f_edge_02_final_v2,1785962822.799044,ground,1,13,259,2,498.02,52.3,2.2,1.4,500.22,444.32,445.72,807.9
f_edge_02_final_v2,1785962823.807165,ground,1,14,186,1,507.36,46.2,1.9,1.5,509.26,459.66,461.16,702.1
f_edge_02_final_v2,1785962824.795668,ground,1,15,115,0,495.86,49.9,1.9,1.5,497.76,444.46,445.96,1690.6
f_edge_02_final_v2,1785962825.785956,ground,1,16,186,1,484.47,54.2,2.6,1.5,487.07,428.77,430.27,417.4
f_edge_02_final_v2,1785962826.764447,ground,1,17,115,0,462.85,46.3,2.1,1.4,464.95,415.15,416.55,1395.8
f_edge_02_final_v2,1785962827.761526,ground,1,18,115,0,460.45,41.2,2.3,1.5,462.75,417.75,419.25,640.6
f_edge_02_final_v2,1785962828.766687,ground,1,19,114,0,465.95,49.0,1.9,1.7,467.85,415.25,416.95,631.2
f_edge_02_final_v2,1785962829.844591,ground,1,20,115,0,544.61,57.7,1.9,1.5,546.51,485.41,486.91,457.1
f_edge_02_final_v2,1785962831.736265,ground,1,21,115,0,435.38,53.5,2.2,1.5,437.58,380.38,381.88,877.4
f_edge_02_final_v2,1785962832.781832,ground,1,22,186,1,480.02,47.8,2.6,1.8,482.62,430.42,432.22,1923.0
f_edge_02_final_v2,1785962833.822105,ground,1,23,115,0,522.17,49.2,2.0,1.5,524.17,471.47,472.97,569.6
f_edge_02_final_v2,1785962834.746835,ground,1,24,115,0,446.32,72.5,2.3,1.6,448.62,372.22,373.82,1494.3
f_edge_02_final_v2,1785962835.744887,ground,1,25,115,0,444.88,41.5,1.9,1.4,446.78,401.98,403.38,463.7
f_edge_02_final_v2,1785962836.746500,ground,1,26,186,1,446.48,55.7,2.0,1.5,448.48,389.28,390.78,451.6
f_edge_02_final_v2,1785962837.789970,ground,1,27,114,0,489.76,51.8,2.0,1.7,491.76,436.26,437.96,1495.1
f_edge_02_final_v2,1785962838.840005,ground,1,28,115,0,540.00,50.2,1.9,1.7,541.90,488.10,489.80,2545.1
f_edge_02_final_v2,1785962839.821207,ground,1,29,114,0,520.51,85.1,2.2,1.5,522.71,433.91,435.41,3526.3
f_edge_02_final_v2,1785962840.833656,ground,1,30,115,0,532.92,54.0,2.0,2.2,534.92,476.72,478.92,9.0
f_edge_02_final_v2,1785962841.820259,ground,1,31,114,0,520.21,51.3,1.9,1.5,522.11,467.41,468.91,34.4
f_edge_02_final_v2,1785962842.862090,ground,1,32,114,0,561.76,75.1,2.0,1.5,563.76,485.16,486.66,1076.2
f_edge_02_final_v2,1785962844.823711,ground,1,33,115,0,522.97,50.8,1.9,1.5,524.87,470.67,472.17,964.1
f_edge_02_final_v2,1785962845.793135,ground,1,34,186,1,492.42,54.3,2.0,1.9,494.42,436.22,438.12,1933.5
f_edge_02_final_v2,1785962846.698513,ground,1,35,115,0,397.40,57.2,1.9,1.5,399.30,338.70,340.20,1.5
f_edge_02_final_v2,1785962847.798078,ground,1,36,187,1,498.03,39.9,2.0,1.5,500.03,456.63,458.13,410.4
f_edge_02_final_v2,1785962848.808485,ground,1,37,185,1,508.53,41.1,1.9,1.5,510.43,465.93,467.43,1420.8
f_edge_02_final_v2,1785962849.823686,ground,1,38,115,0,523.76,50.8,1.9,3.2,525.66,469.76,472.96,577.3
f_edge_02_final_v2,1785962850.791474,ground,1,39,115,0,491.04,37.6,2.0,1.5,493.04,451.94,453.44,1545.1
f_edge_02_final_v2,1785962851.769680,ground,1,40,115,0,469.58,38.8,1.9,1.4,471.48,429.38,430.78,385.5
f_edge_02_final_v2,1785962852.823695,ground,1,41,186,1,523.69,56.3,1.9,1.5,525.59,465.89,467.39,560.5
f_edge_02_final_v2,1785962853.802095,ground,1,42,114,0,501.50,46.0,2.3,2.0,503.80,453.50,455.50,534.5
f_edge_02_final_v2,1785962854.762729,ground,1,43,115,0,461.71,43.0,2.0,1.5,463.71,417.21,418.71,1495.1
f_edge_02_final_v2,1785962855.783011,ground,1,44,114,0,483.04,43.3,1.9,2.0,484.94,437.74,439.74,2515.4
f_edge_02_final_v2,1785962856.815108,ground,1,45,115,0,514.62,52.7,1.9,1.5,516.52,460.42,461.92,663.5
f_edge_02_final_v2,1785962857.757933,ground,1,46,115,0,455.02,48.1,2.3,2.1,457.32,404.82,406.92,1606.4
f_edge_02_final_v2,1785962858.817427,ground,1,47,115,0,516.80,56.0,2.0,2.3,518.80,458.50,460.80,38.1
f_edge_02_final_v2,1785962859.836225,ground,1,48,186,1,536.09,52.0,2.0,2.2,538.09,481.89,484.09,1056.9
f_edge_02_final_v2,1785962860.799219,ground,1,49,113,0,498.94,53.5,1.9,1.5,500.84,443.94,445.44,483.2
f_edge_02_final_v2,1785962861.738939,ground,1,50,187,1,439.08,65.7,1.9,2.0,440.98,371.38,373.38,1422.9
f_edge_02_final_v2,1785962862.803827,ground,1,51,260,2,500.97,42.6,2.4,1.5,503.37,456.87,458.37,12.5
f_edge_02_final_v2,1785962863.801222,ground,1,52,115,0,501.43,44.8,1.9,2.0,503.33,454.63,456.63,613.2
f_edge_02_final_v2,1785962864.748643,ground,1,53,115,0,448.33,47.2,1.9,1.4,450.23,399.73,401.13,488.4
f_edge_02_final_v2,1785962865.765861,ground,1,54,115,0,465.79,35.9,2.2,1.4,467.99,428.49,429.89,426.7
f_edge_02_final_v2,1785962866.719238,ground,1,55,115,0,418.65,34.8,2.0,1.4,420.65,382.45,383.85,562.5
f_edge_02_final_v2,1785962867.827682,ground,1,56,115,0,527.96,53.8,1.9,1.9,529.86,472.26,474.16,1062.9
f_edge_02_final_v2,1785962868.771181,ground,1,57,115,0,471.16,39.1,1.9,1.5,473.06,430.56,432.06,2006.4
f_edge_02_final_v2,1785962869.791440,ground,1,58,115,0,489.53,56.2,2.7,1.7,492.23,431.63,433.33,480.8
f_edge_02_final_v2,1785962870.780430,ground,1,59,186,1,480.01,53.9,2.1,1.6,482.11,424.51,426.11,511.8
f_edge_02_final_v2,1785962871.842728,ground,1,60,260,2,542.52,86.8,2.0,1.5,544.52,454.22,455.72,56.0
f_edge_02_final_v2,1785962872.776257,ground,1,61,114,0,475.74,39.9,2.3,1.8,478.04,434.04,435.84,492.1
f_edge_02_final_v2,1785962873.807828,ground,1,62,115,0,507.93,51.3,1.9,1.7,509.83,454.93,456.63,528.9
f_edge_02_final_v2,1785962874.816809,ground,1,63,185,1,516.46,41.0,2.3,1.4,518.76,474.06,475.46,1537.9
f_edge_02_final_v2,1785962875.784012,ground,1,64,115,0,483.98,52.8,1.9,2.7,485.88,428.48,431.18,535.2
f_edge_02_final_v2,1785962876.796067,ground,1,65,115,0,495.50,41.2,2.4,1.6,497.90,452.70,454.30,996.4
f_edge_02_final_v2,1785962877.856301,ground,1,66,115,0,556.25,81.2,2.0,1.7,558.25,473.35,475.05,557.0
f_edge_02_final_v2,1785962878.819312,ground,1,67,115,0,518.97,68.7,2.4,1.8,521.37,448.47,450.27,1520.1
f_edge_02_final_v2,1785962879.796846,ground,1,68,115,0,496.31,36.4,2.1,1.5,498.41,458.41,459.91,637.2
f_edge_02_final_v2,1785962880.801034,ground,1,69,114,0,500.77,52.2,2.1,1.5,502.87,447.07,448.57,958.1
f_edge_02_final_v2,1785962882.839536,ground,1,70,186,1,539.28,57.3,2.0,2.2,541.28,479.78,481.98,656.6
f_edge_02_final_v2,1785962883.771494,ground,1,71,113,0,468.98,39.4,3.0,1.5,471.98,428.08,429.58,629.0
f_edge_02_final_v2,1785962884.755668,ground,1,72,185,1,455.71,54.8,1.9,1.5,457.61,399.41,400.91,541.8
f_edge_02_final_v2,1785962885.797613,ground,1,73,115,0,497.36,53.3,1.9,1.8,499.26,442.26,444.06,508.0
f_edge_02_final_v2,1785962886.846872,ground,1,74,115,0,544.30,84.5,3.7,2.0,548.00,457.80,459.80,456.4
f_edge_02_final_v2,1785962887.801758,ground,1,75,115,0,496.85,57.8,2.9,1.6,499.75,437.45,439.05,664.0
f_edge_02_final_v2,1785962888.740666,ground,1,76,114,0,440.60,48.7,1.9,1.5,442.50,390.40,391.90,410.4
f_edge_02_final_v2,1785962889.798398,ground,1,77,186,1,498.51,48.4,1.9,2.2,500.41,447.91,450.11,665.7
f_edge_02_final_v2,1785962890.798936,ground,1,78,115,0,498.92,46.1,2.0,1.6,500.92,451.22,452.82,440.5
f_edge_02_final_v2,1785962891.845466,ground,1,79,115,0,544.07,54.6,2.2,1.5,546.27,487.97,489.47,777.6
f_edge_02_final_v2,1785962892.834165,ground,1,80,115,0,533.77,87.4,2.1,8.1,535.87,438.27,446.37,426.0
f_edge_02_final_v2,1785962893.763091,ground,1,81,115,0,462.93,54.8,2.0,2.1,464.93,406.03,408.13,407.2
f_edge_02_final_v2,1785962894.774706,ground,1,82,115,0,474.29,45.3,2.1,1.7,476.39,427.29,428.99,949.1
f_edge_02_final_v2,1785962895.808807,ground,1,83,186,1,503.78,40.7,3.5,1.9,507.28,461.18,463.08,1983.2
f_edge_02_final_v2,1785962896.799464,ground,1,84,113,0,499.37,52.1,2.0,1.6,501.37,445.67,447.27,2973.9
f_edge_02_final_v2,1785962897.788583,ground,1,85,113,0,488.71,51.9,1.9,2.0,490.61,434.81,436.81,905.3
f_edge_02_final_v2,1785962898.834274,ground,1,86,114,0,532.91,51.0,2.5,1.5,535.41,480.41,481.91,35.9
