run_id,timestamp_s,mode,uav_id,frame_num,size_bytes,detection_count,latency_ms,inference_ms,compression_ms,decode_ms,pipeline_latency_ms,wireless_transit_ms,overhead_ms,navsat_age_ms
f_ground_q5_01_final_v6,1785962081.658094,ground,1,1,116,0,1206.25,822.4,3.2,3.1,1209.45,380.75,383.85,361.8
f_ground_q5_01_final_v6,1785962083.974571,ground,1,2,260,2,524.72,52.7,2.0,1.5,526.72,470.52,472.02,397.4
f_ground_q5_01_final_v6,1785962085.967837,ground,1,3,187,1,517.78,35.5,2.0,2.0,519.78,480.28,482.28,595.8
f_ground_q5_01_final_v6,1785962086.875619,ground,1,4,187,1,425.93,69.3,1.9,1.6,427.83,355.03,356.63,775.9
f_ground_q5_01_final_v6,1785962088.999592,ground,1,5,187,1,549.89,64.3,1.9,1.5,551.79,484.09,485.59,2899.8
f_ground_q5_01_final_v6,1785962089.892329,ground,1,6,260,2,440.70,50.2,3.2,1.5,443.90,389.00,390.50,419.7
f_ground_q5_01_final_v6,1785962091.896228,ground,1,7,261,2,446.17,50.1,2.0,1.8,448.17,394.27,396.07,704.4
f_ground_q5_01_final_v6,1785962092.980263,ground,1,8,187,1,530.16,71.3,2.1,1.7,532.26,457.16,458.86,515.5
f_ground_q5_01_final_v6,1785962095.870864,ground,1,9,187,1,420.92,47.4,2.0,2.3,422.92,371.22,373.52,1111.4
f_ground_q5_01_final_v6,1785962097.980103,ground,1,10,187,1,530.25,39.7,2.1,1.5,532.35,489.05,490.55,523.6
f_ground_q5_01_final_v6,1785962098.987396,ground,1,11,187,1,537.77,60.4,2.0,2.1,539.77,475.27,477.37,1530.8
f_ground_q5_01_final_v6,1785962100.918315,ground,1,12,261,2,468.62,35.2,1.9,1.5,470.52,431.92,433.42,486.0
f_ground_q5_01_final_v6,1785962101.990138,ground,1,13,185,1,540.10,74.5,2.1,2.5,542.20,463.10,465.60,535.5
f_ground_q5_01_final_v6,1785962103.947482,ground,1,14,186,1,497.79,37.3,2.0,1.5,499.79,458.99,460.49,839.4
f_ground_q5_01_final_v6,1785962104.984641,ground,1,15,187,1,529.18,53.5,3.0,2.1,532.18,473.58,475.68,1876.6
f_ground_q5_01_final_v6,1785962106.964839,ground,1,16,261,2,514.74,40.1,2.0,1.5,516.74,473.14,474.64,3856.8
f_ground_q5_01_final_v6,1785962110.874441,ground,1,17,186,1,424.02,57.2,2.1,2.3,426.12,364.52,366.82,2300.6
f_ground_q5_01_final_v6,1785962112.941567,ground,1,18,186,1,491.83,37.9,2.0,1.5,493.83,452.43,453.93,600.7
