run_id,timestamp_s,mode,uav_id,frame_num,size_bytes,detection_count,latency_ms,inference_ms,compression_ms,decode_ms,pipeline_latency_ms,wireless_transit_ms,overhead_ms,navsat_age_ms
f_ground_q5_02_primary,1786000200.742014,ground,1,1,190,1,1525.87,1153.0,2.0,28.6,1527.87,344.27,372.87,569.7
f_ground_q5_02_primary,1786000200.790211,ground,1,2,259,2,574.25,44.4,2.0,2.7,576.25,527.15,529.85,617.9
f_ground_q5_02_primary,1786000201.748962,ground,1,3,187,1,530.58,44.7,3.4,2.1,533.98,483.78,485.88,744.6
f_ground_q5_02_primary,1786000202.733832,ground,1,4,187,1,517.34,51.7,1.9,1.9,519.24,463.74,465.64,952.2
f_ground_q5_02_primary,1786000204.735112,ground,1,5,186,1,517.17,53.6,2.3,2.9,519.47,460.67,463.57,639.7
f_ground_q5_02_primary,1786000205.708403,ground,1,6,113,0,490.76,49.0,2.8,1.5,493.56,440.26,441.76,401.3
f_ground_q5_02_primary,1786000206.722879,ground,1,7,261,2,504.36,53.0,2.3,3.0,506.66,448.36,451.36,1415.8
f_ground_q5_02_primary,1786000207.737890,ground,1,8,187,1,520.28,56.0,3.0,2.0,523.28,462.28,464.28,502.4
f_ground_q5_02_primary,1786000208.717592,ground,1,9,187,1,500.72,37.0,1.9,2.7,502.62,461.02,463.72,753.4
f_ground_q5_02_primary,1786000209.702253,ground,1,10,187,1,484.26,44.7,3.2,3.6,487.46,435.96,439.56,1738.0
f_ground_q5_02_primary,1786000210.780253,ground,1,11,260,2,564.29,72.7,2.0,3.2,566.29,488.39,491.59,2816.0
f_ground_q5_02_primary,1786000211.773049,ground,1,12,115,0,556.22,62.5,2.0,2.0,558.22,491.72,493.72,14.7
f_ground_q5_02_primary,1786000212.747559,ground,1,13,187,1,528.92,52.9,2.2,2.8,531.12,473.22,476.02,989.2
f_ground_q5_02_primary,1786000213.790212,ground,1,14,187,1,571.94,91.3,2.7,2.1,574.64,478.54,480.64,1021.3
f_ground_q5_02_primary,1786000214.752123,ground,1,15,259,2,531.49,59.0,2.7,3.3,534.19,469.19,472.49,421.2
f_ground_q5_02_primary,1786000215.723740,ground,1,16,187,1,503.18,32.2,2.8,1.6,505.98,469.38,470.98,653.5
f_ground_q5_02_primary,1786000216.728619,ground,1,17,261,2,511.33,52.9,2.3,1.6,513.63,456.83,458.43,971.1
f_ground_q5_02_primary,1786000217.724837,ground,1,18,261,2,502.65,38.9,3.1,2.5,505.75,461.25,463.75,518.1
f_ground_q5_02_primary,1786000218.793404,ground,1,19,187,1,574.55,84.9,2.7,3.2,577.25,486.45,489.65,1586.6
f_ground_q5_02_primary,1786000219.614306,ground,1,20,186,1,396.66,39.6,2.1,1.5,398.76,355.56,357.06,482.9
f_ground_q5_02_primary,1786000220.703029,ground,1,21,115,0,479.37,51.7,5.0,1.9,484.37,425.77,427.67,1571.6
f_ground_q5_02_primary,1786000221.744936,ground,1,22,187,1,525.06,44.6,2.3,3.4,527.36,477.06,480.46,2613.5
f_ground_q5_02_primary,1786000222.745831,ground,1,23,187,1,522.43,50.7,5.0,2.0,527.43,469.73,471.73,3614.4
f_ground_q5_02_primary,1786000223.736051,ground,1,24,187,1,517.36,73.7,2.4,2.3,519.76,441.36,443.66,4604.6
f_ground_q5_02_primary,1786000224.719361,ground,1,25,114,0,502.59,52.4,2.4,1.8,504.99,448.39,450.19,5588.0
f_ground_q5_02_primary,1786000225.706051,ground,1,26,187,1,489.00,52.7,2.1,3.0,491.10,433.30,436.30,555.6
f_ground_q5_02_primary,1786000226.733531,ground,1,27,186,1,515.13,51.6,3.2,2.1,518.33,461.43,463.53,606.3
f_ground_q5_02_primary,1786000227.623233,ground,1,28,187,1,404.30,54.2,2.3,2.3,406.60,347.80,350.10,451.8
f_ground_q5_02_primary,1786000228.757176,ground,1,29,114,0,540.66,54.4,2.5,2.9,543.16,483.36,486.26,1585.7
f_ground_q5_02_primary,1786000230.700257,ground,1,30,260,2,480.66,43.0,2.6,3.4,483.26,434.26,437.66,862.3
f_ground_q5_02_primary,1786000232.756285,ground,1,31,187,1,536.13,65.8,5.1,2.6,541.23,467.73,470.33,2918.3
f_ground_q5_02_primary,1786000233.747045,ground,1,32,334,3,530.55,52.4,2.1,3.9,532.65,474.25,478.15,486.9
f_ground_q5_02_primary,1786000234.785419,ground,1,33,187,1,562.93,55.5,4.2,12.3,567.13,495.13,507.43,555.4
f_ground_q5_02_primary,1786000236.743261,ground,1,34,260,2,527.06,51.4,2.0,3.9,529.06,471.76,475.66,583.5
f_ground_q5_02_primary,1786000237.656708,ground,1,35,187,1,437.67,34.2,2.5,3.1,440.17,400.37,403.47,1496.9
f_ground_q5_02_primary,1786000238.683341,ground,1,36,185,1,466.59,39.5,2.4,1.5,468.99,425.59,427.09,438.4
f_ground_q5_02_primary,1786000239.722002,ground,1,37,260,2,504.05,36.9,2.2,1.5,506.25,465.65,467.15,730.2
f_ground_q5_02_primary,1786000242.585084,ground,1,38,261,2,368.58,35.0,2.4,1.5,370.98,332.08,333.58,1649.1
f_ground_q5_02_primary,1786000243.728389,ground,1,39,187,1,510.00,62.3,2.1,3.6,512.10,444.10,447.70,540.6
f_ground_q5_02_primary,1786000244.669954,ground,1,40,115,0,453.44,56.3,2.5,3.2,455.94,393.94,397.14,1482.2
f_ground_q5_02_primary,1786000245.743278,ground,1,41,260,2,526.43,53.7,2.1,2.0,528.53,470.73,472.73,775.5
f_ground_q5_02_primary,1786000246.761672,ground,1,42,187,1,545.84,47.5,1.9,1.7,547.74,496.64,498.34,520.7
f_ground_q5_02_primary,1786000247.745542,ground,1,43,186,1,526.94,41.0,2.7,1.5,529.64,484.44,485.94,505.8
f_ground_q5_02_primary,1786000248.709794,ground,1,44,187,1,493.78,52.4,2.0,2.5,495.78,438.88,441.38,1470.0
f_ground_q5_02_primary,1786000249.699857,ground,1,45,115,0,481.21,43.2,2.1,1.7,483.31,436.31,438.01,788.9
f_ground_q5_02_primary,1786000250.776207,ground,1,46,187,1,560.30,55.5,2.0,1.5,562.30,503.30,504.80,509.0
f_ground_q5_02_primary,1786000251.758549,ground,1,47,186,1,541.13,41.8,2.3,1.6,543.43,497.73,499.33,1491.3
f_ground_q5_02_primary,1786000252.718517,ground,1,48,261,2,501.82,57.1,2.2,2.8,504.02,441.92,444.72,947.9
f_ground_q5_02_primary,1786000254.723017,ground,1,49,260,2,506.63,48.5,2.2,2.5,508.83,455.63,458.13,476.7
f_ground_q5_02_primary,1786000255.695894,ground,1,50,260,2,476.77,50.3,2.6,1.7,479.37,424.77,426.47,490.1
f_ground_q5_02_primary,1786000256.703219,ground,1,51,187,1,487.40,55.0,1.9,1.5,489.30,430.90,432.40,805.9
f_ground_q5_02_primary,1786000257.731678,ground,1,52,335,3,513.13,40.4,3.3,1.6,516.43,471.13,472.73,451.0
f_ground_q5_02_primary,1786000258.758138,ground,1,53,187,1,542.16,44.8,2.0,1.7,544.16,495.66,497.36,1477.4
f_ground_q5_02_primary,1786000262.745741,ground,1,54,261,2,527.40,51.8,2.0,1.8,529.40,473.80,475.60,1485.4
f_ground_q5_02_primary,1786000264.746016,ground,1,55,187,1,529.88,52.4,2.0,3.4,531.88,474.08,477.48,3485.7
f_ground_q5_02_primary,1786000265.702641,ground,1,56,115,0,486.77,51.2,1.9,2.3,488.67,433.27,435.57,419.2
f_ground_q5_02_primary,1786000266.704154,ground,1,57,115,0,484.55,49.9,2.6,2.2,487.15,432.45,434.65,644.4
f_ground_q5_02_primary,1786000267.742524,ground,1,58,260,2,524.19,36.0,3.2,1.5,527.39,486.69,488.19,1682.7
f_ground_q5_02_primary,1786000268.714737,ground,1,59,187,1,494.70,36.3,2.6,2.0,497.30,456.40,458.40,519.1
f_ground_q5_02_primary,1786000269.729593,ground,1,60,187,1,513.30,37.3,2.0,1.6,515.30,474.40,476.00,1533.9
f_ground_q5_02_primary,1786000270.741346,ground,1,61,261,2,523.67,51.6,2.0,2.6,525.67,469.47,472.07,2545.7
f_ground_q5_02_primary,1786000271.768638,ground,1,62,187,1,550.31,52.5,3.3,2.3,553.61,495.51,497.81,656.2
f_ground_q5_02_primary,1786000272.799504,ground,1,63,187,1,583.19,91.7,2.0,1.9,585.19,489.59,491.49,1687.1
f_ground_q5_02_primary,1786000273.710564,ground,1,64,260,2,491.20,40.0,3.6,1.4,494.80,449.80,451.20,2598.1
f_ground_q5_02_primary,1786000274.668072,ground,1,65,115,0,450.96,35.7,1.9,1.5,452.86,413.76,415.26,3555.6
f_ground_q5_02_primary,1786000275.752273,ground,1,66,115,0,533.04,55.4,3.7,2.2,536.74,475.44,477.64,4639.8
f_ground_q5_02_primary,1786000276.699781,ground,1,67,187,1,483.71,55.1,2.0,2.1,485.71,426.51,428.61,934.0
f_ground_q5_02_primary,1786000277.679933,ground,1,68,260,2,464.11,54.5,1.9,1.5,466.01,408.11,409.61,431.5
f_ground_q5_02_primary,1786000278.724281,ground,1,69,187,1,507.57,54.7,2.0,1.8,509.57,451.07,452.87,1475.8
f_ground_q5_02_primary,1786000280.701127,ground,1,70,186,1,484.45,51.2,1.9,1.5,486.35,431.75,433.25,1900.7
f_ground_q5_02_primary,1786000281.746432,ground,1,71,115,0,528.36,41.0,2.4,1.8,530.76,485.56,487.36,1003.0
f_ground_q5_02_primary,1786000283.634739,ground,1,72,186,1,418.55,52.5,1.9,1.8,420.45,364.25,366.05,2891.3
f_ground_q5_02_primary,1786000284.730082,ground,1,73,261,2,513.51,44.5,1.9,1.9,515.41,467.11,469.01,3986.6
