run_id,timestamp_s,mode,uav_id,frame_num,size_bytes,detection_count,latency_ms,inference_ms,compression_ms,decode_ms,pipeline_latency_ms,wireless_transit_ms,overhead_ms,navsat_age_ms
f_ground_q5_03_final,1785959142.854927,ground,1,1,116,0,1233.86,862.0,1.9,5.3,1235.76,366.56,371.86,479.9
f_ground_q5_03_final,1785959145.027775,ground,1,2,185,1,405.31,36.2,2.3,1.5,407.61,367.61,369.11,21.7
f_ground_q5_03_final,1785959147.105569,ground,1,3,115,0,481.75,51.8,2.3,2.4,484.05,427.55,429.95,31.6
f_ground_q5_03_final,1785959148.157452,ground,1,4,114,0,535.83,76.9,2.1,2.7,537.93,456.23,458.93,67.9
f_ground_q5_03_final,1785959150.189639,ground,1,5,187,1,567.21,82.4,2.1,2.7,569.31,482.11,484.81,734.5
f_ground_q5_03_final,1785959151.126437,ground,1,6,114,0,499.20,37.7,2.1,1.7,501.30,459.80,461.50,23.6
f_ground_q5_03_final,1785959153.107145,ground,1,7,115,0,485.94,51.7,1.9,3.2,487.84,431.04,434.24,716.8
f_ground_q5_03_final,1785959154.093157,ground,1,8,187,1,471.73,45.3,2.0,1.7,473.73,424.73,426.43,32.9
f_ground_q5_03_final,1785959155.164994,ground,1,9,115,0,541.78,41.9,2.5,1.6,544.28,498.28,499.88,453.5
f_ground_q5_03_final,1785959156.131603,ground,1,10,115,0,508.85,37.2,2.2,2.2,511.05,469.45,471.65,520.6
f_ground_q5_03_final,1785959157.167762,ground,1,11,115,0,542.34,84.2,3.1,1.9,545.44,456.24,458.14,540.9
f_ground_q5_03_final,1785959159.095808,ground,1,12,186,1,471.98,56.6,2.4,2.0,474.38,413.38,415.38,523.8
f_ground_q5_03_final,1785959160.130954,ground,1,13,115,0,503.85,56.5,3.9,2.3,507.75,445.05,447.35,707.1
f_ground_q5_03_final,1785959163.136808,ground,1,14,186,1,513.77,61.1,2.2,1.4,515.97,451.27,452.67,19.4
f_ground_q5_03_final,1785959164.205394,ground,1,15,114,0,583.90,89.9,2.2,2.1,586.10,491.90,494.00,1088.0
f_ground_q5_03_final,1785959165.125454,ground,1,16,113,0,504.14,57.0,1.9,1.5,506.04,445.64,447.14,2008.1
f_ground_q5_03_final,1785959166.092191,ground,1,17,115,0,470.84,56.6,2.0,1.7,472.84,412.54,414.24,12.8
f_ground_q5_03_final,1785959168.131879,ground,1,18,186,1,510.35,45.1,2.0,1.9,512.35,463.35,465.25,1401.7
f_ground_q5_03_final,1785959169.107867,ground,1,19,115,0,485.35,38.3,2.3,2.0,487.65,445.05,447.05,479.8
f_ground_q5_03_final,1785959171.147924,ground,1,20,185,1,526.46,61.6,2.0,1.5,528.46,463.36,464.86,529.0
f_ground_q5_03_final,1785959172.083239,ground,1,21,113,0,460.60,38.0,2.1,1.7,462.70,420.90,422.60,1464.3
f_ground_q5_03_final,1785959173.177117,ground,1,22,115,0,550.90,52.7,3.0,1.8,553.90,496.40,498.20,0.2
f_ground_q5_03_final,1785959174.169326,ground,1,23,114,0,544.90,51.2,2.4,2.0,547.30,491.70,493.70,992.4
f_ground_q5_03_final,1785959175.165969,ground,1,24,187,1,543.41,54.1,2.7,1.5,546.11,487.81,489.31,512.6
f_ground_q5_03_final,1785959177.099785,ground,1,25,186,1,478.46,53.9,1.9,2.3,480.36,422.26,424.56,2446.5
f_ground_q5_03_final,1785959178.065669,ground,1,26,186,1,441.11,56.2,2.5,1.4,443.61,383.51,384.91,438.4
f_ground_q5_03_final,1785959179.143164,ground,1,27,114,0,521.43,48.5,2.1,2.3,523.53,470.63,472.93,1515.9
f_ground_q5_03_final,1785959180.118296,ground,1,28,115,0,494.66,46.0,2.5,1.6,497.16,447.06,448.66,788.5
f_ground_q5_03_final,1785959181.171509,ground,1,29,113,0,550.12,52.1,2.0,1.5,552.12,496.52,498.02,984.5
f_ground_q5_03_final,1785959183.134838,ground,1,30,186,1,510.52,39.3,3.1,2.1,513.62,469.12,471.22,959.6
f_ground_q5_03_final,1785959184.079246,ground,1,31,115,0,456.06,43.6,2.4,2.3,458.46,410.16,412.46,725.5
f_ground_q5_03_final,1785959185.181240,ground,1,32,186,1,559.95,56.7,2.0,2.4,561.95,500.85,503.25,1827.5
f_ground_q5_03_final,1785959186.168287,ground,1,33,114,0,546.70,52.5,2.0,1.9,548.70,492.30,494.20,468.0
f_ground_q5_03_final,1785959189.084969,ground,1,34,186,1,463.71,68.1,2.0,1.6,465.71,394.01,395.61,1229.3
f_ground_q5_03_final,1785959190.079345,ground,1,35,115,0,456.37,42.8,2.3,2.5,458.67,411.07,413.57,627.1
f_ground_q5_03_final,1785959191.157182,ground,1,36,115,0,533.65,38.4,2.5,1.9,536.15,493.35,495.25,1705.0
f_ground_q5_03_final,1785959192.142598,ground,1,37,115,0,520.81,37.7,2.1,2.7,522.91,480.41,483.11,2690.4
f_ground_q5_03_final,1785959194.141684,ground,1,38,115,0,519.38,92.3,2.1,2.1,521.48,424.98,427.08,4689.5
f_ground_q5_03_final,1785959195.182550,ground,1,39,186,1,560.75,55.6,2.1,2.8,562.85,502.35,505.15,5730.3
f_ground_q5_03_final,1785959196.095262,ground,1,40,186,1,472.18,54.6,2.2,2.5,474.38,415.08,417.58,6643.1
f_ground_q5_03_final,1785959197.185951,ground,1,41,115,0,561.91,72.1,2.9,2.1,564.81,487.71,489.81,575.0
f_ground_q5_03_final,1785959198.058649,ground,1,42,115,0,435.89,36.7,2.1,1.6,437.99,397.59,399.19,476.2
f_ground_q5_03_final,1785959201.138852,ground,1,43,114,0,517.63,55.7,1.9,2.4,519.53,459.53,461.93,2714.5
f_ground_q5_03_final,1785959202.148136,ground,1,44,114,0,520.62,48.4,3.9,1.9,524.52,470.32,472.22,3723.8
f_ground_q5_03_final,1785959204.156358,ground,1,45,185,1,533.35,58.1,2.4,1.9,535.75,473.35,475.25,521.4
f_ground_q5_03_final,1785959205.175376,ground,1,46,185,1,554.23,52.7,2.0,2.1,556.23,499.43,501.53,858.5
f_ground_q5_03_final,1785959209.120637,ground,1,47,115,0,499.16,55.4,2.1,2.9,501.26,440.86,443.76,3353.7
f_ground_q5_03_final,1785959211.103192,ground,1,48,114,0,481.69,91.5,2.0,6.9,483.69,383.29,390.19,1889.8
f_ground_q5_03_final,1785959213.176307,ground,1,49,187,1,552.50,55.1,2.1,3.6,554.60,493.80,497.40,455.8
f_ground_q5_03_final,1785959214.075636,ground,1,50,115,0,451.64,56.6,2.6,2.0,454.24,393.04,395.04,1355.1
f_ground_q5_03_final,1785959215.137093,ground,1,51,261,2,515.75,39.1,2.0,2.4,517.75,474.25,476.65,13.2
