elapsed_s,log_timestamp_unix_s,event_type,source_message,sysid,compid,details
0.000000,1788179595.869506,LOG_START,AHRS,1,1,First valid MAVLink packet
0.075705,1788179595.945211,WAYPOINT_CURRENT_OBSERVED,MISSION_CURRENT,1,1,seq=0
0.827102,1788179596.696608,ARM_STATE_OBSERVED,HEARTBEAT,1,1,DISARMED
0.827102,1788179596.696608,MODE_OBSERVED,HEARTBEAT,1,1,STABILIZE
2.855310,1788179598.724816,STATUSTEXT,STATUSTEXT,255,190,severity=6: Mission Planner 1.3.83
2.856304,1788179598.725810,STATUSTEXT,STATUSTEXT,255,190,severity=6: Mission Planner 1.3.83
2.856304,1788179598.725810,STATUSTEXT,STATUSTEXT,255,190,severity=6: Mission Planner 1.3.83
4.913769,1788179600.783275,STATUSTEXT,STATUSTEXT,1,1,severity=6: ArduCopter V4.6.2 (1ebd4d99)
4.944998,1788179600.814504,STATUSTEXT,STATUSTEXT,1,1,severity=6: ChibiOS: 88b84600
4.946063,1788179600.815569,STATUSTEXT,STATUSTEXT,1,1,severity=6: fmuv3 003D003F 3533510D 33303831
4.992540,1788179600.862046,STATUSTEXT,STATUSTEXT,1,1,severity=6: IOMCU: 420 1001 411FC231
4.993550,1788179600.863056,STATUSTEXT,STATUSTEXT,1,1,severity=6: RCOut: PWM:1-14
4.994633,1788179600.864139,STATUSTEXT,STATUSTEXT,1,1,severity=6: IMU0: fast sampling enabled 8.0kHz/1.0kHz
4.994633,1788179600.864139,STATUSTEXT,STATUSTEXT,1,1,severity=6: Frame: QUAD/X
5.118030,1788179600.987536,STATUSTEXT,STATUSTEXT,1,1,severity=6: ArduCopter V4.6.2 (1ebd4d99)
5.119183,1788179600.988689,STATUSTEXT,STATUSTEXT,1,1,severity=6: ChibiOS: 88b84600
5.148115,1788179601.017621,STATUSTEXT,STATUSTEXT,1,1,severity=6: fmuv3 003D003F 3533510D 33303831
5.149586,1788179601.019092,STATUSTEXT,STATUSTEXT,1,1,severity=6: IOMCU: 420 1001 411FC231
5.180228,1788179601.049734,STATUSTEXT,STATUSTEXT,1,1,severity=6: RCOut: PWM:1-14
5.181126,1788179601.050632,STATUSTEXT,STATUSTEXT,1,1,severity=6: IMU0: fast sampling enabled 8.0kHz/1.0kHz
5.182123,1788179601.051629,STATUSTEXT,STATUSTEXT,1,1,severity=6: Frame: QUAD/X
5.353934,1788179601.223440,STATUSTEXT,STATUSTEXT,1,1,severity=6: ArduCopter V4.6.2 (1ebd4d99)
5.401357,1788179601.270863,STATUSTEXT,STATUSTEXT,1,1,severity=6: ChibiOS: 88b84600
5.402860,1788179601.272366,STATUSTEXT,STATUSTEXT,1,1,severity=6: fmuv3 003D003F 3533510D 33303831
5.448929,1788179601.318435,STATUSTEXT,STATUSTEXT,1,1,severity=6: IOMCU: 420 1001 411FC231
5.449927,1788179601.319433,STATUSTEXT,STATUSTEXT,1,1,severity=6: RCOut: PWM:1-14
5.450927,1788179601.320433,STATUSTEXT,STATUSTEXT,1,1,severity=6: IMU0: fast sampling enabled 8.0kHz/1.0kHz
5.451920,1788179601.321426,STATUSTEXT,STATUSTEXT,1,1,severity=6: Frame: QUAD/X
6.495067,1788179602.364573,TELEMETRY_GAP_GT_1S,GLOBAL_POSITION_INT,1,1,GLOBAL_POSITION_INT arrival interval 1957.936 ms
8.476746,1788179604.346252,TELEMETRY_GAP_GT_1S,GLOBAL_POSITION_INT,1,1,GLOBAL_POSITION_INT arrival interval 1981.679 ms
10.516932,1788179606.386438,TELEMETRY_GAP_GT_1S,GLOBAL_POSITION_INT,1,1,GLOBAL_POSITION_INT arrival interval 2040.186 ms
12.500319,1788179608.369825,TELEMETRY_GAP_GT_1S,GLOBAL_POSITION_INT,1,1,GLOBAL_POSITION_INT arrival interval 1983.387 ms
14.123232,1788179609.992738,STATUSTEXT,STATUSTEXT,1,1,severity=2: PreArm: RC not found
