elapsed_s,log_timestamp_unix_s,source_time_boot_ms,seq,sysid,compid,lat_raw_e7,lon_raw_e7,alt_raw_mm,relative_alt_raw_mm,lat_deg,lon_deg,alt_m_msl,relative_alt_m,vx_raw_cm_s,vy_raw_cm_s,vz_raw_cm_s,vx_north_mps,vy_east_mps,vz_down_mps,vertical_speed_up_mps,ground_speed_mps,heading_raw_cdeg,heading_deg,local_east_m,local_north_m,local_up_m
0.043993,1788179595.913499,108843,206,1,1,60773732,801907199,29480,-42,6.077373200,80.190719900,29.480,-0.042,-2,0,0,-0.02,0.0,0.0,-0.0,0.02,17397,173.97,0.0000,0.0000,0.0000
0.512846,1788179596.382352,109343,234,1,1,60773730,801907199,29480,-43,6.077373000,80.190719900,29.480,-0.043000000000000003,-2,0,0,-0.02,0.0,0.0,-0.0,0.02,17397,173.97,-0.0000,-0.0221,-0.0000
1.045322,1788179596.914828,109843,7,1,1,60773729,801907199,29480,-46,6.077372900,80.190719900,29.480,-0.046,-1,0,0,-0.01,0.0,0.0,-0.0,0.01,17398,173.98,0.0000,-0.0332,0.0000
1.576980,1788179597.446486,110343,37,1,1,60773727,801907200,29480,-43,6.077372700,80.190720000,29.480,-0.043000000000000003,-2,0,0,-0.02,0.0,0.0,-0.0,0.02,17398,173.98,0.0111,-0.0553,0.0000
1.996223,1788179597.865729,110843,66,1,1,60773725,801907201,29480,-45,6.077372500,80.190720100,29.480,-0.045,-2,1,0,-0.02,0.01,0.0,-0.0,0.022360679774997897,17398,173.98,0.0221,-0.0774,0.0000
2.572346,1788179598.441852,111343,94,1,1,60773724,801907202,29480,-44,6.077372400,80.190720200,29.480,-0.044,-2,1,0,-0.02,0.01,0.0,-0.0,0.022360679774997897,17399,173.99,0.0332,-0.0885,-0.0000
3.101073,1788179598.970579,111843,123,1,1,60773722,801907204,29480,-41,6.077372200,80.190720400,29.480,-0.041,-2,2,0,-0.02,0.02,0.0,-0.0,0.028284271247461905,17399,173.99,0.0553,-0.1106,0.0000
3.493622,1788179599.363128,112343,151,1,1,60773720,801907206,29480,-42,6.077372000,80.190720600,29.480,-0.042,-2,2,0,-0.02,0.02,0.0,-0.0,0.028284271247461905,17399,173.99,0.0775,-0.1327,-0.0000
3.946615,1788179599.816121,112843,180,1,1,60773718,801907208,29480,-42,6.077371800,80.190720800,29.480,-0.042,-2,3,0,-0.02,0.03,0.0,-0.0,0.03605551275463989,17399,173.99,0.0996,-0.1548,-0.0000
4.537131,1788179600.406637,113343,214,1,1,60773716,801907209,29480,-44,6.077371600,80.190720900,29.480,-0.044,-2,2,0,-0.02,0.02,0.0,-0.0,0.028284271247461905,17399,173.99,0.1107,-0.1769,-0.0000
