elapsed_s,log_timestamp_unix_s,source_time_usec,seq,sysid,compid,fix_type,satellites_visible,lat_raw_e7,lon_raw_e7,alt_raw_mm,lat_deg,lon_deg,alt_m_msl,eph_raw,epv_raw,eph_scaled_1e_2,epv_scaled_1e_2,vel_raw_cm_s,ground_speed_mps,cog_raw_cdeg,cog_deg,alt_ellipsoid_raw_mm,alt_ellipsoid_m,h_acc_raw_mm,h_acc_m,v_acc_raw_mm,v_acc_m,vel_acc_raw_mm_s,vel_acc_mps,hdg_acc_raw_1e5_deg,hdg_acc_deg,yaw_raw_cdeg,yaw_deg
0.155896,1788179596.025402,108670000,217,1,1,4,31,60773728,801907200,23530,6.0773728,80.19072,23.53,50,79,0.5,0.79,2,0.02,3496,34.96,-74534,-74.534,181,0.181,269,0.269,86,0.08600000000000001,0,0.0,0,
0.638526,1788179596.508032,109270000,245,1,1,4,31,60773727,801907201,23550,6.0773727,80.1907201,23.55,49,75,0.49,0.75,1,0.01,3496,34.96,-74514,-74.514,181,0.181,270,0.27,61,0.061,0,0.0,0,
1.310904,1788179597.180410,109670000,18,1,1,4,30,60773725,801907202,23550,6.0773725,80.1907202,23.55,50,76,0.5,0.76,3,0.03,3496,34.96,-74514,-74.514,182,0.182,271,0.271,97,0.097,0,0.0,0,
1.764034,1788179597.633540,110270000,48,1,1,4,30,60773722,801907203,23580,6.0773722,80.1907203,23.580000000000002,49,75,0.49,0.75,2,0.02,3496,34.96,-74484,-74.484,183,0.183,272,0.272,91,0.091,0,0.0,0,
2.697171,1788179598.566677,111270000,105,1,1,4,30,60773719,801907206,23660,6.0773719,80.19072059999999,23.66,49,75,0.49,0.75,0,0.0,3496,34.96,-74404,-74.404,184,0.184,274,0.274,102,0.10200000000000001,0,0.0,0,
3.226735,1788179599.096241,111670000,134,1,1,4,30,60773717,801907208,23700,6.0773717,80.1907208,23.7,49,75,0.49,0.75,2,0.02,3496,34.96,-74364,-74.364,184,0.184,276,0.276,62,0.062,0,0.0,0,
3.634969,1788179599.504475,112270000,162,1,1,4,30,60773713,801907210,23750,6.077371299999999,80.190721,23.75,49,75,0.49,0.75,1,0.01,3496,34.96,-74314,-74.31400000000001,185,0.185,277,0.277,96,0.096,0,0.0,0,
4.101526,1788179599.971032,112670000,191,1,1,4,30,60773711,801907211,23790,6.0773711,80.19072109999999,23.79,49,75,0.49,0.75,1,0.01,3496,34.96,-74274,-74.274,185,0.185,278,0.278,98,0.098,0,0.0,0,
4.724030,1788179600.593536,113270000,225,1,1,4,30,60773708,801907211,23840,6.0773708,80.19072109999999,23.84,49,75,0.49,0.75,4,0.04,3496,34.96,-74224,-74.224,186,0.186,278,0.278,68,0.068,0,0.0,0,
6.621535,1788179602.491041,115270000,39,1,1,4,30,60773697,801907211,24000,6.077369699999999,80.19072109999999,24.0,49,75,0.49,0.75,2,0.02,3496,34.96,-74064,-74.06400000000001,188,0.188,282,0.28200000000000003,87,0.08700000000000001,0,0.0,0,
8.679512,1788179604.549018,117270000,101,1,1,4,31,60773690,801907213,24160,6.077369,80.19072129999999,24.16,49,78,0.49,0.78,1,0.01,3496,34.96,-73904,-73.904,193,0.193,289,0.289,115,0.115,0,0.0,0,
10.751623,1788179606.621129,119270000,160,1,1,4,31,60773682,801907215,24310,6.0773681999999996,80.1907215,24.310000000000002,49,78,0.49,0.78,5,0.05,3496,34.96,-73754,-73.754,199,0.199,298,0.298,96,0.096,0,0.0,0,
12.610658,1788179608.480164,121270000,217,1,1,4,31,60773680,801907211,24300,6.077368,80.19072109999999,24.3,49,78,0.49,0.78,2,0.02,3496,34.96,-73764,-73.764,203,0.203,307,0.307,111,0.111,0,0.0,0,
14.652066,1788179610.521572,123270000,12,1,1,4,31,60773680,801907206,24310,6.077368,80.19072059999999,24.310000000000002,48,75,0.48,0.75,4,0.04,3496,34.96,-73754,-73.754,205,0.20500000000000002,308,0.308,101,0.101,0,0.0,0,
15.155027,1788179611.024533,123670000,41,1,1,4,31,60773677,801907206,24290,6.0773677,80.19072059999999,24.29,49,78,0.49,0.78,3,0.03,3496,34.96,-73774,-73.774,205,0.20500000000000002,308,0.308,117,0.117,0,0.0,0,
15.682078,1788179611.551584,124270000,66,1,1,4,31,60773675,801907205,24290,6.077367499999999,80.1907205,24.29,49,78,0.49,0.78,5,0.05,3496,34.96,-73774,-73.774,205,0.20500000000000002,308,0.308,104,0.10400000000000001,0,0.0,0,
16.151900,1788179612.021406,124670000,95,1,1,4,31,60773674,801907206,24310,6.0773674,80.19072059999999,24.310000000000002,49,78,0.49,0.78,1,0.01,3496,34.96,-73754,-73.754,205,0.20500000000000002,309,0.309,99,0.099,0,0.0,0,
16.635569,1788179612.505075,125270000,123,1,1,4,30,60773673,801907206,24330,6.0773673,80.19072059999999,24.330000000000002,49,78,0.49,0.78,1,0.01,3496,34.96,-73734,-73.734,205,0.20500000000000002,309,0.309,102,0.10200000000000001,0,0.0,0,
17.177934,1788179613.047440,125670000,152,1,1,4,31,60773673,801907206,24310,6.0773673,80.19072059999999,24.310000000000002,49,78,0.49,0.78,2,0.02,3496,34.96,-73754,-73.754,205,0.20500000000000002,309,0.309,94,0.094,0,0.0,0,
17.649225,1788179613.518731,126270000,180,1,1,4,31,60773671,801907206,24330,6.0773671,80.19072059999999,24.330000000000002,49,78,0.49,0.78,3,0.03,3496,34.96,-73734,-73.734,205,0.20500000000000002,309,0.309,55,0.055,0,0.0,0,
18.100077,1788179613.969583,126670000,209,1,1,4,31,60773670,801907207,24340,6.077367,80.1907207,24.34,49,78,0.49,0.78,4,0.04,3496,34.96,-73724,-73.724,205,0.20500000000000002,309,0.309,77,0.077,0,0.0,0,
18.679541,1788179614.549047,127270000,237,1,1,4,32,60773667,801907207,24340,6.0773667,80.1907207,24.34,49,78,0.49,0.78,1,0.01,3496,34.96,-73724,-73.724,204,0.20400000000000001,308,0.308,110,0.11,0,0.0,0,
19.164272,1788179615.033778,127670000,10,1,1,4,32,60773665,801907207,24320,6.0773665,80.1907207,24.32,48,75,0.48,0.75,4,0.04,3496,34.96,-73744,-73.744,203,0.203,307,0.307,78,0.078,0,0.0,0,
19.600498,1788179615.470004,128270000,38,1,1,4,32,60773662,801907207,24320,6.0773662,80.1907207,24.32,48,75,0.48,0.75,6,0.06,3496,34.96,-73744,-73.744,202,0.202,306,0.306,84,0.084,0,0.0,0,
20.131558,1788179616.001064,128670000,67,1,1,4,32,60773659,801907209,24300,6.077365899999999,80.1907209,24.3,48,75,0.48,0.75,13,0.13,8056,80.56,-73764,-73.764,202,0.202,306,0.306,67,0.067,0,0.0,0,
20.631013,1788179616.500519,129270000,95,1,1,4,32,60773658,801907211,24280,6.0773658,80.19072109999999,24.28,48,75,0.48,0.75,1,0.01,6961,69.61,-73784,-73.784,203,0.203,306,0.306,126,0.126,0,0.0,0,
21.208271,1788179617.077777,129670000,124,1,1,4,32,60773658,801907211,24270,6.0773658,80.19072109999999,24.27,48,75,0.48,0.75,13,0.13,3519,35.19,-73795,-73.795,203,0.203,308,0.308,109,0.109,0,0.0,0,
21.628824,1788179617.498330,130270000,153,1,1,4,32,60773659,801907210,24200,6.077365899999999,80.190721,24.2,48,75,0.48,0.75,2,0.02,3519,35.19,-73864,-73.864,204,0.20400000000000001,311,0.311,142,0.14200000000000002,0,0.0,0,
22.129220,1788179617.998726,130670000,182,1,1,4,31,60773657,801907212,24190,6.0773657,80.1907212,24.19,49,75,0.49,0.75,1,0.01,3519,35.19,-73875,-73.875,204,0.20400000000000001,312,0.312,139,0.139,0,0.0,0,
22.709749,1788179618.579255,131270000,210,1,1,4,31,60773655,801907213,24200,6.0773655,80.19072129999999,24.2,49,75,0.49,0.75,2,0.02,3519,35.19,-73864,-73.864,204,0.20400000000000001,313,0.313,85,0.085,0,0.0,0,
23.164864,1788179619.034370,131676000,239,1,1,4,31,60773654,801907215,24220,6.0773654,80.1907215,24.22,49,75,0.49,0.75,3,0.03,3519,35.19,-73844,-73.84400000000001,204,0.20400000000000001,314,0.314,104,0.10400000000000001,0,0.0,0,
23.632389,1788179619.501895,132276000,11,1,1,4,30,60773651,801907217,24260,6.0773651,80.1907217,24.26,49,75,0.49,0.75,4,0.04,3519,35.19,-73804,-73.804,204,0.20400000000000001,315,0.315,111,0.111,0,0.0,0,
24.116327,1788179619.985833,132676000,40,1,1,4,31,60773650,801907218,24290,6.0773649999999995,80.19072179999999,24.29,49,75,0.49,0.75,0,0.0,3519,35.19,-73774,-73.774,204,0.20400000000000001,315,0.315,119,0.11900000000000001,0,0.0,0,
24.661700,1788179620.531206,133276000,68,1,1,4,31,60773648,801907219,24280,6.0773648,80.1907219,24.28,49,75,0.49,0.75,1,0.01,3519,35.19,-73784,-73.784,204,0.20400000000000001,315,0.315,102,0.10200000000000001,0,0.0,0,
25.145907,1788179621.015413,133676000,97,1,1,4,31,60773649,801907219,24260,6.0773649,80.1907219,24.26,49,75,0.49,0.75,4,0.04,3519,35.19,-73804,-73.804,204,0.20400000000000001,317,0.317,144,0.14400000000000002,0,0.0,0,
25.690214,1788179621.559720,134276000,125,1,1,4,31,60773649,801907222,24210,6.0773649,80.1907222,24.21,49,75,0.49,0.75,6,0.06,2616,26.16,-73854,-73.854,205,0.20500000000000002,322,0.322,91,0.091,0,0.0,0,
26.190508,1788179622.060014,134676000,154,1,1,4,30,60773648,801907226,24130,6.0773648,80.1907226,24.13,50,75,0.5,0.75,3,0.03,4485,44.85,-73934,-73.934,205,0.20500000000000002,323,0.323,124,0.124,0,0.0,0,
26.610941,1788179622.480447,135276000,182,1,1,4,31,60773650,801907234,23910,6.0773649999999995,80.1907234,23.91,49,75,0.49,0.75,4,0.04,4485,44.85,-74154,-74.154,206,0.20600000000000002,326,0.326,94,0.094,0,0.0,0,
27.110305,1788179622.979811,135676000,211,1,1,4,31,60773653,801907242,23710,6.077365299999999,80.19072419999999,23.71,49,75,0.49,0.75,3,0.03,4485,44.85,-74354,-74.354,218,0.218,344,0.34400000000000003,65,0.065,0,0.0,0,
27.656395,1788179623.525901,136276000,239,1,1,4,30,60773655,801907249,23580,6.0773655,80.19072489999999,23.580000000000002,49,75,0.49,0.75,5,0.05,4485,44.85,-74484,-74.484,201,0.201,318,0.318,105,0.105,0,0.0,0,
28.107418,1788179623.976924,136676000,12,1,1,4,30,60773656,801907254,23490,6.077365599999999,80.19072539999999,23.490000000000002,49,75,0.49,0.75,3,0.03,4485,44.85,-74574,-74.574,201,0.201,317,0.317,86,0.08600000000000001,0,0.0,0,
28.682399,1788179624.551905,137276000,40,1,1,4,32,60773660,801907261,23350,6.077366,80.19072609999999,23.35,48,75,0.48,0.75,2,0.02,4485,44.85,-74715,-74.715,200,0.2,316,0.316,62,0.062,0,0.0,0,
29.150915,1788179625.020421,137676000,69,1,1,4,32,60773660,801907266,23350,6.077366,80.19072659999999,23.35,48,75,0.48,0.75,1,0.01,4485,44.85,-74714,-74.714,200,0.2,315,0.315,103,0.10300000000000001,0,0.0,0,
29.601296,1788179625.470802,138276000,97,1,1,4,31,60773658,801907274,23380,6.0773658,80.1907274,23.38,48,75,0.48,0.75,1,0.01,4485,44.85,-74684,-74.684,200,0.2,315,0.315,90,0.09,0,0.0,0,
30.102579,1788179625.972085,138676000,126,1,1,4,32,60773657,801907281,23380,6.0773657,80.1907281,23.38,48,75,0.48,0.75,1,0.01,4485,44.85,-74684,-74.684,200,0.2,314,0.314,98,0.098,0,0.0,0,
30.648375,1788179626.517881,139276000,154,1,1,4,31,60773654,801907292,23370,6.0773654,80.19072919999999,23.37,48,75,0.48,0.75,1,0.01,4485,44.85,-74694,-74.694,199,0.199,313,0.313,89,0.089,0,0.0,0,
31.105016,1788179626.974522,139676000,183,1,1,4,31,60773654,801907299,23320,6.0773654,80.1907299,23.32,48,75,0.48,0.75,0,0.0,4485,44.85,-74744,-74.744,199,0.199,312,0.312,68,0.068,0,0.0,0,
