elapsed_s,log_timestamp_unix_s,source_time_boot_ms,seq,sysid,compid,north_x_m,east_y_m,down_z_m,velocity_north_mps,velocity_east_mps,velocity_down_mps
0.232260,1788179596.101766,108853,224,1,1,0.5453269481658936,-2.0526440143585205,0.042082082480192184,-0.029181472957134247,-0.004246977623552084,-0.004186500795185566
0.701839,1788179596.571345,109353,252,1,1,0.5322860479354858,-2.050339698791504,0.043568260967731476,-0.023756494745612144,-0.0019068005494773388,-0.0012212162837386131
1.435255,1788179597.304761,109854,25,1,1,0.5175303816795349,-2.045091152191162,0.04612427204847336,-0.01993180625140667,-6.438428681576625e-05,0.0001870835549198091
1.840512,1788179597.710018,110353,55,1,1,0.4938100278377533,-2.0338921546936035,0.04385427385568619,-0.025001896545290947,0.004900266882032156,-0.0017569692572578788
2.228506,1788179598.098012,110853,84,1,1,0.4734243154525757,-2.01784610748291,0.04583004489541054,-0.02625473402440548,0.012045610696077347,-0.001398342428728938
2.759903,1788179598.629409,111353,112,1,1,0.45703980326652527,-2.0041284561157227,0.04484136775135994,-0.02406131662428379,0.01552901417016983,-0.0013901827624067664
3.305187,1788179599.174693,111856,141,1,1,0.4388579726219177,-1.9820873737335205,0.04135385900735855,-0.022881565615534782,0.023383336141705513,-0.0038304480258375406
3.727839,1788179599.597345,112353,169,1,1,0.4146672785282135,-1.960739254951477,0.04205402731895447,-0.024561287835240364,0.02832368202507496,-0.0027785087004303932
4.210761,1788179600.080267,112853,198,1,1,0.389827162027359,-1.9405057430267334,0.042511314153671265,-0.024898773059248924,0.03170096501708031,-0.0018658693879842758
4.756664,1788179600.626170,113353,232,1,1,0.3674139380455017,-1.929792046546936,0.04406727850437164,-0.023677021265029907,0.02738359197974205,-0.0019636608194559813
6.746273,1788179602.615779,115353,46,1,1,0.2656756043434143,-1.925039529800415,0.047371331602334976,-0.021801181137561798,0.004544417839497328,-0.001726154936477542
8.741110,1788179604.610616,117353,108,1,1,0.14747905731201172,-1.917297601699829,0.045804351568222046,-0.02800726890563965,-0.0038172302301973104,-0.0017363631632179022
10.814362,1788179606.683868,119353,167,1,1,0.041477445513010025,-1.8863608837127686,0.042262963950634,-0.028631199151277542,0.006796125788241625,-0.0031480833422392607
12.703251,1788179608.572757,121353,224,1,1,-0.01600426807999611,-1.8798267841339111,0.0474371537566185,-0.008705941960215569,0.0007113383035175502,0.0014980318956077099
14.730767,1788179610.600273,123353,19,1,1,0.01038139034062624,-1.9558751583099365,0.04737423360347748,0.02468646690249443,-0.02784665673971176,0.003132423385977745
15.231107,1788179611.100613,123866,48,1,1,0.004457397852092981,-1.9668502807617188,0.04949311167001724,0.02041778713464737,-0.026602620258927345,0.0038255145773291588
15.760172,1788179611.629678,124353,73,1,1,-0.01048493105918169,-1.9835546016693115,0.05209548771381378,0.015064992941915989,-0.02979576401412487,0.002515160944312811
16.230660,1788179612.100166,124853,102,1,1,-0.0348079539835453,-1.9876670837402344,0.0480472669005394,0.003945775795727968,-0.02502548322081566,-0.00022885081125423312
16.729184,1788179612.598690,125353,130,1,1,-0.054429538547992706,-1.9913601875305176,0.0423431396484375,-0.0016779657453298569,-0.02236119844019413,-0.002041031839326024
17.300979,1788179613.170485,125856,159,1,1,-0.0669754147529602,-1.9930254220962524,0.04274187237024307,-0.0031716604717075825,-0.01913377270102501,-0.0019894586876034737
17.680128,1788179613.549634,126358,187,1,1,-0.08541589230298996,-1.9913437366485596,0.04255056008696556,-0.01022390928119421,-0.014813018962740898,-0.002501369919627905
18.178477,1788179614.047983,126856,216,1,1,-0.1025315597653389,-1.988922357559204,0.0411822572350502,-0.013422103598713875,-0.01049813348799944,-0.004929268267005682
18.756219,1788179614.625725,127358,244,1,1,-0.1195736825466156,-1.992883563041687,0.03831180930137634,-0.01633087545633316,-0.01262636948376894,-0.00823630578815937
19.210188,1788179615.079694,127853,17,1,1,-0.1371997445821762,-1.992753505706787,0.03937278687953949,-0.019281694665551186,-0.011651957407593727,-0.005502151325345039
19.679040,1788179615.548546,128356,45,1,1,-0.1600339412689209,-1.991393804550171,0.03879999369382858,-0.022318340837955475,-0.011531063355505466,-0.007458314299583435
20.177938,1788179616.047444,128853,74,1,1,-0.18914029002189636,-1.9803396463394165,0.038762416690588,-0.028902003541588783,-0.0016606426797807217,-0.007315557915717363
20.708501,1788179616.578007,129358,102,1,1,-0.20792007446289062,-1.949159026145935,0.04244314506649971,-0.026244912296533585,0.015638362616300583,-0.006229623686522245
21.239950,1788179617.109456,129853,131,1,1,-0.22738492488861084,-1.92714524269104,0.04204793646931648,-0.02413683757185936,0.025629110634326935,-0.0043470123782753944
21.706392,1788179617.575898,130353,160,1,1,-0.23372671008110046,-1.912262201309204,0.04628406837582588,-0.01641932874917984,0.029989851638674736,-0.0014710414689034224
22.207117,1788179618.076623,130856,189,1,1,-0.2447761595249176,-1.899840235710144,0.044743798673152924,-0.015261249616742134,0.03466736152768135,-0.0017972346395254135
22.771485,1788179618.640991,131353,217,1,1,-0.2586408853530884,-1.8917328119277954,0.040474552661180496,-0.013167579658329487,0.030997972935438156,-0.002144381171092391
23.288659,1788179619.158165,131853,246,1,1,-0.2683672308921814,-1.881298303604126,0.0400761216878891,-0.010878837667405605,0.02788522094488144,-0.002881949068978429
23.694666,1788179619.564172,132356,18,1,1,-0.2842975854873657,-1.8635486364364624,0.03752122074365616,-0.008693846873939037,0.03245174512267113,-0.005103424657136202
24.225411,1788179620.094917,132853,47,1,1,-0.30785050988197327,-1.8470134735107422,0.03453106805682182,-0.014611074700951576,0.03342406451702118,-0.006759079173207283
24.738421,1788179620.607927,133353,75,1,1,-0.3254069983959198,-1.835331678390503,0.0359058678150177,-0.016420280560851097,0.03702352195978165,-0.0024960602167993784
25.237171,1788179621.106677,133853,104,1,1,-0.33789458870887756,-1.8345603942871094,0.0351729542016983,-0.013835473917424679,0.02158176340162754,-0.004287493880838156
25.769487,1788179621.638993,134353,132,1,1,-0.34108585119247437,-1.83869469165802,0.03292260318994522,-0.006871148012578487,0.016029737889766693,-0.004856534767895937
26.223269,1788179622.092775,134856,161,1,1,-0.3548767864704132,-1.8151050806045532,0.036697156727313995,-0.011159654706716537,0.02225310727953911,-0.0017987468745559454
26.686447,1788179622.555953,135353,189,1,1,-0.36710885167121887,-1.779768943786621,0.03829434514045715,-0.013011655770242214,0.03301507234573364,-0.0021186599042266607
27.188644,1788179623.058150,135853,218,1,1,-0.362957239151001,-1.726534128189087,0.041450317949056625,-0.00659191282466054,0.04679127410054207,-9.705529373604804e-05
27.718234,1788179623.587740,136353,246,1,1,-0.3530052602291107,-1.663914442062378,0.03901420533657074,-0.0008464473066851497,0.0564626008272171,-0.005555014591664076
28.184945,1788179624.054451,136856,19,1,1,-0.34340721368789673,-1.5981422662734985,0.033072393387556076,0.0021374886855483055,0.06647610664367676,-0.011722924187779427
28.745019,1788179624.614525,137353,47,1,1,-0.3190896809101105,-1.5280972719192505,0.032015927135944366,0.013037027791142464,0.07266717404127121,-0.009686563163995743
29.212173,1788179625.081679,137853,76,1,1,-0.29890650510787964,-1.4635025262832642,0.03229792043566704,0.017861515283584595,0.07593798637390137,-0.008012806996703148
29.679942,1788179625.549448,138353,104,1,1,-0.28348323702812195,-1.3970179557800293,0.03027242422103882,0.01950516551733017,0.077189140021801,-0.008219610899686813
30.182510,1788179626.052016,138856,133,1,1,-0.27317100763320923,-1.3271714448928833,0.03085925430059433,0.01962575875222683,0.08055921643972397,-0.007905649952590466
30.683167,1788179626.552673,139353,161,1,1,-0.27423548698425293,-1.2486133575439453,0.031533852219581604,0.014713047072291374,0.08338535577058792,-0.007131192833185196
31.184663,1788179627.054169,139856,190,1,1,-0.28275611996650696,-1.1642265319824219,0.03354620933532715,0.007989807985723019,0.08866527676582336,-0.004176207818090916
31.744331,1788179627.613837,140353,219,1,1,-0.29012590646743774,-1.0763331651687622,0.036534275859594345,0.003259295132011175,0.0909314975142479,-0.0049181003123521805
32.212262,1788179628.081768,140853,248,1,1,-0.3026683032512665,-0.9784666299819946,0.0366511233150959,-0.004611990414559841,0.09892096370458603,-0.005635917652398348
32.663521,1788179628.533027,141356,20,1,1,-0.3104276955127716,-0.8837432861328125,0.03900066018104553,-0.004781982861459255,0.10136239230632782,-0.002595104742795229
33.255609,1788179629.125115,141853,49,1,1,-0.31919458508491516,-0.7988138794898987,0.04298187047243118,-0.009097237139940262,0.10208547115325928,0.00044443868682719767
33.721678,1788179629.591184,142353,78,1,1,-0.3290223479270935,-0.7120261192321777,0.04576655477285385,-0.00990608986467123,0.10251941531896591,0.0006133407005108893
34.238604,1788179630.108110,142853,107,1,1,-0.344393253326416,-0.633190393447876,0.04735354334115982,-0.014226540923118591,0.10097568482160568,0.0021082409657537937
34.735886,1788179630.605392,143353,135,1,1,-0.36017513275146484,-0.5550538301467896,0.049253564327955246,-0.01930294744670391,0.09606442600488663,0.001467519672587514
35.203997,1788179631.073503,143853,164,1,1,-0.36912891268730164,-0.4879554510116577,0.051071297377347946,-0.018049512058496475,0.08751986920833588,0.002361824968829751
35.656595,1788179631.526101,144356,192,1,1,-0.38324734568595886,-0.4208182096481323,0.05086749047040939,-0.02098783664405346,0.07970935106277466,0.0020170987118035555
36.235150,1788179632.104656,144853,221,1,1,-0.3900039494037628,-0.3596261739730835,0.05111847445368767,-0.019873550161719322,0.07121749967336655,0.001457077800296247
36.753120,1788179632.622626,145356,249,1,1,-0.3866950273513794,-0.30251193046569824,0.053031448274850845,-0.013254405930638313,0.05933395028114319,0.0028368625789880753
37.268538,1788179633.138044,145853,22,1,1,-0.38546669483184814,-0.24779340624809265,0.053492624312639236,-0.00931081734597683,0.04986044019460678,0.0029853754676878452
37.734230,1788179633.603736,146353,50,1,1,-0.3768194317817688,-0.19051752984523773,0.05378061160445213,-0.0038857560139149427,0.045435354113578796,0.003419179469347
38.186802,1788179634.056308,146853,79,1,1,-0.36390069127082825,-0.13930073380470276,0.05472820624709129,0.0020889141596853733,0.03946252539753914,0.0022541440557688475
38.747610,1788179634.617116,147354,107,1,1,-0.34560734033584595,-0.09026051312685013,0.052197378128767014,0.00921209529042244,0.033201899379491806,0.0009047985658980906
39.278560,1788179635.148066,147856,136,1,1,-0.33746814727783203,-0.044360943138599396,0.048254501074552536,0.007308379281312227,0.02742704562842846,-0.003951774910092354
39.730079,1788179635.599585,148354,167,1,1,-0.3327418267726898,0.009824950248003006,0.04405800998210907,0.006298046559095383,0.02598848007619381,-0.007215749938040972
40.311103,1788179636.180609,148856,197,1,1,-0.336010217666626,0.07655256986618042,0.03702294081449509,0.003174535231664777,0.031593937426805496,-0.013073025271296501
40.683966,1788179636.553472,149356,225,1,1,-0.34819820523262024,0.15621042251586914,0.03031993843615055,-0.0030576172284781933,0.038119345903396606,-0.013117060996592045
41.166921,1788179637.036427,149853,254,1,1,-0.3617168068885803,0.2296556532382965,0.02829904668033123,-0.007922189310193062,0.0399908609688282,-0.012132108211517334
41.696053,1788179637.565559,150358,27,1,1,-0.3717682957649231,0.3118148148059845,0.0301700159907341,-0.007951674982905388,0.046087682247161865,-0.011165305972099304
42.212060,1788179638.081566,150853,56,1,1,-0.3906909227371216,0.39544129371643066,0.03158455714583397,-0.01701870746910572,0.05454366281628609,-0.010674525052309036
42.680924,1788179638.550430,151353,84,1,1,-0.4064595401287079,0.4818010926246643,0.030947426334023476,-0.02007756009697914,0.06125830113887787,-0.01049005426466465
43.177656,1788179639.047162,151858,113,1,1,-0.42154204845428467,0.5583434104919434,0.031130244955420494,-0.023344649001955986,0.06299158930778503,-0.007535866927355528
43.725320,1788179639.594826,152353,141,1,1,-0.4291246831417084,0.637069821357727,0.03225686401128769,-0.022713758051395416,0.06434880942106247,-0.005953941028565168
44.172811,1788179640.042317,152856,170,1,1,-0.43835824728012085,0.713353157043457,0.03157200291752815,-0.023596197366714478,0.06540797650814056,-0.007350344676524401
44.747784,1788179640.617290,153358,199,1,1,-0.4477264881134033,0.7914215922355652,0.03397098183631897,-0.02419867552816868,0.06807973235845566,-0.005025769583880901
45.216473,1788179641.085979,153853,228,1,1,-0.45121657848358154,0.8601782917976379,0.03763878345489502,-0.020204462110996246,0.06775742024183273,-0.0003051073872484267
45.668189,1788179641.537695,154356,0,1,1,-0.449199914932251,0.9247312545776367,0.03972224146127701,-0.015235490165650845,0.06488346308469772,0.0023453200701624155
