elapsed_s,log_timestamp_unix_s,source_message,source_time_boot_ms,packet_seq,sysid,compid,mission_item_seq,mission_total,mission_state,mission_mode,coordinate_frame,type_mask,target_lat_raw_e7,target_lon_raw_e7,target_lat_deg,target_lon_deg,target_alt_m,target_vx_mps,target_vy_mps,target_vz_mps,target_afx_mps2,target_afy_mps2,target_afz_mps2,target_yaw_rad,target_yaw_rate_rad_s
0.075705,1788179595.945211,MISSION_CURRENT,,211,1,1,0,7,2,0,,,,,,,,,,,,,,,
0.527782,1788179596.397288,MISSION_CURRENT,,239,1,1,0,7,2,0,,,,,,,,,,,,,,,
1.079098,1788179596.948604,MISSION_CURRENT,,12,1,1,0,7,2,0,,,,,,,,,,,,,,,
1.685156,1788179597.554662,MISSION_CURRENT,,42,1,1,0,7,2,0,,,,,,,,,,,,,,,
2.042071,1788179597.911577,MISSION_CURRENT,,71,1,1,0,7,2,0,,,,,,,,,,,,,,,
2.603541,1788179598.473047,MISSION_CURRENT,,99,1,1,0,7,2,0,,,,,,,,,,,,,,,
3.148512,1788179599.018018,MISSION_CURRENT,,128,1,1,0,7,2,0,,,,,,,,,,,,,,,
3.524408,1788179599.393914,MISSION_CURRENT,,156,1,1,0,7,2,0,,,,,,,,,,,,,,,
4.022662,1788179599.892168,MISSION_CURRENT,,185,1,1,0,7,2,0,,,,,,,,,,,,,,,
4.568833,1788179600.438339,MISSION_CURRENT,,219,1,1,0,7,2,0,,,,,,,,,,,,,,,
6.526368,1788179602.395874,MISSION_CURRENT,,32,1,1,0,7,2,0,,,,,,,,,,,,,,,
8.554403,1788179604.423909,MISSION_CURRENT,,95,1,1,0,7,2,0,,,,,,,,,,,,,,,
10.626730,1788179606.496236,MISSION_CURRENT,,153,1,1,0,7,2,0,,,,,,,,,,,,,,,
12.548033,1788179608.417539,MISSION_CURRENT,,211,1,1,0,7,2,0,,,,,,,,,,,,,,,
14.574148,1788179610.443654,MISSION_CURRENT,,6,1,1,0,7,2,0,,,,,,,,,,,,,,,
15.075595,1788179610.945101,MISSION_CURRENT,,35,1,1,0,7,2,0,,,,,,,,,,,,,,,
15.604210,1788179611.473716,MISSION_CURRENT,,60,1,1,0,7,2,0,,,,,,,,,,,,,,,
16.041962,1788179611.911468,MISSION_CURRENT,,89,1,1,0,7,2,0,,,,,,,,,,,,,,,
16.526050,1788179612.395556,MISSION_CURRENT,,117,1,1,0,7,2,0,,,,,,,,,,,,,,,
17.099536,1788179612.969042,MISSION_CURRENT,,146,1,1,0,7,2,0,,,,,,,,,,,,,,,
17.523089,1788179613.392595,MISSION_CURRENT,,174,1,1,0,7,2,0,,,,,,,,,,,,,,,
18.022377,1788179613.891883,MISSION_CURRENT,,203,1,1,0,7,2,0,,,,,,,,,,,,,,,
