elapsed_s,log_timestamp_unix_s,seq,sysid,compid,severity,text_id,chunk_seq,text
2.855310,1788179598.724816,107,255,190,6,0,0,Mission Planner 1.3.83
2.856304,1788179598.725810,108,255,190,6,0,0,Mission Planner 1.3.83
2.856304,1788179598.725810,109,255,190,6,0,0,Mission Planner 1.3.83
4.913769,1788179600.783275,240,1,1,6,0,0,ArduCopter V4.6.2 (1ebd4d99)
4.944998,1788179600.814504,241,1,1,6,0,0,ChibiOS: 88b84600
4.946063,1788179600.815569,242,1,1,6,0,0,fmuv3 003D003F 3533510D 33303831
4.992540,1788179600.862046,243,1,1,6,0,0,IOMCU: 420 1001 411FC231
4.993550,1788179600.863056,244,1,1,6,0,0,RCOut: PWM:1-14
4.994633,1788179600.864139,245,1,1,6,0,0,IMU0: fast sampling enabled 8.0kHz/1.0kHz
4.994633,1788179600.864139,246,1,1,6,0,0,Frame: QUAD/X
5.118030,1788179600.987536,252,1,1,6,0,0,ArduCopter V4.6.2 (1ebd4d99)
5.119183,1788179600.988689,253,1,1,6,0,0,ChibiOS: 88b84600
5.148115,1788179601.017621,254,1,1,6,0,0,fmuv3 003D003F 3533510D 33303831
5.149586,1788179601.019092,255,1,1,6,0,0,IOMCU: 420 1001 411FC231
5.180228,1788179601.049734,0,1,1,6,0,0,RCOut: PWM:1-14
5.181126,1788179601.050632,1,1,1,6,0,0,IMU0: fast sampling enabled 8.0kHz/1.0kHz
5.182123,1788179601.051629,2,1,1,6,0,0,Frame: QUAD/X
5.353934,1788179601.223440,5,1,1,6,0,0,ArduCopter V4.6.2 (1ebd4d99)
5.401357,1788179601.270863,6,1,1,6,0,0,ChibiOS: 88b84600
5.402860,1788179601.272366,7,1,1,6,0,0,fmuv3 003D003F 3533510D 33303831
5.448929,1788179601.318435,8,1,1,6,0,0,IOMCU: 420 1001 411FC231
5.449927,1788179601.319433,9,1,1,6,0,0,RCOut: PWM:1-14
5.450927,1788179601.320433,10,1,1,6,0,0,IMU0: fast sampling enabled 8.0kHz/1.0kHz
5.451920,1788179601.321426,11,1,1,6,0,0,Frame: QUAD/X
14.123232,1788179609.992738,253,1,1,2,0,0,PreArm: RC not found
14.154729,1788179610.024235,254,1,1,2,0,0,PreArm: Hardware safety switch
33.347779,1788179629.217285,58,1,1,7,0,0,RCInput: decoding IBUS(1)
233.839193,1788179829.708699,25,1,1,6,0,0,Mission: 1 Takeoff
240.270760,1788179836.140266,139,1,1,6,0,0,EKF3 IMU0 MAG0 in-flight yaw alignment complete
241.235619,1788179837.105125,198,1,1,6,0,0,Mission: 2 WP
256.348092,1788179852.217598,66,1,1,6,0,0,Reached command #2
256.349479,1788179852.218985,67,1,1,6,0,0,Mission: 3 WP
264.420453,1788179860.289959,32,1,1,6,0,0,Reached command #3
264.481275,1788179860.350781,33,1,1,6,0,0,Mission: 4 WP
270.913761,1788179866.783267,167,1,1,6,0,0,Reached command #4
270.914268,1788179866.783774,168,1,1,6,0,0,Mission: 5 WP
279.778999,1788179875.648505,186,1,1,6,0,0,Reached command #5
279.780063,1788179875.649569,187,1,1,6,0,0,Mission: 6 WP
306.811393,1788179902.680899,232,1,1,6,0,0,Mission: 6 WP
319.363055,1788179915.232561,210,1,1,6,0,0,Reached command #6
319.364061,1788179915.233567,211,1,1,6,0,0,Mission: 7 Land
327.746784,1788179923.616290,189,1,1,6,0,0,Mission: 1 Takeoff
420.446586,1788180016.316092,248,1,1,6,0,0,Mission: 1 Takeoff
