elapsed_s,log_timestamp_unix_s,source_time_boot_ms,seq,sysid,compid,arrival_delta_ms,instantaneous_rate_hz,gap_gt_750ms,gap_gt_1000ms,gap_gt_1500ms,gap_gt_2000ms
0.043993,1788179595.913499,108843,206,1,1,,,0,0,0,0
0.512846,1788179596.382352,109343,234,1,1,468.853,2.132865,0,0,0,0
1.045322,1788179596.914828,109843,7,1,1,532.476,1.878019,0,0,0,0
1.576980,1788179597.446486,110343,37,1,1,531.658,1.880908,0,0,0,0
1.996223,1788179597.865729,110843,66,1,1,419.243,2.385252,0,0,0,0
2.572346,1788179598.441852,111343,94,1,1,576.123,1.735740,0,0,0,0
3.101073,1788179598.970579,111843,123,1,1,528.727,1.891335,0,0,0,0
3.493622,1788179599.363128,112343,151,1,1,392.549,2.547452,0,0,0,0
3.946615,1788179599.816121,112843,180,1,1,452.993,2.207540,0,0,0,0
4.537131,1788179600.406637,113343,214,1,1,590.516,1.693434,0,0,0,0
6.495067,1788179602.364573,115343,27,1,1,1957.936,0.510742,1,1,1,0
8.476746,1788179604.346252,117343,90,1,1,1981.679,0.504623,1,1,1,0
10.516932,1788179606.386438,119343,148,1,1,2040.186,0.490151,1,1,1,1
12.500319,1788179608.369825,121343,206,1,1,1983.387,0.504188,1,1,1,0
14.495585,1788179610.365091,123343,1,1,1,1995.266,0.501186,1,1,1,0
15.027583,1788179610.897089,123853,30,1,1,531.998,1.879706,0,0,0,0
15.573484,1788179611.442990,124343,55,1,1,545.901,1.831835,0,0,0,0
15.994597,1788179611.864103,124843,84,1,1,421.113,2.374659,0,0,0,0
16.431987,1788179612.301493,125343,112,1,1,437.390,2.286289,0,0,0,0
17.068780,1788179612.938286,125843,141,1,1,636.793,1.570369,0,0,0,0
17.475343,1788179613.344849,126343,169,1,1,406.563,2.459643,0,0,0,0
17.991167,1788179613.860673,126843,198,1,1,515.824,1.938645,0,0,0,0
18.570510,1788179614.440016,127343,226,1,1,579.343,1.726093,0,0,0,0
19.020549,1788179614.890055,127843,255,1,1,450.039,2.222030,0,0,0,0
19.489552,1788179615.359058,128343,27,1,1,469.003,2.132183,0,0,0,0
19.943807,1788179615.813313,128843,56,1,1,454.255,2.201406,0,0,0,0
20.520973,1788179616.390479,129343,84,1,1,577.166,1.732604,0,0,0,0
20.974453,1788179616.843959,129843,113,1,1,453.480,2.205169,0,0,0,0
21.457640,1788179617.327146,130343,142,1,1,483.187,2.069592,0,0,0,0
21.972051,1788179617.841557,130843,171,1,1,514.411,1.943970,0,0,0,0
22.583509,1788179618.453015,131343,199,1,1,611.458,1.635436,0,0,0,0
