elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,latitude_deg,longitude_deg,altitude_msl_m,relative_altitude_m,gps_local_east_m,gps_local_north_m,local_x_east_m,local_y_north_m,local_z_up_m,ground_speed_mps,vertical_speed_up_mps,heading_deg,source_topic
0.362447,2026-09-01T20:06:45.463682+00:00,1788293205.463681698,1788293206.436176062,1788293206.320254087,6.077372074,80.190757751,0.000000000,0.002000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.030034731,0.000912581,179.439309,/ap/v1/navsat
1.152042,2026-09-01T20:06:46.253278+00:00,1788293206.253277540,1788293207.236637115,1788293207.167684078,6.077372074,80.190757751,0.000000000,0.001000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.031042242,0.000769035,179.449186,/ap/v1/navsat
1.783905,2026-09-01T20:06:46.885140+00:00,1788293206.885139704,1788293207.837233067,1788293207.774276018,6.077372074,80.190757751,0.000000000,0.001000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.032836136,0.000371776,179.466056,/ap/v1/navsat
3.654152,2026-09-01T20:06:48.755387+00:00,1788293208.755387068,1788293209.639022112,1788293209.581060886,6.077372074,80.190757751,0.000000000,0.000000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.035967215,0.000048152,179.497814,/ap/v1/navsat
3.813675,2026-09-01T20:06:48.914908+00:00,1788293208.914908409,1788293209.817902088,1788293209.775929928,6.077372074,80.190757751,0.000000000,0.000000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.035967215,0.000048152,179.497814,/ap/v1/navsat
5.076963,2026-09-01T20:06:50.178198+00:00,1788293210.178198099,1788293211.037084103,1788293210.964133024,6.077372074,80.190757751,0.000000000,0.000000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.038299513,-0.000171764,179.519139,/ap/v1/navsat
5.259098,2026-09-01T20:06:50.360332+00:00,1788293210.360332489,1788293211.216963053,1788293211.147010088,6.077372074,80.190757751,0.000000000,0.000000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.038299513,-0.000171764,179.519139,/ap/v1/navsat
5.723233,2026-09-01T20:06:50.824468+00:00,1788293210.824467659,1788293211.637680054,1788293211.491777897,6.077372074,80.190757751,0.000000000,0.000000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.039913718,-0.000106455,179.534066,/ap/v1/navsat
6.133674,2026-09-01T20:06:51.234908+00:00,1788293211.234908104,1788293212.039410114,1788293212.021421909,6.077372074,80.190757751,0.000000000,0.000000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.040385258,-0.000133527,179.539225,/ap/v1/navsat
8.568954,2026-09-01T20:06:53.670188+00:00,1788293213.670187950,1788293214.418809891,1788293214.290895939,6.077372074,80.190757751,0.000000000,-0.001000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.043527030,-0.000094465,179.576537,/ap/v1/navsat
10.034042,2026-09-01T20:06:55.135277+00:00,1788293215.135276794,1788293215.816869974,1788293215.774898052,6.077372074,80.190757751,0.000000000,-0.001000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.045691610,-0.000061067,179.600708,/ap/v1/navsat
12.529238,2026-09-01T20:06:57.630473+00:00,1788293217.630473137,1788293218.239240885,1788293218.191272974,6.077372074,80.190757751,0.000000000,-0.001000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.048278370,-0.000156427,179.633892,/ap/v1/navsat
13.353316,2026-09-01T20:06:58.454550+00:00,1788293218.454550028,1788293219.037703991,1788293218.993732929,6.077372074,80.190757751,0.000000000,-0.001000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.008032701,-0.000233956,179.651483,/ap/v1/navsat
15.022554,2026-09-01T20:07:00.123788+00:00,1788293220.123788357,1788293220.637628078,1788293220.576668978,6.077372074,80.190757751,0.000000000,-0.001000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.024304803,-0.000154932,179.674926,/ap/v1/navsat
15.212657,2026-09-01T20:07:00.313892+00:00,1788293220.313891649,1788293220.838493109,1788293220.795521975,6.077372074,80.190757751,0.000000000,-0.001000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.026204610,-0.000198142,179.678709,/ap/v1/navsat
15.847982,2026-09-01T20:07:00.949216+00:00,1788293220.949216366,1788293221.439089060,1788293221.387124062,6.077372074,80.190757751,0.000000000,-0.001000000,0.282442081,-0.013919861,0.000000000,0.000000000,-0.000000000,0.027973344,-0.000116546,179.687431,/ap/v1/navsat
17.886409,2026-09-01T20:07:02.987644+00:00,1788293222.987644196,1788293223.437745094,1788293223.366792917,6.077372074,80.190757751,0.000000000,-0.001000000,0.000000000,0.000000000,-0.011069321,0.011131885,-0.000000000,0.023238035,-0.000133576,179.715141,/ap/v1/navsat
18.750016,2026-09-01T20:07:03.851250+00:00,1788293223.851250410,1788293224.238207102,1788293224.025350094,6.077372074,80.190757751,0.000000000,-0.001000000,0.000000000,0.000000000,-0.011069321,0.011131885,-0.000000000,0.022229816,-0.000179268,179.721260,/ap/v1/navsat
20.997517,2026-09-01T20:07:06.098751+00:00,1788293226.098750830,1788293226.438726902,1788293226.331799030,6.077372074,80.190757751,0.000000000,-0.001000000,0.000000000,0.000000000,-0.011069321,0.000000000,-0.000000000,0.018895054,-0.000138347,179.756363,/ap/v1/navsat
22.680825,2026-09-01T20:07:07.782060+00:00,1788293227.782059669,1788293228.038650990,1788293228.007672071,6.077372074,80.190757751,0.000000000,-0.001000000,0.000000000,0.000000000,-0.011069321,0.000000000,-0.000000000,0.019378540,0.000050259,179.778627,/ap/v1/navsat
24.351947,2026-09-01T20:07:09.453182+00:00,1788293229.453181982,1788293229.637576103,1788293229.579615116,6.077372074,80.190757751,0.000000000,-0.001000000,0.000000000,0.000000000,-0.011069321,0.000000000,-0.000000000,0.020205027,0.000013661,179.801958,/ap/v1/navsat
27.262369,2026-09-01T20:07:12.363605+00:00,1788293232.363605261,1788293232.437693119,1788293232.379731894,6.077372074,80.190757751,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.002491664,0.000143320,179.836966,/ap/v1/navsat
28.729715,2026-09-01T20:07:13.830951+00:00,1788293233.830950737,1788293233.838751078,1788293233.718831062,6.077372074,80.190757751,0.089999996,0.147000000,0.000000000,0.000000000,0.000000000,0.000000000,0.129999995,0.014008374,0.499969304,179.844163,/ap/v1/navsat
29.149425,2026-09-01T20:07:14.250661+00:00,1788293234.250660658,1788293234.237483025,1788293234.143546104,6.077372074,80.190757751,0.340000004,0.432999998,0.000000000,0.000000000,0.000000000,0.000000000,0.389999986,0.010176229,0.890321970,179.846521,/ap/v1/navsat
