elapsed_time_s,wall_time,wall_time_unix_s,event_type,description,value
0.033985,2026-09-01T20:52:31.698170+00:00,1788295951.698169947,LOGGER_STARTED,Passive experiment logger started,run_2026-09-02_02-22-31
0.416387,2026-09-01T20:52:32.080573+00:00,1788295952.080573082,MODE_OBSERVED,Initial flight mode observed,STABILIZE
35.813415,2026-09-01T20:53:07.477602+00:00,1788295987.477601528,MODE_CHANGED,STABILIZE -> GUIDED,GUIDED
37.600879,2026-09-01T20:53:09.265065+00:00,1788295989.265065193,ARMED,Armed state changed on /uav1/armed,True
41.406146,2026-09-01T20:53:13.070331+00:00,1788295993.070331335,TAKEOFF,Relative altitude crossed 0.5 m while armed,0.583 m
45.196678,2026-09-01T20:53:16.860864+00:00,1788295996.860863686,WAYPOINT_CHANGED,New GUIDED geographic target received,"6.0771224,80.1907863,3.090"
130.753676,2026-09-01T20:54:42.417862+00:00,1788296082.417861700,WAYPOINT_REACHED,Measured GPS entered configured arrival radius,0.220 m
151.049188,2026-09-01T20:55:02.713374+00:00,1788296102.713373661,MODE_CHANGED,GUIDED -> LAND,LAND
151.049283,2026-09-01T20:55:02.713468+00:00,1788296102.713467836,LANDING,Vehicle entered LAND mode,LAND
163.553668,2026-09-01T20:55:15.217853+00:00,1788296115.217852831,LOGGER_STOPPED,Logger stopped by user or ROS shutdown,
