elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,record_reason,current_waypoint,guided_target_revision,mission_state,target_source,target_latitude_deg,target_longitude_deg,target_altitude_m,target_altitude_reference,target_x_east_m,target_y_north_m,distance_to_target_m,current_latitude_deg,current_longitude_deg,ap_goal_latitude_deg,ap_goal_longitude_deg,ap_goal_altitude_msl_m
2.738545,2026-09-01T20:52:34.402731+00:00,1788295954.402731180,1788295953.838304996,1788295953.675359964,gps_sample,,0,DISARMED,,,,,,,,,6.077372074,80.190757751,,,
4.389756,2026-09-01T20:52:36.053942+00:00,1788295956.053941727,1788295955.417773962,1788295955.405777931,gps_sample,,0,DISARMED,,,,,,,,,6.077372074,80.190757751,,,
5.007161,2026-09-01T20:52:36.671347+00:00,1788295956.671346664,1788295956.036566019,1788295956.015573025,gps_sample,,0,DISARMED,,,,,,,,,6.077372074,80.190757751,,,
5.835945,2026-09-01T20:52:37.500131+00:00,1788295957.500130892,1788295956.837296963,1788295956.813304901,gps_sample,,0,DISARMED,,,,,,,,,6.077372074,80.190757751,,,
6.856633,2026-09-01T20:52:38.520818+00:00,1788295958.520818472,1788295957.818967104,1788295957.800972939,gps_sample,,0,DISARMED,,,,,,,,,6.077372074,80.190757751,,,
7.091288,2026-09-01T20:52:38.755473+00:00,1788295958.755472898,1788295958.017899990,1788295958.002904892,gps_sample,,0,DISARMED,,,,,,,,,6.077372074,80.190757751,,,
8.112460,2026-09-01T20:52:39.776646+00:00,1788295959.776645660,1788295959.038557053,1788295958.943588972,gps_sample,,0,DISARMED,,,,,,,,,6.077372074,80.190757751,,,
8.758813,2026-09-01T20:52:40.422999+00:00,1788295960.422998667,1788295959.637356043,1788295959.389439106,gps_sample,,0,DISARMED,,,,,,,,,6.077372074,80.190757751,,,
9.590896,2026-09-01T20:52:41.255081+00:00,1788295961.255081177,1788295960.437087059,1788295960.392102003,gps_sample,,0,DISARMED,,,,,,,,,6.077372074,80.190757751,,,
9.804611,2026-09-01T20:52:41.468796+00:00,1788295961.468796253,1788295960.637020111,1788295960.610028982,gps_sample,,0,DISARMED,,,,,,,,,6.077372074,80.190757751,,,
11.639184,2026-09-01T20:52:43.303370+00:00,1788295963.303369999,1788295962.436414957,1788295962.412422895,gps_sample,,0,DISARMED,,,,,,,,,6.077372074,80.190757751,,,
12.257538,2026-09-01T20:52:43.921723+00:00,1788295963.921722889,1788295963.037213087,1788295963.001224995,gps_sample,,0,DISARMED,,,,,,,,,6.077372074,80.190757751,,,
12.673682,2026-09-01T20:52:44.337867+00:00,1788295964.337867022,1788295963.436079025,1788295963.290127993,gps_sample,,0,DISARMED,,,,,,,,,6.077372074,80.190757751,,,
16.354237,2026-09-01T20:52:48.018423+00:00,1788295968.018422604,1788295967.017874956,1788295966.833936930,gps_sample,,0,DISARMED,,,,,,,,,6.077372074,80.190757751,,,
