elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,message_type,topic,sequence_number,sysid,compid,interarrival_ms
0.118433,2026-09-01T20:52:31.782618+00:00,1788295951.782617569,,1788295951.233181000,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,
0.612820,2026-09-01T20:52:32.277007+00:00,1788295952.277006865,,1788295951.651040077,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,494.382
1.097741,2026-09-01T20:52:32.761927+00:00,1788295952.761927128,,1788295952.091892004,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,484.919
1.636529,2026-09-01T20:52:33.300715+00:00,1788295953.300714970,,1788295952.722680092,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,538.793
2.129511,2026-09-01T20:52:33.793696+00:00,1788295953.793695688,,1788295953.103552103,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,492.982
2.651705,2026-09-01T20:52:34.315889+00:00,1788295954.315889359,,1788295953.675359964,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,522.201
3.170586,2026-09-01T20:52:34.834772+00:00,1788295954.834771633,,1788295954.213179111,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,518.875
3.677437,2026-09-01T20:52:35.341623+00:00,1788295955.341623068,,1788295954.666027069,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,506.855
4.209199,2026-09-01T20:52:35.873384+00:00,1788295955.873384237,,1788295955.225838900,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,531.759
4.714210,2026-09-01T20:52:36.378395+00:00,1788295956.378395319,,1788295955.599713087,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,505.015
5.238183,2026-09-01T20:52:36.902369+00:00,1788295956.902369499,,1788295956.111541033,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,523.966
5.750193,2026-09-01T20:52:37.414379+00:00,1788295957.414379358,,1788295956.694344997,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,512.014
6.278999,2026-09-01T20:52:37.943184+00:00,1788295957.943184376,,1788295957.207173109,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,528.804
6.814639,2026-09-01T20:52:38.478825+00:00,1788295958.478825331,,1788295957.719001055,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,535.636
7.320843,2026-09-01T20:52:38.985029+00:00,1788295958.985029459,,1788295958.242825031,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,506.199
7.842842,2026-09-01T20:52:39.507028+00:00,1788295959.507027626,,1788295958.739658117,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,522.008
8.338111,2026-09-01T20:52:40.002308+00:00,1788295960.002307892,,1788295959.173511982,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,495.266
8.882225,2026-09-01T20:52:40.546410+00:00,1788295960.546410084,,1788295959.389439106,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,544.120
9.377103,2026-09-01T20:52:41.041288+00:00,1788295961.041288137,,1788295960.178174019,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,494.876
9.899083,2026-09-01T20:52:41.563268+00:00,1788295961.563268185,,1788295960.716993093,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,521.982
10.383971,2026-09-01T20:52:42.048156+00:00,1788295962.048156500,,1788295961.232820034,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,484.884
10.919436,2026-09-01T20:52:42.583622+00:00,1788295962.583621740,,1788295961.720655918,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,535.468
