elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,local_x_east_m,local_y_north_m,local_z_up_m,roll_deg,pitch_deg,yaw_enu_deg,heading_deg,qx,qy,qz,qw,vx_east_mps,vy_north_mps,vz_up_mps,ground_speed_mps,vertical_speed_up_mps,relative_altitude_m,armed,flight_mode,flying
0.175546,2026-09-01T20:52:31.839732+00:00,1788295951.839731932,1788295951.250174999,1788295951.233181000,-0.011069321,0.011131885,-0.000000000,0.164575,-0.059117,-90.133874,180.133874,-0.000649135,0.001381091,0.707931042,-0.706279874,,,,,,-0.001000000,False,,False
0.259087,2026-09-01T20:52:31.923274+00:00,1788295951.923273802,1788295951.393126965,1788295951.327148914,-0.011069321,0.011131885,-0.000000000,0.164279,-0.058560,-90.135729,180.135729,-0.000650731,0.001375837,0.707942486,-0.706268430,-0.016752230,0.016548587,-0.000002407,0.023547674,-0.000002407,-0.001000000,False,,False
0.314958,2026-09-01T20:52:31.979144+00:00,1788295951.979143620,1788295951.464102983,1788295951.327148914,-0.011069321,0.011131885,-0.000000000,0.164504,-0.058877,-90.136504,180.136504,-0.000650146,0.001379182,0.707947254,-0.706263661,-0.016760807,0.016507778,-0.000014795,0.023525123,-0.000014795,-0.001000000,False,,False
0.433696,2026-09-01T20:52:32.097881+00:00,1788295952.097881317,1788295951.571067095,1788295951.553072929,-0.011069321,0.011131885,-0.000000000,0.164378,-0.058623,-90.137673,180.137673,-0.000650927,0.001376844,0.707954466,-0.706256330,-0.016763169,0.016557703,0.000013836,0.023561863,0.000013836,-0.001000000,False,STABILIZE,False
0.558299,2026-09-01T20:52:32.222485+00:00,1788295952.222485304,1788295951.678030968,1788295951.651040077,-0.011069321,0.011131885,-0.000000000,0.164736,-0.058799,-90.138941,180.138941,-0.000652032,0.001380152,0.707962275,-0.706248522,-0.016579030,0.016468378,0.000030825,0.023368177,0.000030825,-0.001000000,False,STABILIZE,False
0.817370,2026-09-01T20:52:32.481555+00:00,1788295952.481555223,1788295951.961935997,1788295951.949939966,-0.011069321,0.011131885,-0.000000000,0.164467,-0.058218,-90.142914,180.142914,-0.000653917,0.001374934,0.707986772,-0.706224024,-0.016679367,0.016577324,0.000072712,0.023516142,0.000072712,0.000000000,False,STABILIZE,False
0.980362,2026-09-01T20:52:32.644548+00:00,1788295952.644547701,1788295952.135876894,1788295952.091892004,-0.011069321,0.011131885,-0.000000000,0.164610,-0.058465,-90.145381,180.145381,-0.000653239,0.001377353,0.708001971,-0.706208825,-0.016500516,0.016414536,0.000061287,0.023274536,0.000061287,0.000000000,False,STABILIZE,False
1.029258,2026-09-01T20:52:32.693443+00:00,1788295952.693443298,1788295952.171864986,1788295952.091892004,-0.011069321,0.011131885,-0.000000000,0.164949,-0.058561,-90.145808,180.145808,-0.000654732,0.001380041,0.708004594,-0.706206203,-0.016413575,0.016285293,0.000062096,0.023121769,0.000062096,0.000000000,False,STABILIZE,False
1.056071,2026-09-01T20:52:32.720256+00:00,1788295952.720256090,1788295952.208853006,1788295952.091892004,-0.011069321,0.011131885,-0.000000000,0.165325,-0.058792,-90.146331,180.146331,-0.000655616,0.001383793,0.708007812,-0.706202984,-0.016512563,0.016384911,0.000059438,0.023262202,0.000059438,0.000000000,False,STABILIZE,False
1.233829,2026-09-01T20:52:32.898015+00:00,1788295952.898015261,1788295952.385792971,1788295952.317816019,-0.011069321,0.011131885,-0.000000000,0.165315,-0.058660,-90.148517,180.148517,-0.000656344,0.001382929,0.708021283,-0.706189394,-0.016735457,0.016562389,0.000096613,0.023545451,0.000096613,0.000000000,False,STABILIZE,False
