time_s,node_id,x_m,y_m,z_m
0.000000,0,-70.0,-7.0,2.9000000953674316
0.000000,1,-69.09514617919922,-21.700809478759766,59.70182418823242
0.000000,2,-68.81891632080078,-26.757097244262695,40.014991760253906
0.000000,3,-64.2479019165039,-19.895370483398438,49.862483978271484
0.099954,0,-70.0,-7.0,2.9000000953674316
0.099954,1,-68.82528686523438,-21.66746711730957,59.77699279785156
0.099954,2,-68.51829528808594,-26.648170471191406,40.01299285888672
0.099954,3,-63.698089599609375,-20.188385009765625,49.861473083496094
0.200179,0,-70.0,-7.0,2.9000000953674316
0.200179,1,-68.51832580566406,-21.63357925415039,59.83973693847656
0.200179,2,-68.18576049804688,-26.52768325805664,40.0101318359375
0.200179,3,-63.1280632019043,-20.488191604614258,49.8604621887207
0.300094,0,-70.0,-7.0,2.9000000953674316
0.300094,1,-68.17607879638672,-21.59290885925293,59.891422271728516
0.300094,2,-67.82295989990234,-26.39789581298828,40.00767135620117
0.300094,3,-62.53587341308594,-20.79290771484375,49.859466552734375
0.400251,0,-70.0,-7.0,2.9000000953674316
0.400251,1,-67.79953002929688,-21.551755905151367,59.93316650390625
0.400251,2,-67.43219757080078,-26.25295639038086,40.008148193359375
0.400251,3,-61.92091369628906,-21.101497650146484,49.85804748535156
0.499889,0,-70.0,-7.0,2.9000000953674316
0.499889,1,-67.3902816772461,-21.504302978515625,59.96507263183594
0.499889,2,-67.01378631591797,-26.09698486328125,40.010189056396484
0.499889,3,-61.284507751464844,-21.415863037109375,49.8577766418457
0.599847,0,-70.0,-7.0,2.9000000953674316
0.599847,1,-66.94911193847656,-21.454526901245117,59.98516845703125
0.599847,2,-66.56954956054688,-25.93671989440918,40.011192321777344
0.599847,3,-60.626346588134766,-21.738603591918945,49.85775375366211
0.699808,0,-70.0,-7.0,2.9000000953674316
0.699808,1,-66.47767639160156,-21.400955200195312,59.99427795410156
0.699808,2,-66.10081481933594,-25.767885208129883,40.01249694824219
0.699808,3,-59.94633102416992,-22.06949806213379,49.85905075073242
0.799972,0,-70.0,-7.0,2.9000000953674316
0.799972,1,-65.9784927368164,-21.340251922607422,59.99480056762695
0.799972,2,-65.61067962646484,-25.591209411621094,40.014930725097656
0.799972,3,-59.24321746826172,-22.408103942871094,49.86054992675781
0.901711,0,-70.0,-7.0,2.9000000953674316
0.901711,1,-65.45272827148438,-21.279720306396484,59.98891830444336
0.901711,2,-65.0970458984375,-25.412094116210938,40.01679611206055
0.901711,3,-58.51683044433594,-22.754154205322266,49.86191940307617
1.000185,0,-70.0,-7.0,2.9000000953674316
1.000185,1,-65.17894744873047,-21.24557113647461,59.98624801635742
1.000185,2,-64.83212280273438,-25.319368362426758,40.018470764160156
1.000185,3,-58.145423889160156,-22.931591033935547,49.86252975463867
1.099924,0,-70.0,-7.0,2.9000000953674316
1.099924,1,-64.61002349853516,-21.17570686340332,59.981651306152344
1.099924,2,-64.28514099121094,-25.133155822753906,40.02237319946289
1.099924,3,-57.385684967041016,-23.294620513916016,49.86357116699219
1.199908,0,-70.0,-7.0,2.9000000953674316
1.199908,1,-64.01446533203125,-21.09865379333496,59.97532272338867
1.199908,2,-63.71843719482422,-24.942228317260742,40.02582550048828
1.199908,3,-56.60154724121094,-23.666786193847656,49.864524841308594
1.300188,0,-70.0,-7.0,2.9000000953674316
1.300188,1,-63.3944091796875,-21.018537521362305,59.96902847290039
1.300188,2,-63.12962341308594,-24.746580123901367,40.02726364135742
1.300188,3,-55.794349670410156,-24.051815032958984,49.86516189575195
1.399992,0,-70.0,-7.0,2.9000000953674316
1.399992,1,-62.75151062011719,-20.93109130859375,59.964256286621094
1.399992,2,-62.518436431884766,-24.55040740966797,40.029014587402344
1.399992,3,-54.96308135986328,-24.450546264648438,49.86445999145508
1.500115,0,-70.0,-7.0,2.9000000953674316
1.500115,1,-62.086978912353516,-20.841747283935547,59.961090087890625
1.500115,2,-61.885093688964844,-24.352006912231445,40.02950668334961
