time_s,raw_score_array
0.000000,"[1.0, 0.9987027049064636, 1.0, 37.0958251953125, -56.9041748046875, 1.0, 0.9935135245323181, 1.0, 2.0, 0.8418618440628052, 1.0, 16.16362762451172, -77.83637237548828, 1.0, 0.9944496154785156, 0.8133565187454224, 3.0, 0.9700507521629333, 1.0, 27.10557746887207, -66.89442443847656, 1.0, 0.9949750304222107, 1.0]"
0.000023,"[1.0, 0.9942675232887268, 1.0, 42.7935905456543, -51.2064094543457, 1.0, 0.9713377356529236, 1.0, 2.0, 0.7507078051567078, 1.0, 8.567831993103027, -85.43216705322266, 0.9594115614891052, 0.980119526386261, 0.8118212223052979, 3.0, 0.9845318794250488, 1.0, 34.94335174560547, -59.05664825439453, 0.9594115614891052, 0.9835419058799744, 1.0]"
0.000031,"[1.0, 0.9958536028862, 1.0, 38.42717742919922, -55.57282257080078, 1.0, 0.9792678952217102, 1.0, 2.0, 0.8506239652633667, 1.0, 17.436439514160156, -76.56356048583984, 1.0, 0.9755029678344727, 0.8115894794464111, 3.0, 0.975803554058075, 1.0, 28.0535888671875, -65.9464111328125, 1.0, 0.9763384461402893, 1.0]"
0.000038,"[1.0, 0.9971145987510681, 1.0, 41.36526870727539, -52.63473129272461, 1.0, 0.9855731129646301, 1.0, 2.0, 0.8421487212181091, 1.0, 16.386375427246094, -77.6136245727539, 1.0, 0.9847438931465149, 0.8133618235588074, 3.0, 0.995328426361084, 1.0, 30.87242889404297, -63.12757110595703, 1.0, 0.9766420722007751, 1.0]"
0.000044,"[1.0, 0.9975783228874207, 1.0, 39.776512145996094, -54.223487854003906, 1.0, 0.9878915548324585, 1.0, 2.0, 0.8889912366867065, 1.0, 21.09434700012207, -72.90565490722656, 1.0, 0.9841763973236084, 0.8121246695518494, 3.0, 0.9962312579154968, 1.0, 30.379470825195312, -63.62052917480469, 1.0, 0.9811561703681946, 1.0]"
0.000051,"[1.0, 0.9956993460655212, 1.0, 33.75072479248047, -60.24927520751953, 1.0, 0.9784966707229614, 1.0, 2.0, 0.7146615982055664, 1.0, 3.6755943298339844, -90.32440948486328, 1.0, 0.9837598204612732, 0.8115369081497192, 3.0, 0.9957454800605774, 1.0, 32.1451416015625, -61.8548583984375, 1.0, 0.9787273406982422, 1.0]"
0.000058,"[1.0, 0.994638204574585, 1.0, 41.42198181152344, -52.57801818847656, 1.0, 0.9731911420822144, 1.0, 2.0, 0.7737361788749695, 1.0, 9.692070007324219, -84.30792999267578, 1.0, 0.9778807759284973, 0.8123934864997864, 3.0, 0.9714690446853638, 1.0, 27.920978546142578, -66.07901763916016, 1.0, 0.9612963199615479, 1.0]"
0.000065,"[1.0, 0.9989579319953918, 1.0, 40.52233123779297, -53.47766876220703, 1.0, 0.9947896599769592, 1.0, 2.0, 0.8289535045623779, 1.0, 14.933683395385742, -79.06631469726562, 1.0, 0.9920477271080017, 0.8120712041854858, 3.0, 0.998821496963501, 1.0, 35.01317596435547, -58.98682403564453, 1.0, 0.9941074252128601, 1.0]"
0.000072,"[1.0, 0.999220609664917, 1.0, 42.11114501953125, -51.88885498046875, 1.0, 0.996103048324585, 1.0, 2.0, 0.7935254573822021, 1.0, 11.300629615783691, -82.69937133789062, 1.0, 0.9968349933624268, 0.811521589756012, 3.0, 0.9976370930671692, 1.0, 29.84657096862793, -64.15342712402344, 1.0, 0.9958568811416626, 1.0]"
0.000078,"[1.0, 0.9972115159034729, 1.0, 39.7843132019043, -54.2156867980957, 1.0, 0.986057460308075, 1.0, 2.0, 0.8535000085830688, 1.0, 17.504837036132812, -76.49516296386719, 1.0, 0.9860570430755615, 0.8124023675918579, 3.0, 0.9623008370399475, 1.0, 26.636980056762695, -67.36302185058594, 1.0, 0.9796553254127502, 1.0]"
