time_s,metric,source,destination,value
0.187455,obstacle_loss_db,0,1,0.0
0.187455,obstacle_loss_db,0,2,16.849504470825195
0.187455,obstacle_loss_db,0,3,0.0
0.187455,obstacle_loss_db,1,2,0.0
0.187455,obstacle_loss_db,1,3,0.0
0.187455,obstacle_loss_db,2,3,0.0
0.284311,obstacle_loss_db,0,1,0.0
0.284311,obstacle_loss_db,0,2,16.839387893676758
0.284311,obstacle_loss_db,0,3,0.0
0.284311,obstacle_loss_db,1,2,0.0
0.284311,obstacle_loss_db,1,3,0.0
0.284311,obstacle_loss_db,2,3,0.0
0.299317,rssi_dbm,0,1,-52.844825744628906
0.299317,rssi_dbm,0,2,-88.75203704833984
0.299317,rssi_dbm,0,3,-64.6229476928711
0.299317,rssi_dbm,1,2,-55.58072280883789
0.299317,rssi_dbm,1,3,-53.87432098388672
0.299317,rssi_dbm,2,3,-64.55895233154297
0.299330,snr_db,0,1,41.155174255371094
0.299330,snr_db,0,2,5.247963905334473
0.299330,snr_db,0,3,29.377052307128906
0.299330,snr_db,1,2,38.41927719116211
0.299330,snr_db,1,3,40.12567901611328
0.299330,snr_db,2,3,29.441049575805664
0.387578,obstacle_loss_db,0,1,0.0
0.387578,obstacle_loss_db,0,2,16.83208656311035
0.387578,obstacle_loss_db,0,3,0.0
0.387578,obstacle_loss_db,1,2,0.0
0.387578,obstacle_loss_db,1,3,0.0
0.387578,obstacle_loss_db,2,3,0.0
0.485267,obstacle_loss_db,0,1,0.0
0.485267,obstacle_loss_db,0,2,16.8240966796875
0.485267,obstacle_loss_db,0,3,0.0
0.485267,obstacle_loss_db,1,2,0.0
0.485267,obstacle_loss_db,1,3,0.0
0.485267,obstacle_loss_db,2,3,0.0
0.587457,obstacle_loss_db,0,1,0.0
0.587457,obstacle_loss_db,0,2,16.81470489501953
0.587457,obstacle_loss_db,0,3,0.0
0.587457,obstacle_loss_db,1,2,0.0
0.587457,obstacle_loss_db,1,3,0.0
0.587457,obstacle_loss_db,2,3,0.0
0.684089,obstacle_loss_db,0,1,0.0
0.684089,obstacle_loss_db,0,2,16.806211471557617
0.684089,obstacle_loss_db,0,3,0.0
0.684089,obstacle_loss_db,1,2,0.0
0.684089,obstacle_loss_db,1,3,0.0
0.684089,obstacle_loss_db,2,3,0.0
0.787473,obstacle_loss_db,0,1,0.0
0.787473,obstacle_loss_db,0,2,16.798274993896484
0.787473,obstacle_loss_db,0,3,0.0
0.787473,obstacle_loss_db,1,2,0.0
0.787473,obstacle_loss_db,1,3,0.0
0.787473,obstacle_loss_db,2,3,0.0
0.799329,rssi_dbm,0,1,-55.7613639831543
0.799329,rssi_dbm,0,2,-76.55211639404297
0.799329,rssi_dbm,0,3,-60.524803161621094
0.799329,rssi_dbm,1,2,-55.75641632080078
0.799329,rssi_dbm,1,3,-59.997196197509766
0.799329,rssi_dbm,2,3,-60.020565032958984
0.799343,snr_db,0,1,38.2386360168457
0.799343,snr_db,0,2,17.4478816986084
0.799343,snr_db,0,3,33.475196838378906
0.799343,snr_db,1,2,38.24358367919922
0.799343,snr_db,1,3,34.002803802490234
0.799343,snr_db,2,3,33.979434967041016
0.884142,obstacle_loss_db,0,1,0.0
0.884142,obstacle_loss_db,0,2,16.790882110595703
0.884142,obstacle_loss_db,0,3,0.0
0.884142,obstacle_loss_db,1,2,0.0
